2,Supercars Chevrolet Camaro Gen3,adelaide
Steering Wheel Angle,Yaw Rate
279.003784,1.613013
278.014984,1.614323
276.998779,1.614545
276.010010,1.614116
275.021179,1.611342
274.005005,1.608670
273.016235,1.604714
271.999969,1.599887
271.011169,1.594433
270.022430,1.588232
269.006195,1.581042
268.017395,1.573535
267.001190,1.565147
266.012421,1.556450
265.023651,1.547179
264.007385,1.537244
263.018616,1.526622
262.002350,1.516678
261.013611,1.506562
260.024841,1.496429
259.008575,1.485920
258.019806,1.475518
257.003571,1.464868
256.014801,1.456435
254.998566,1.448377
254.009781,1.441441
253.021011,1.435493
252.004791,1.430335
251.015961,1.426308
249.999741,1.421714
249.010956,1.417274
248.022217,1.412844
247.005966,1.408204
246.017166,1.401863
245.000916,1.394745
244.012177,1.386957
243.023422,1.379510
242.007141,1.372135
241.018341,1.364984
240.002121,1.357953
239.013351,1.352370
238.024597,1.346046
237.008316,1.339223
236.019547,1.332736
235.003296,1.325983
234.014542,1.319127
233.025772,1.312980
232.009491,1.305895
231.020752,1.299799
230.004471,1.292697
229.015686,1.286406
227.999451,1.279940
227.010681,1.273086
226.021896,1.266972
225.005646,1.259937
224.016876,1.253765
223.000626,1.247001
222.011841,1.240558
221.023071,1.233793
220.006836,1.227332
219.018051,1.220695
218.001816,1.214097
217.013016,1.207602
216.024261,1.201235
215.007996,1.194484
214.019226,1.188054
213.002960,1.181743
212.014175,1.174944
211.025421,1.168905
210.009140,1.161803
209.020386,1.155717
208.004135,1.148842
207.015366,1.142687
206.026566,1.135856
205.010300,1.129547
204.021530,1.122884
203.005295,1.116710
202.016510,1.109989
201.000275,1.103309
200.011475,1.097126
199.022705,1.090480
198.006454,1.083949
197.017670,1.077701
196.001419,1.071300
195.012619,1.064975
194.023849,1.058517
193.007599,1.052174
192.018814,1.045497
191.002563,1.038947
190.013794,1.032012
189.024994,1.026236
188.008728,1.019574
187.019974,1.012084
186.003708,1.006987
185.014938,0.999491
184.026154,0.993280
183.009888,0.986698
182.021133,0.980100
181.004852,0.973981
180.016098,0.967529
178.999817,0.961467
178.011047,0.954837
177.022247,0.949050
176.005981,0.941624
175.017227,0.935644
174.000961,0.929546
173.012192,0.922580
172.023392,0.916467
171.007111,0.909881
170.018356,0.904190
169.002075,0.897443
168.013321,0.891243
167.024506,0.885121
166.008270,0.878521
165.019485,0.872886
164.003220,0.865910
163.014450,0.858732
162.025650,0.854134
161.009415,0.847058
160.020615,0.839837
159.004333,0.834805
158.015564,0.828101
157.026764,0.821348
156.010544,0.815285
155.021729,0.809297
