87 Ford Thunderbird @ Watkins Glen - Classic
InputTorque60Hz,InputTorque500Hz
16.14697,16.378025
16.14697,16.44745
16.14697,16.474947
16.14697,16.473442
16.14697,16.442282
16.14697,16.326088
16.14697,16.208946
16.14697,16.139809
16.280676,15.988202
16.280676,16.117216
16.280676,16.23832
16.280676,16.341785
16.280676,16.446568
16.280676,16.374784
16.280676,16.265375
16.280676,16.280153
16.280676,16.2808
17.420986,16.44613
17.420986,16.611605
17.420986,16.632425
17.420986,16.624287
17.420986,16.773745
17.420986,17.165565
17.420986,17.399073
17.420986,17.426296
17.344978,17.156954
17.344978,17.018343
17.344978,16.937208
17.344978,16.995207
17.344978,17.150774
17.344978,17.320173
17.344978,17.411987
17.344978,17.347208
17.344978,17.342972
18.313282,17.410023
18.313282,17.648802
18.313282,17.787325
18.313282,17.765476
18.313282,17.62993
18.313282,17.705162
18.313282,17.975002
18.864773,18.330645
18.864773,18.21195
18.864773,18.315668
18.864773,18.567604
18.864773,18.783318
18.864773,18.95528
18.864773,18.960764
18.864773,18.858458
18.864773,18.863825
19.143442,18.708242
19.143442,18.78063
19.143442,18.901928
19.143442,18.93894
19.143442,18.626534
19.143442,18.497952
19.143442,18.675987
19.143442,19.13115
18.666136,19.111286
18.666136,18.79993
18.666136,18.67698
18.666136,18.745237
18.666136,18.89845
18.666136,18.933922
18.666136,18.854458
18.666136,18.671545
18.666136,18.658638
18.782207,18.34059
18.782207,18.314322
18.782207,18.410854
18.782207,18.542728
18.782207,18.613129
18.782207,18.656023
18.782207,18.721045
18.782207,18.78858
18.090721,18.548548
18.090721,18.313038
18.090721,17.969362
18.090721,17.693066
18.090721,17.817764
18.090721,17.924597
18.090721,18.006582
18.090721,18.088787
17.81166,18.143211
17.81166,18.211737
17.81166,18.25098
17.81166,18.240547
17.81166,18.177094
17.81166,18.0535
17.81166,17.947388
17.81166,17.816587
17.81166,17.805777
18.139603,17.635147
18.139603,17.604647
18.139603,17.663225
18.139603,17.821222
18.139603,18.081558
18.139603,18.240768
18.139603,18.23258
18.139603,18.13329
17.360247,18.259192
17.360247,18.286999
17.360247,18.27186
17.360247,18.201908
17.360247,18.058922
17.360247,17.9009
17.360247,17.676828
17.360247,17.36943
17.360247,17.34785
16.851599,17.13977
16.851599,17.163738
16.851599,17.21357
16.851599,17.261208
16.851599,17.304884
16.851599,17.322702
16.851599,17.121891
16.851599,16.862064
16.083235,16.400536
16.083235,15.9908
16.083235,15.692195
16.083235,15.621273
16.083235,15.858823
16.083235,16.093933
16.083235,16.155361
16.083235,16.07907
12.229098,15.9758415
12.229098,15.621435
12.229098,15.136612
12.229098,14.680958
12.229098,13.925593
12.229098,13.090788
12.229098,12.439506
12.229098,12.233656
12.229098,12.219051
11.6566515,12.0029
11.6566515,11.661192
11.6566515,11.253994
11.6566515,11.010007
11.6566515,11.149212
11.6566515,11.421454
11.6566515,11.578049
11.6566515,11.654989
11.242197,12.059172
11.242197,12.189723
11.242197,12.207044
11.242197,12.09846
11.242197,11.85763
11.242197,11.553028
11.242197,11.333345
11.242197,11.229256
11.42359,11.299214
11.42359,11.202567
11.42359,11.0360365
11.42359,10.891496
11.42359,10.92074
11.42359,10.998517
11.42359,11.162996
11.42359,11.41679
11.98406,11.774324
11.98406,11.930391
11.98406,12.140298
11.98406,12.394057
11.98406,12.611186
11.98406,12.537386
11.98406,12.288263
11.98406,11.994282
11.98406,11.97457
13.005263,11.966726
13.005263,12.247238
13.005263,12.577342
13.005263,12.877698
13.005263,13.094991
13.005263,13.191444
13.005263,13.125411
13.005263,12.995679
12.733752,12.391306
12.733752,12.231566
12.733752,12.26677
12.733752,12.5391655
12.733752,12.770151
12.733752,12.872301
12.733752,12.847661
12.733752,12.736526
11.882277,12.254241
11.882277,12.172741
11.882277,12.130881
11.882277,12.059974
11.882277,11.93553
11.882277,11.844997
11.882277,11.80052
11.882277,11.879419
11.882277,11.884902
13.074707,11.6994705
13.074707,11.721845
13.074707,11.909409
13.074707,12.2042
13.074707,12.519405
13.074707,12.695561
13.074707,12.899734
13.074707,13.090068
14.0242195,13.0517435
14.0242195,13.068172
14.0242195,13.169864
14.0242195,13.358554
14.0242195,13.517321
14.0242195,13.684939
14.0242195,13.859672
14.0242195,14.019105
14.807964,13.929624
14.807964,13.964822
14.807964,14.070637
14.807964,14.261481
14.807964,14.553825
14.807964,14.742264
14.807964,14.817854
14.807964,14.808409
14.807964,14.808303
14.517374,14.361427
14.517374,14.133006
14.517374,14.070248
14.517374,14.114137
14.517374,14.178096
14.517374,14.256495
14.517374,14.391417
14.517374,14.527589
14.799794,14.496403
14.799794,14.4905205
14.799794,14.494296
14.799794,14.454004
14.799794,14.311961
14.799794,14.337072
14.799794,14.47191
14.799794,14.785959
15.2170925,14.933621
15.2170925,14.812687
15.2170925,14.87298
15.2170925,15.099645
15.2170925,15.350691
15.2170925,15.405567
15.2170925,15.326585
15.2170925,15.208975
15.2170925,15.215937
14.934309,14.687121
14.934309,14.589381
14.934309,14.605605
14.934309,14.692974
14.934309,14.709276
14.934309,14.725061
14.934309,14.791136
14.934309,14.930491
14.88918,14.7819195
14.88918,14.793961
14.88918,14.915394
14.88918,15.057586
14.88918,15.109454
14.88918,14.98829
14.88918,14.912119
14.88918,14.889991
15.02055,15.115625
15.02055,15.152408
15.02055,15.080999
15.02055,14.990392
15.02055,14.989075
15.02055,14.879451
15.02055,14.908005
15.02055,15.028684
16.959215,15.256701
16.959215,15.697456
16.959215,16.102934
16.959215,16.337326
16.959215,16.517052
16.959215,16.634506
16.959215,16.770964
16.959215,16.956871
16.959215,16.966463
17.701824,17.169157
17.701824,17.445885
17.701824,17.736525
17.701824,17.92609
17.701824,17.927294
17.701824,17.978443
17.701824,17.937086
17.701824,17.706768
16.188293,17.023762
16.188293,16.625895
16.188293,16.454245
16.188293,16.422775
16.188293,16.384523
16.188293,16.344753
16.188293,16.26418
16.188293,16.181885
16.188293,16.18739
14.864317,15.8227215
14.864317,15.690206
14.864317,15.506964
14.864317,15.296766
14.864317,15.199605
14.864317,15.091628
14.864317,14.973747
14.864317,14.868758
15.165573,15.023415
15.165573,15.079583
15.165573,15.070255
15.165573,14.983477
15.165573,14.821551
15.165573,14.856019
15.165573,14.960678
15.165573,15.159925
15.05478,15.349698
15.05478,15.352242
15.05478,15.357155
15.05478,15.343391
15.05478,15.268325
15.05478,15.209599
15.05478,15.127345
15.05478,15.048739
15.05478,15.053934
15.6368885,15.158429
15.6368885,15.048239
15.6368885,14.952143
15.6368885,14.862686
15.6368885,14.931901
15.6368885,15.135151
15.6368885,15.4034195
15.6368885,15.629023
15.989239,16.209646
15.989239,16.436552
15.989239,16.535383
15.989239,16.50503
15.989239,16.330803
15.989239,16.164654
15.989239,16.041815
15.989239,15.991015
15.942298,16.30306
15.942298,16.564238
15.942298,16.720118
15.942298,16.708155
15.942298,16.50506
15.942298,16.292315
15.942298,16.079573
15.942298,15.92932
14.330904,15.812222
14.330904,15.597446
14.330904,15.356209
14.330904,15.098156
14.330904,14.884951
14.330904,14.658686
14.330904,14.483472
14.330904,14.335112
14.330904,14.324374
14.955095,14.507653
14.955095,14.666283
14.955095,14.763875
14.955095,14.816177
14.955095,14.850373
14.955095,14.96656
14.955095,14.996612
14.955095,14.952628
14.608759,14.879179
14.608759,14.76104
14.608759,14.6669445
14.608759,14.638316
14.608759,14.715395
14.608759,14.8274555
14.608759,14.757831
14.608759,14.596339
14.608759,14.60773
14.4611,14.053916
14.4611,13.710708
14.4611,13.5012665
14.4611,13.458948
14.4611,13.668182
14.4611,13.907799
14.4611,14.169931
14.4611,14.4552145
15.469187,14.854637
15.469187,14.844615
15.469187,14.703218
15.469187,14.616318
15.469187,14.766889
15.469187,15.080545
