BMW M2 CS Racing @ Virginia International Raceway - North
InputTorque60Hz,InputTorque500Hz
-0.84313923,-1.1655772
-0.84313923,-1.1249821
-0.84313923,-1.0681653
-0.84313923,-1.0195743
-0.84313923,-0.956177
-0.84313923,-0.9069852
-0.84313923,-0.869237
-0.84313923,-0.8436339
-0.84313923,-0.84204525
-0.70315063,-0.8479424
-0.70315063,-0.83282727
-0.70315063,-0.760884
-0.70315063,-0.64352477
-0.70315063,-0.5093493
-0.70315063,-0.4498647
-0.70315063,-0.50134176
-0.70315063,-0.6982876
-1.0661768,-1.0624961
-1.0661768,-1.2459407
-1.0661768,-1.342587
-1.0661768,-1.3736832
-1.0661768,-1.358089
-1.0661768,-1.2962294
-1.0661768,-1.171991
-1.0661768,-1.0555618
-1.0661768,-1.0651221
0.13634725,-0.79530734
0.13634725,-0.58930665
0.13634725,-0.3889984
0.13634725,-0.19906493
0.13634725,-0.03693788
0.13634725,0.06846061
0.13634725,0.12261463
0.13634725,0.13821562
-0.03278066,0.25227788
-0.03278066,0.25099757
-0.03278066,0.21404235
-0.03278066,0.15727033
-0.03278066,0.11057349
-0.03278066,0.052363172
-0.03278066,0.0038394681
-0.03278066,-0.031866297
0.04346544,-0.26938003
0.04346544,-0.29585233
0.04346544,-0.26181722
0.04346544,-0.1996437
0.04346544,-0.1306934
0.04346544,-0.06521735
0.04346544,0.0014507172
0.04346544,0.04248532
0.04346544,0.046014633
0.15645449,0.2804484
0.15645449,0.33138317
0.15645449,0.3223227
0.15645449,0.28119585
0.15645449,0.23351105
0.15645449,0.19664717
0.15645449,0.17020772
0.15645449,0.15470894
0.39186138,0.13482301
0.39186138,0.14753659
0.39186138,0.18448597
0.39186138,0.23677644
0.39186138,0.29399845
0.39186138,0.3299193
0.39186138,0.36859986
0.39186138,0.3910578
0.39149296,0.28529352
0.39149296,0.25505224
0.39149296,0.24815992
0.39149296,0.2584871
0.39149296,0.2834394
0.39149296,0.31549746
0.39149296,0.35844043
0.39149296,0.39489582
0.7239716,0.5824297
0.7239716,0.6362427
0.7239716,0.6506695
0.7239716,0.6494495
0.7239716,0.6532428
0.7239716,0.6704107
0.7239716,0.6991041
0.7239716,0.72604084
0.7239716,0.7243235
1.0014881,0.76724625
1.0014881,0.8168253
1.0014881,0.8713004
1.0014881,0.9196502
1.0014881,0.9547418
1.0014881,0.968553
1.0014881,0.98334914
1.0014881,1.0012217
1.5900968,1.0817578
1.5900968,1.1415366
1.5900968,1.236375
1.5900968,1.3479124
1.5900968,1.4438418
1.5900968,1.5155947
1.5900968,1.5660214
1.5900968,1.5927073
1.6103652,1.4977944
1.6103652,1.478163
1.6103652,1.4742023
1.6103652,1.4857786
1.6103652,1.5094618
1.6103652,1.5408142
1.6103652,1.5763721
1.6103652,1.6093848
1.6103652,1.6116788
1.7719985,1.5235202
1.7719985,1.533194
1.7719985,1.578928
1.7719985,1.6425763
1.7719985,1.7047067
1.7719985,1.7387356
1.7719985,1.7658772
1.7719985,1.7718493
1.6740499,1.6609966
1.6740499,1.6306728
1.6740499,1.6230727
1.6740499,1.6300962
1.6740499,1.6453981
1.6740499,1.6617299
1.6740499,1.671622
1.6740499,1.6743762
1.569904,1.6550481
1.569904,1.628633
1.569904,1.603975
1.569904,1.5843186
1.569904,1.5715483
1.569904,1.5691304
1.569904,1.5695214
1.569904,1.5699282
1.8223141,1.6111709
1.8223141,1.5720494
1.8223141,1.5421627
1.8223141,1.5515728
1.8223141,1.6255615
1.8223141,1.6916385
1.8223141,1.7745607
1.8223141,1.8206475
1.8223141,1.8244845
1.9979421,2.0444162
1.9979421,2.055122
1.9979421,2.0281894
1.9979421,2.0002575
1.9979421,1.9950794
1.9979421,1.9980599
1.9979421,1.9991685
1.9979421,1.9978585
1.9979421,1.9978932
2.2535114,2.0739195
2.2535114,2.0605466
2.2535114,2.0422928
2.2535114,2.045011
2.2535114,2.0862904
2.2535114,2.1507604
2.2535114,2.2143106
2.2535114,2.2573926
2.806685,2.3808932
2.806685,2.3896961
2.806685,2.399798
2.806685,2.4251645
2.806685,2.5004516
2.806685,2.5986876
2.806685,2.705932
2.806685,2.805959
3.025812,2.9506168
3.025812,3.0200572
3.025812,3.063556
3.025812,3.0864835
3.025812,3.0922177
3.025812,3.083382
3.025812,3.0542216
3.025812,3.0232248
3.025812,3.0242403
2.9972653,2.930306
2.9972653,2.8892536
2.9972653,2.8760173
2.9972653,2.885682
2.9972653,2.9125602
2.9972653,2.946418
2.9972653,2.978137
2.9972653,2.9993284
3.041554,3.0253987
3.041554,3.0129886
3.041554,3.0002384
3.041554,2.9865332
3.041554,2.988556
3.041554,3.0009358
3.041554,3.0199404
3.041554,3.0411148
2.9812562,3.0683572
2.9812562,3.0819924
2.9812562,3.0850515
2.9812562,3.0768178
2.9812562,3.057444
2.9812562,3.031194
2.9812562,3.0015779
2.9812562,2.981946
