Cadillac CTS-V Racecar @ Rudskogen Motorsenter
InputTorque60Hz,InputTorque500Hz
0.5937802,0.59279287
0.61674976,0.5950126
0.61674976,0.538184
0.61674976,0.54093015
0.61674976,0.5942736
0.61674976,0.6661105
0.61674976,0.68760866
0.61674976,0.6570759
0.61674976,0.6129143
0.36748514,0.5530888
0.36748514,0.53064024
0.36748514,0.49860203
0.36748514,0.4543785
0.36748514,0.4014578
0.36748514,0.34395117
0.36748514,0.33872423
0.36748514,0.36932537
0.36748514,0.3677884
0.39498284,0.4534976
0.39498284,0.37797937
0.39498284,0.26164147
0.39498284,0.19669501
0.39498284,0.24858162
0.39498284,0.32789183
0.39498284,0.3865191
0.39498284,0.39467046
0.06949677,0.4029299
0.06949677,0.32122156
0.06949677,0.21310292
0.06949677,0.13583107
0.06949677,0.12897916
0.06949677,0.13398221
0.06949677,0.10556225
0.06949677,0.06603452
0.06949677,0.06767424
-0.038287293,0.066817954
-0.038287293,0.0715802
-0.038287293,0.054011863
-0.038287293,0.019571519
-0.038287293,-0.018069971
-0.038287293,-0.03171363
-0.038287293,-0.036888793
-0.02717195,-0.002630943
-0.02717195,-0.0055874344
-0.02717195,-0.022783728
-0.02717195,-0.044196256
-0.02717195,-0.05742135
-0.02717195,-0.05039809
-0.02717195,-0.0355699
-0.02717195,-0.027509766
-0.02717195,-0.02678284
-0.39463565,0.0323678
-0.39463565,0.0035164705
-0.39463565,-0.079561286
-0.39463565,-0.17703842
-0.39463565,-0.25618768
-0.39463565,-0.35459566
-0.39463565,-0.3982943
-0.39463565,-0.3951205
0.20339017,-0.2595356
0.20339017,-0.17756937
0.20339017,-0.07823013
0.20339017,0.0051311036
0.20339017,0.054101016
0.20339017,0.068217315
0.20339017,0.10592117
0.20339017,0.20119978
0.20339017,0.2058951
0.24051434,0.27896464
0.24051434,0.23157607
0.24051434,0.16872853
0.24051434,0.13395652
0.24051434,0.14040232
0.24051434,0.1428117
0.24051434,0.16526337
0.24051434,0.2389805
0.32320744,0.35735103
0.32320744,0.24411798
0.32320744,0.09725899
0.32320744,0.008699386
0.32320744,0.055054467
0.32320744,0.17775202
0.32320744,0.28147617
0.32320744,0.32904127
0.7571319,0.38752425
0.7571319,0.40998986
0.7571319,0.41520903
0.7571319,0.4351155
0.7571319,0.5057266
0.7571319,0.6132039
0.7571319,0.7092136
0.7571319,0.7625372
0.7571319,0.7577103
0.76681906,0.7213322
0.76681906,0.7142562
0.76681906,0.73332244
0.76681906,0.76883954
0.76681906,0.8002669
0.76681906,0.8101984
0.76681906,0.794336
0.76681906,0.76748914
0.6478621,0.8079252
0.6478621,0.8330314
0.6478621,0.81674564
0.6478621,0.7636338
0.6478621,0.68943036
0.6478621,0.6211744
0.6478621,0.61764044
0.6478621,0.64738744
0.6417787,0.6950345
0.6417787,0.64957374
0.6417787,0.60451514
0.6417787,0.5870663
0.6417787,0.6117201
0.6417787,0.6235247
0.6417787,0.63446444
0.6417787,0.6424986
0.6417787,0.6418729
0.40908265,0.58005047
0.40908265,0.5449383
0.40908265,0.5242583
0.40908265,0.51646453
0.40908265,0.5116448
0.40908265,0.49381366
0.40908265,0.45845982
0.40908265,0.41026983
0.18921821,0.36125576
0.18921821,0.38829303
0.18921821,0.40953186
0.18921821,0.4129761
0.18921821,0.39684442
0.18921821,0.3557619
0.18921821,0.294855
0.18921821,0.19033122
0.18921821,0.18530609
-0.14247297,0.04887242
-0.14247297,0.02412856
-0.14247297,0.012144951
-0.14247297,-0.014353289
-0.14247297,-0.0756558
-0.14247297,-0.123706356
-0.14247297,-0.14408612
0.2526968,-0.10010747
0.2526968,-0.054343365
0.2526968,-0.0122228125
0.2526968,0.048118193
0.2526968,0.107103586
0.2526968,0.15795152
0.2526968,0.20526412
0.2526968,0.25122237
0.2526968,0.2547753
0.45125133,0.2933487
0.45125133,0.29568577
0.45125133,0.30863017
0.45125133,0.33299798
0.45125133,0.36330518
0.45125133,0.3986052
0.45125133,0.42381677
0.45125133,0.45049325
0.30523962,0.39423868
0.30523962,0.2960136
0.30523962,0.22926937
0.30523962,0.20151222
0.30523962,0.20820849
0.30523962,0.21369791
0.30523962,0.25611746
0.30523962,0.3091448
0.30523962,0.3057891
0.54493725,0.39743993
0.54493725,0.41911188
0.54493725,0.429296
0.54493725,0.42855394
0.54493725,0.43360642
0.54493725,0.45835003
0.54493725,0.49823874
0.54493725,0.5435132
0.28605852,0.51567525
0.28605852,0.45923635
0.28605852,0.42241287
0.28605852,0.40058377
0.28605852,0.37760815
0.28605852,0.32887653
0.28605852,0.29997417
0.28605852,0.28632876
0.28605852,0.28535926
0.24927944,0.30379075
0.24927944,0.3022
0.24927944,0.28929412
0.24927944,0.26333332
0.24927944,0.22333393
0.24927944,0.18106094
0.24927944,0.20140968
-0.09653306,0.35987836
-0.09653306,0.3246012
-0.09653306,0.20925348
-0.09653306,0.05469148
-0.09653306,-0.035311747
-0.09653306,-0.0804052
-0.09653306,-0.09446711
-0.09653306,-0.096443094
-0.09653306,-0.0966987
-0.11070382,-0.1816198
