Dallara IL15 Indy NXT @ Road America - Full Course
InputTorque60Hz,InputTorque500Hz
9.834876,10.320591
9.834876,10.538202
9.834876,10.670696
9.834876,10.777853
9.834876,10.899192
9.834876,10.741368
9.834876,10.266685
9.834876,9.79387
9.096747,9.136897
9.096747,8.807182
9.096747,8.590118
9.096747,8.502346
9.096747,8.557099
9.096747,8.692631
9.096747,8.917623
9.096747,9.115256
9.096747,9.098372
7.8623247,9.110305
7.8623247,8.848801
7.8623247,8.617161
7.8623247,8.28089
7.8623247,7.879181
7.8623247,7.6912675
7.8623247,7.7035313
7.8623247,7.859662
7.7344217,8.23291
7.7344217,8.595701
7.7344217,8.729309
7.7344217,8.60155
7.7344217,8.229225
7.7344217,7.9568214
7.7344217,7.7334995
7.7344217,7.7340093
10.165598,8.443949
10.165598,9.005524
10.165598,9.562532
10.165598,10.034008
10.165598,10.334335
10.165598,10.428603
10.165598,10.321222
10.165598,10.151854
10.165598,10.164636
12.009411,9.886402
12.009411,9.680423
12.009411,9.551411
12.009411,9.551508
12.009411,9.742365
12.009411,10.293192
12.009411,11.211176
12.009411,12.089215
12.042672,13.231289
12.042672,13.609756
12.042672,13.57532
12.042672,13.242243
12.042672,12.86344
12.042672,12.393329
12.042672,12.094595
12.042672,12.043776
11.932354,12.000671
11.932354,12.592366
11.932354,12.956265
11.932354,13.006743
11.932354,12.812318
11.932354,12.484722
11.932354,12.221093
11.932354,11.940333
12.960401,11.229065
12.960401,11.484871
12.960401,11.8076935
12.960401,12.115344
12.960401,12.460418
12.960401,12.744491
12.960401,12.912008
12.960401,12.966741
12.960401,12.961157
12.561641,12.490143
12.561641,12.5095005
12.561641,12.535327
12.561641,12.427982
12.561641,12.3694315
12.561641,12.3922825
12.561641,12.46824
12.561641,12.560347
10.320958,12.300823
10.320958,12.262279
10.320958,12.061607
10.320958,11.71509
10.320958,11.392088
10.320958,10.976611
10.320958,10.597075
10.320958,10.325507
10.187891,9.986967
10.187891,9.9155035
10.187891,9.825275
10.187891,9.74235
10.187891,9.747552
10.187891,9.880895
10.187891,10.063029
10.187891,10.1852455
10.187891,10.194523
10.921339,10.502433
10.921339,10.5356
10.921339,10.516084
10.921339,10.49341
10.921339,10.502848
10.921339,10.632862
10.921339,10.802825
10.921339,10.934192
12.269597,11.302057
12.269597,11.537464
12.269597,11.694018
12.269597,11.855442
12.269597,11.816173
12.269597,11.894409
12.269597,12.070309
12.269597,12.263829
10.672321,12.025353
10.672321,11.178131
10.672321,10.680812
10.672321,10.517278
10.672321,10.506518
10.672321,10.523775
10.672321,10.570855
10.672321,10.669089
10.672321,10.676584
8.547255,10.4557495
8.547255,10.119897
8.547255,9.602917
8.547255,9.056847
8.547255,8.6473
8.547255,8.435344
8.547255,8.442052
8.547255,8.555086
8.495543,8.880811
8.495543,9.152138
8.495543,9.324239
8.495543,9.171163
8.495543,8.835947
8.495543,8.562884
8.495543,8.433857
8.495543,8.493682
9.848645,9.265642
9.848645,9.656904
9.848645,10.195479
9.848645,10.736012
9.848645,11.029333
9.848645,10.890009
9.848645,10.351907
9.848645,9.865665
9.848645,9.835019
10.672338,9.348755
10.672338,9.091212
10.672338,9.141067
10.672338,9.420082
10.672338,9.778532
10.672338,10.204985
10.672338,10.529353
10.672338,10.667847
12.766221,10.791057
12.766221,10.960576
12.766221,11.187031
12.766221,11.496365
12.766221,11.882961
12.766221,12.268813
12.766221,12.588216
12.766221,12.784473
12.766221,12.768146
14.246594,12.978426
14.246594,13.120247
14.246594,13.234666
14.246594,13.322092
14.246594,13.473754
14.246594,13.656462
14.246594,13.907403
14.246594,14.243414
14.230597,14.569066
14.230597,15.052681
14.230597,15.371497
14.230597,15.498567
14.230597,15.472245
14.230597,15.191715
14.230597,14.836747
14.230597,14.242046
12.249798,13.397369
12.249798,13.761115
12.249798,14.4368105
12.249798,14.994977
12.249798,14.913755
12.249798,14.142973
12.249798,13.056243
12.249798,12.174459
12.249798,12.240532
6.122634,10.593757
6.122634,10.094689
6.122634,9.275082
6.122634,8.050669
6.122634,6.9289823
6.122634,6.1571755
6.122634,5.8868675
6.122634,6.1226144
9.753688,7.2586646
9.753688,8.497795
9.753688,9.507357
9.753688,10.13682
9.753688,10.304018
9.753688,10.173225
9.753688,9.914621
9.753688,9.754789
8.7110815,10.561864
8.7110815,10.167381
8.7110815,9.649844
8.7110815,9.124722
8.7110815,8.660351
8.7110815,8.587149
8.7110815,8.644919
8.7110815,8.716781
8.7110815,8.713496
12.77036,9.035037
12.77036,7.9361653
12.77036,7.206172
12.77036,7.215339
12.77036,8.058978
12.77036,9.776205
12.77036,11.579487
12.77036,12.882145
9.094355,12.970287
9.094355,12.081533
9.094355,11.184748
9.094355,10.557084
9.094355,10.392096
9.094355,10.131097
9.094355,9.720297
9.094355,9.103809
11.385551,8.759744
11.385551,8.394367
11.385551,8.523689
11.385551,9.112814
11.385551,9.958001
11.385551,10.827524
11.385551,11.314026
11.385551,11.381803
7.039047,10.548944
7.039047,10.129039
7.039047,9.897593
7.039047,9.753866
7.039047,9.556652
7.039047,8.907213
7.039047,7.8127666
7.039047,6.9595327
7.039047,7.0326643
5.89961,5.7749205
5.89961,5.438364
5.89961,5.285667
5.89961,5.382671
5.89961,5.4745283
5.89961,5.530822
5.89961,5.6405845
5.89961,5.892704
7.7087336,7.266483
7.7087336,9.029173
7.7087336,10.371169
7.7087336,10.868548
7.7087336,10.440103
7.7087336,9.580887
7.7087336,8.587761
7.7087336,7.7058873
9.20419,7.19305
9.20419,6.8325353
9.20419,6.912556
9.20419,7.3217854
9.20419,7.8551702
9.20419,8.338591
9.20419,8.855693
9.20419,9.1916485
9.20419,9.222494
10.254053,9.817793
10.254053,10.319996
10.254053,10.313012
10.254053,9.975207
10.254053,9.672718
10.254053,9.849843
10.254053,10.103327
10.254053,10.270551
6.4253345,9.255299
6.4253345,8.241259
6.4253345,7.3815594
6.4253345,6.178394
6.4253345,5.403227
6.4253345,5.3458266
6.4253345,5.7860217
6.4253345,6.413801
11.049586,6.5174146
11.049586,6.385724
11.049586,6.5604014
11.049586,7.2638793
11.049586,8.625075
11.049586,9.998304
11.049586,10.699962
11.049586,11.037544
11.049586,11.068389
9.540744,10.374269
9.540744,9.739027
9.540744,9.232283
9.540744,8.931781
9.540744,8.8744755
9.540744,8.990839
9.540744,9.291498
9.540744,9.567132
10.811809,10.135584
10.811809,9.565804
10.811809,8.944652
10.811809,8.487696
10.811809,8.290428
10.811809,8.726226
10.811809,9.785596
10.811809,10.8959
7.9506974,11.000283
7.9506974,10.66176
7.9506974,9.984984
7.9506974,9.270539
7.9506974,8.94406
7.9506974,8.631941
7.9506974,8.343674
7.9506974,7.9682875
7.9506974,7.934321
