Dirt 358 Modified @ The Lernerville Speedway - Clay Oval
InputTorque60Hz,InputTorque500Hz
-23.46121,-23.482084
-26.203623,-23.858994
-26.203623,-24.164194
-26.203623,-24.488438
-26.203623,-24.817175
-26.203623,-25.167486
-26.203623,-25.437828
-26.203623,-25.811605
-26.203623,-26.18938
-29.001638,-26.672695
-29.001638,-27.021732
-29.001638,-27.374681
-29.001638,-27.723042
-29.001638,-28.066406
-29.001638,-28.405315
-29.001638,-28.754156
-29.001638,-29.023033
-29.001638,-29.005522
-30.6167,-29.341204
-30.6167,-29.57246
-30.6167,-29.735874
-30.6167,-29.940077
-30.6167,-30.124775
-30.6167,-30.295574
-30.6167,-30.458607
-30.6167,-30.610643
-31.094912,-30.704805
-31.094912,-30.765959
-31.094912,-30.826677
-31.094912,-30.884653
-31.094912,-30.94219
-31.094912,-30.997942
-31.094912,-31.055004
-31.094912,-31.098732
-31.094912,-31.097359
-31.005358,-31.063955
-31.005358,-31.039463
-31.005358,-31.01686
-31.005358,-30.997278
-31.005358,-30.9839
-31.005358,-30.981203
-31.005358,-30.991886
-31.005358,-31.006456
-30.970892,-30.95639
-30.970892,-30.936954
-30.970892,-30.930387
-30.970892,-30.933285
-30.970892,-30.942886
-30.970892,-30.950274
-30.970892,-30.960606
-30.970892,-30.970522
-30.463972,-30.923998
-30.463972,-30.886705
-30.463972,-30.844069
-30.463972,-30.79301
-30.463972,-30.732698
-30.463972,-30.654701
-30.463972,-30.551258
-30.463972,-30.456621
-28.632603,-30.24716
-28.632603,-30.066359
-28.632603,-29.866964
-28.632603,-29.704369
-28.632603,-29.470493
-28.632603,-29.213453
-28.632603,-28.933006
-28.632603,-28.642532
-28.632603,-28.61926
-25.54766,-28.19181
-25.54766,-27.849775
-25.54766,-27.4907
-25.54766,-27.11581
-25.54766,-26.728092
-25.54766,-26.322443
-25.54766,-25.868008
-25.54766,-25.566086
-20.948545,-24.899103
-20.948545,-24.354918
-20.948545,-23.785635
-20.948545,-23.204926
-20.948545,-22.612831
-20.948545,-22.012976
-20.948545,-21.38851
-20.948545,-20.907358
-16.89999,-20.233435
-16.89999,-19.721252
-16.89999,-19.208675
-16.89999,-18.711407
-16.89999,-18.347656
-16.89999,-17.86092
-16.89999,-17.381721
-16.89999,-16.92016
-16.89999,-16.877642
-14.420172,-16.414892
-14.420172,-16.069857
-14.420172,-15.747011
-14.420172,-15.430899
-14.420172,-15.143405
-14.420172,-14.86505
-14.420172,-14.597575
-14.420172,-14.401591
-13.3838415,-14.233652
-13.3838415,-14.100456
-13.3838415,-13.975206
-13.3838415,-13.845617
-13.3838415,-13.719219
-13.3838415,-13.594199
-13.3838415,-13.47002
-13.3838415,-13.376629
-13.774488,-13.427755
-13.774488,-13.465729
-13.774488,-13.507346
-13.774488,-13.554385
-13.774488,-13.60651
-13.774488,-13.662661
-13.774488,-13.7091465
-13.774488,-13.772712
-13.774488,-13.77734
-15.270433,-14.003046
-15.270433,-14.178953
-15.270433,-14.356536
-15.270433,-14.541924
-15.270433,-14.741644
-15.270433,-14.917436
-15.270433,-15.124831
-15.270433,-15.284523
-17.53633,-15.63921
-17.53633,-15.9123535
-17.53633,-16.11158
-17.53633,-16.375023
-17.53633,-16.63636
-17.53633,-16.90312
-17.53633,-17.199963
-17.53633,-17.523832
-17.53633,-17.550426
-21.682854,-18.082355
-21.682854,-18.530403
-21.682854,-18.994003
-21.682854,-19.502575
-21.682854,-20.04239
-21.682854,-20.591597
-21.682854,-21.057945
-21.682854,-21.674294
-27.2184,-22.514532
-27.2184,-23.15357
-27.2184,-23.805737
-27.2184,-24.48387
-27.2184,-25.171415
-27.2184,-25.875652
-27.2184,-26.663557
-27.2184,-27.269808
-33.640717,-28.207188
-33.640717,-28.96299
-33.640717,-29.720175
-33.640717,-30.520857
-33.640717,-31.325857
-33.640717,-31.937523
-33.640717,-32.788216
-33.640717,-33.609814
-33.640717,-33.67671
-39.34921,-34.585915
-39.34921,-35.275143
-39.34921,-35.972744
-39.34921,-36.67397
-39.34921,-37.383038
-39.34921,-38.082973
-39.34921,-38.831547
-43.7324,-40.066532
-43.7324,-40.613773
-43.7324,-41.002666
-43.7324,-41.53444
-43.7324,-42.072285
-43.7324,-42.62184
-43.7324,-43.176224
-43.7324,-43.721375
-43.7324,-43.755615
-46.33313,-44.22461
-46.33313,-44.57079
-46.33313,-44.900143
-46.33313,-45.22169
-46.33313,-45.533855
-46.33313,-45.753937
-46.33313,-46.043137
-46.33313,-46.325233
-46.33313,-46.345463
-47.183357,-46.46952
-47.183357,-46.575386
-47.183357,-46.683613
-47.183357,-46.791523
-47.183357,-46.89838
-47.183357,-47.003006
-47.183357,-47.110588
-47.05965,-47.137386
-47.05965,-47.104702
-47.05965,-47.083736
-47.05965,-47.061558
-47.05965,-47.04958
-47.05965,-47.047203
-47.05965,-47.05166
-47.05965,-47.059486
-47.05965,-47.05998
-45.928078,-46.887756
-45.928078,-46.757645
-45.928078,-46.617916
-45.928078,-46.47947
-45.928078,-46.33772
-45.928078,-46.193336
-45.928078,-46.039772
-45.928078,-45.93427
-44.124996,-45.651497
-44.124996,-45.440113
-44.124996,-45.22526
-44.124996,-45.004585
-44.124996,-44.78367
-44.124996,-44.556824
-44.124996,-44.310726
-44.124996,-44.11028
-44.124996,-44.122276
-41.963566,-43.82274
-41.963566,-43.596508
-41.963566,-43.362907
-41.963566,-43.11602
-41.963566,-42.849194
-41.963566,-42.636448
-41.963566,-42.3211
-41.963566,-41.978367
-38.167126,-41.468475
-38.167126,-41.07249
-38.167126,-40.652462
-38.167126,-40.201015
-38.167126,-39.70187
-38.167126,-39.20309
-38.167126,-38.618526
-38.167126,-38.129597
-33.142345,-37.445156
-33.142345,-36.882515
-33.142345,-36.45737
-33.142345,-35.87908
-33.142345,-35.295532
-33.142345,-34.652992
-33.142345,-33.92072
-33.142345,-33.172035
-33.142345,-33.10831
-27.505905,-32.227478
-27.505905,-31.54544
-27.505905,-30.852734
-27.505905,-30.150928
-27.505905,-29.455849
-27.505905,-28.75107
-27.505905,-28.021746
-27.505905,-27.456095
-23.464828,-26.764418
-23.464828,-26.236294
-23.464828,-25.7261
-23.464828,-25.23117
-23.464828,-24.748865
-23.464828,-24.275423
-23.464828,-23.800608
-23.464828,-23.43668
-23.464828,-23.459112
-21.469624,-23.078835
-21.469624,-22.814785
-21.469624,-22.56242
-21.469624,-22.319088
-21.469624,-22.090246
-21.469624,-21.864962
-21.469624,-21.697523
-21.469624,-21.478561
-20.589312,-21.340014
-20.589312,-21.243567
-20.589312,-21.141285
-20.589312,-21.02893
-20.589312,-20.918814
-20.589312,-20.803352
-20.589312,-20.678223
-20.589312,-20.580677
-20.123343,-20.542074
-20.123343,-20.500553
-20.123343,-20.45038
-20.123343,-20.394827
-20.123343,-20.349323
-20.123343,-20.282198
-20.123343,-20.207747
-20.123343,-20.127544
-20.123343,-20.119463
-19.76839,-20.104895
-19.76839,-20.078707
-19.76839,-20.043747
-19.76839,-20.000675
-19.76839,-19.949448
-19.76839,-19.892193
-19.76839,-19.822697
-19.132187,-19.692667
-19.132187,-19.628483
-19.132187,-19.571491
-19.132187,-19.494709
-19.132187,-19.419346
-19.132187,-19.333723
-19.132187,-19.235298
-19.132187,-19.134481
-19.132187,-19.128193
-18.268793,-19.0111
-18.268793,-18.913748
-18.268793,-18.808264
-18.268793,-18.69821
-18.268793,-18.58454
-18.268793,-18.47034
-18.268793,-18.383924
-18.268793,-18.273628
-18.268793,-18.26382
-17.849422,-18.137316
-17.849422,-18.051903
-17.849422,-17.978806
-17.849422,-17.920238
-17.849422,-17.874912
-17.849422,-17.851809
-17.849422,-17.84596
-17.873129,-17.852894
-17.873129,-17.864834
-17.873129,-17.870846
-17.873129,-17.871407
-17.873129,-17.86988
-17.873129,-17.868425
-17.873129,-17.869036
-17.873129,-17.873007
-17.873129,-17.873287
-17.900324,-17.90687
-17.900324,-17.926313
-17.900324,-17.93994
-17.900324,-17.946474
-17.900324,-17.945791
-17.900324,-17.937756
-17.900324,-17.918655
-17.900324,-17.898764
-17.1568,-17.829416
-17.1568,-17.761301
-17.1568,-17.67854
-17.1568,-17.584835
-17.1568,-17.479267
-17.1568,-17.36558
-17.1568,-17.244379
-17.1568,-17.149305
-17.1568,-17.155397
-17.38103,-17.032183
-17.38103,-16.941324
-17.38103,-16.88017
-17.38103,-16.86699
-17.38103,-16.900318
-17.38103,-17.000284
-17.38103,-17.163883
-17.38103,-17.374002
-20.48068,-17.757092
-20.48068,-18.077497
-20.48068,-18.43425
-20.48068,-18.80813
-20.48068,-19.221453
-20.48068,-19.64932
-20.48068,-20.125027
-20.48068,-20.513151
-25.257368,-21.1782
-25.257368,-21.720776
-25.257368,-22.293402
-25.257368,-22.741251
-25.257368,-23.333645
-25.257368,-23.954012
-25.257368,-24.597425
-25.257368,-25.244822
-25.257368,-25.284584
-30.960012,-26.11656
-30.960012,-26.771955
-30.960012,-27.443035
-30.960012,-28.1374
-30.960012,-28.85293
-30.960012,-29.570202
-30.960012,-30.36404
-30.960012,-31.009235
-37.554913,-31.975899
-37.554913,-32.764034
-37.554913,-33.569813
-37.554913,-34.397102
-37.554913,-35.2388
-37.554913,-36.07633
-37.554913,-36.940548
-37.554913,-37.606834
-42.2472,-38.46145
-42.2472,-39.090405
-42.2472,-39.70388
-42.2472,-40.279594
-42.2472,-40.839546
-42.2472,-41.229866
-42.2472,-41.74627
-42.2472,-42.229397
-43.729603,-42.659462
-43.729603,-42.921646
-43.729603,-43.153053
-43.729603,-43.344494
-43.729603,-43.494778
-43.729603,-43.608257
-43.729603,-43.688778
-43.729603,-43.73394
-43.729603,-43.730156
-41.77781,-43.5805
-41.77781,-43.42974
-41.77781,-43.236515
-41.77781,-43.068752
-41.77781,-42.802975
-41.77781,-42.500847
-41.77781,-42.152534
-41.77781,-41.788002
-37.26295,-41.116314
-37.26295,-40.60435
-37.26295,-40.08572
-37.26295,-39.546703
-37.26295,-38.982685
-37.26295,-38.40639
-37.26295,-37.739758
-37.26295,-37.281902
-37.26295,-37.234936
-30.562374,-36.307888
-30.562374,-35.570618
-30.562374,-34.82443
-30.562374,-34.044704
-30.562374,-33.254337
-30.562374,-32.364147
-30.562374,-31.329317
-30.562374,-30.49035
-22.590603,-29.229216
-22.590603,-28.24405
-22.590603,-27.245735
-22.590603,-26.26129
-22.590603,-25.525852
-22.590603,-24.5089
-22.590603,-23.56587
-22.590603,-22.62754
-16.931995,-21.52956
-16.931995,-20.778812
-16.931995,-20.059858
-16.931995,-19.364792
-16.931995,-18.674397
-16.931995,-18.029783
-16.931995,-17.366913
-16.931995,-16.889175
-16.931995,-16.926548
-14.249905,-16.395699
-14.249905,-16.035372
-14.249905,-15.694736
-14.249905,-15.357878
-14.249905,-15.048648
-14.249905,-14.752143
-14.249905,-14.45681
-14.249905,-14.231024
-13.890185,-14.158104
-13.890185,-14.102848
-13.890185,-14.0516815
-13.890185,-14.005569
-13.890185,-13.965628
-13.890185,-13.940364
-13.890185,-13.912212
-13.890185,-13.890996
-14.913143,-14.050986
-14.913143,-14.168579
-14.913143,-14.288402
-14.913143,-14.407531
-14.913143,-14.530361
-14.913143,-14.6597185
-14.913143,-14.807171
-14.913143,-14.923225
-17.398832,-15.336817
-17.398832,-15.64806
-17.398832,-15.963512
-17.398832,-16.193005
-17.398832,-16.498163
-17.398832,-16.7975
-17.398832,-17.102186
-17.398832,-17.389317
-17.398832,-17.411951
-20.243137,-17.937687
-20.243137,-18.317078
-20.243137,-18.682701
-20.243137,-19.038757
-20.243137,-19.376406
-20.243137,-19.693079
-20.243137,-20.016235
-20.243137,-20.260986
-23.534492,-20.69036
-23.534492,-20.999279
-23.534492,-21.325058
-23.534492,-21.676176
-23.534492,-22.08027
-23.534492,-22.549608
-23.534492,-23.10421
-23.534492,-23.569504
-23.534492,-23.539497
-28.29668,-24.314194
-28.29668,-24.909727
-28.29668,-25.522614
-28.29668,-26.108185
-28.29668,-26.681307
-28.29668,-27.25747
-28.29668,-27.708265
-28.29668,-28.272913
-33.588978,-29.108803
-33.588978,-29.70278
-33.588978,-30.305702
-33.588978,-30.935564
-33.588978,-31.585985
-33.588978,-32.265835
-33.588978,-33.02995
-33.588978,-33.636635
-39.057827,-34.520454
-39.057827,-35.218708
-39.057827,-35.926075
-39.057827,-36.62702
-39.057827,-37.30446
-39.057827,-37.793213
-39.057827,-38.436214
-39.057827,-39.036446
-39.057827,-39.08216
-42.382748,-39.677116
-42.382748,-40.09739
