Dirt Big Block Modified @ The Dirt Track At Charlotte - Clay Oval
InputTorque60Hz,InputTorque500Hz
-24.227812,-23.795765
-24.227812,-23.871983
-24.227812,-23.947718
-24.227812,-24.023136
-24.227812,-24.097204
-24.227812,-24.17368
-24.227812,-24.233051
-24.227812,-24.23092
-24.566055,-24.335392
-24.566055,-24.404242
-24.566055,-24.463446
-24.566055,-24.511873
-24.566055,-24.548595
-24.566055,-24.569946
-24.566055,-24.572966
-24.566055,-24.565647
-24.263819,-24.534422
-24.263819,-24.496758
-24.263819,-24.461807
-24.263819,-24.4256
-24.263819,-24.39205
-24.263819,-24.36627
-24.263819,-24.321472
-24.263819,-24.26552
-23.786423,-24.187569
-23.786423,-24.127516
-23.786423,-24.064194
-23.786423,-24.001604
-23.786423,-23.940317
-23.786423,-23.88124
-23.786423,-23.824137
-23.786423,-23.782753
-23.489902,-23.764244
-23.489902,-23.745106
-23.489902,-23.726479
-23.489902,-23.695347
-23.489902,-23.655092
-23.489902,-23.607481
-23.489902,-23.552603
-23.489902,-23.492403
-23.489902,-23.487251
-22.082293,-23.41785
-22.082293,-23.30746
-22.082293,-23.167793
-22.082293,-22.994184
-22.082293,-22.7853
-22.082293,-22.555325
-22.082293,-22.282404
-22.082293,-22.063507
-19.651392,-21.733515
-19.651392,-21.460432
-19.651392,-21.171045
-19.651392,-20.864256
-19.651392,-20.547508
-19.651392,-20.230097
-19.651392,-19.890102
-19.651392,-19.629425
-17.269173,-19.267454
-17.269173,-18.988462
-17.269173,-18.696682
-17.269173,-18.481726
-17.269173,-18.186563
-17.269173,-17.886946
-17.269173,-17.581085
-17.269173,-17.277868
-17.269173,-17.256016
-15.549881,-16.960268
-15.549881,-16.737354
-15.549881,-16.521967
-15.549881,-16.312788
-15.549881,-16.110872
-15.549881,-15.9099655
-15.549881,-15.700605
-15.549881,-15.53616
-14.421019,-15.355094
-14.421019,-15.216733
-14.421019,-15.079934
-14.421019,-14.945345
-14.421019,-14.814131
-14.421019,-14.679468
-14.421019,-14.531053
-14.421019,-14.411339
-14.421019,-14.41978
-13.956676,-14.336247
-13.956676,-14.274592
-13.956676,-14.215312
-13.956676,-14.1577835
-13.956676,-14.116536
-13.956676,-14.063142
-13.956676,-14.010493
-14.190896,-13.966734
-14.190896,-13.979422
-14.190896,-13.998831
-14.190896,-14.025755
-14.190896,-14.0599165
-14.190896,-14.100364
-14.190896,-14.150216
-14.190896,-14.194294
-14.190896,-14.191416
-16.098948,-14.418297
-16.098948,-14.541146
-16.098948,-14.719621
-16.098948,-14.919107
-16.098948,-15.158856
-16.098948,-15.436121
-16.098948,-15.755437
-16.098948,-16.090832
-19.949392,-16.5912
-19.949392,-16.989042
-19.949392,-17.407005
-19.949392,-17.861687
-19.949392,-18.358356
-19.949392,-18.882895
-19.949392,-19.493753
-19.949392,-19.923796
-19.949392,-19.97836
-26.550814,-20.888668
-26.550814,-21.626833
-26.550814,-22.404205
-26.550814,-23.216389
-26.550814,-24.071032
-26.550814,-24.93457
-26.550814,-25.881695
-26.550814,-26.614334
-33.627945,-27.673708
-33.627945,-28.50803
-33.627945,-29.357937
-33.627945,-30.219097
-33.627945,-30.90154
-33.627945,-31.78315
-33.627945,-32.70892
-33.627945,-33.60523
-33.627945,-33.668076
-40.126823,-34.75078
-40.126823,-35.571083
