FIA Cross Car @ Winton Motor Raceway - Rallycross
InputTorque60Hz,InputTorque500Hz
4.5851655,-2.5030282
4.5851655,-1.0307181
4.5851655,0.39046952
4.5851655,1.8629255
4.5851655,3.4461937
4.5851655,4.6837335
4.5851655,4.593531
17.692724,7.7177253
17.692724,9.2430725
17.692724,10.661138
17.692724,11.752349
17.692724,13.1911335
17.692724,14.6458
17.692724,16.144949
17.692724,17.655739
28.742641,19.438389
28.742641,20.981665
28.742641,22.47848
28.742641,23.942757
28.742641,25.351524
28.742641,26.659592
28.742641,27.907162
28.742641,28.856234
30.864483,28.615345
30.864483,29.29342
30.864483,29.750145
30.864483,30.232103
30.864483,30.583086
30.864483,30.805746
30.864483,30.89742
30.864483,30.865612
30.864483,30.863764
22.01895,27.988188
22.01895,27.491095
22.01895,26.958624
22.01895,26.199734
22.01895,25.263083
22.01895,24.06541
22.01895,22.955061
22.01895,22.047752
9.475693,17.715002
9.475693,16.334345
9.475693,15.120911
9.475693,13.845592
9.475693,12.614518
9.475693,11.461989
9.475693,10.266895
9.475693,9.399635
2.4573586,7.308645
2.4573586,6.4332886
2.4573586,5.675672
2.4573586,4.950047
2.4573586,4.2758846
2.4573586,3.6204019
2.4573586,3.10034
2.4573586,2.4756575
2.4573586,2.4317045
-0.1458854,1.6112558
-0.1458854,1.066543
-0.1458854,0.6101599
-0.1458854,0.23829469
-0.1458854,-0.013130089
-0.1458854,-0.15169038
-0.1458854,-0.17853342
-0.1458854,-0.14421435
3.9837778,0.81665164
3.9837778,1.2195684
3.9837778,1.5207312
3.9837778,1.9605415
3.9837778,2.4397202
3.9837778,2.9237735
3.9837778,3.4433794
3.9837778,3.9654412
3.9837778,4.007487
11.792111,8.23404
11.792111,8.82437
11.792111,9.243989
11.792111,9.766755
11.792111,10.297325
11.792111,10.829553
11.792111,11.248413
11.792111,11.764315
15.743468,13.686057
15.743468,14.176743
15.743468,14.559464
15.743468,14.912939
15.743468,15.214129
15.743468,15.456789
15.743468,15.643436
15.743468,15.753613
14.973575,16.377773
14.973575,16.377115
14.973575,16.286308
14.973575,16.182499
14.973575,15.986879
14.973575,15.725674
14.973575,15.3828125
14.973575,14.98642
8.98984,14.328213
8.98984,13.707777
8.98984,13.020005
8.98984,12.263614
8.98984,11.444934
8.98984,10.574418
8.98984,9.634788
8.98984,8.926908
8.98984,8.953913
2.1658337,7.6071196
2.1658337,6.7894926
2.1658337,6.012027
2.1658337,5.2288957
2.1658337,4.433214
2.1658337,3.6427794
2.1658337,2.790357
2.1658337,2.112821
-2.5487175,1.3383842
-2.5487175,0.6184763
-2.5487175,-0.059293643
-2.5487175,-0.69217634
-2.5487175,-1.2727969
-2.5487175,-1.7701519
-2.5487175,-2.135653
-2.5487175,-2.536927
-2.5487175,-2.561256
-2.773091,-2.150545
-2.773091,-2.324126
-2.773091,-2.4989145
-2.773091,-2.6139662
-2.773091,-2.6960056
-2.773091,-2.7512603
-2.773091,-2.7730892
-2.773091,-2.7734199
-0.12457579,-1.2379438
-0.12457579,-1.1277469
-0.12457579,-1.0669806
-0.12457579,-0.97159547
-0.12457579,-0.81470853
-0.12457579,-0.6205121
-0.12457579,-0.39033043
-0.12457579,-0.136068
2.7790165,1.4069921
2.7790165,1.7037666
2.7790165,1.9319334
2.7790165,2.1758418
2.7790165,2.3970916
2.7790165,2.5782392
2.7790165,2.7107866
2.7790165,2.7858565
2.7790165,2.7797775
2.3904963,3.091144
2.3904963,3.105753
2.3904963,3.0540674
2.3904963,2.97103
2.3904963,2.8549638
2.3904963,2.7125907
2.3904963,2.5557604
2.3904963,2.3963017
1.507808,2.435585
1.507808,2.2577994
1.507808,2.0793977
1.507808,1.9325535
1.507808,1.8051382
1.507808,1.6914865
1.507808,1.609626
1.507808,1.5105097
0.6497809,0.68906957
0.6497809,0.62534654
0.6497809,0.6092712
0.6497809,0.5864531
0.6497809,0.57930744
0.6497809,0.5892533
0.6497809,0.61958194
0.6497809,0.65233916
0.6497809,0.6501623
0.8926211,0.8482848
0.8926211,0.9049542
0.8926211,0.93751246
0.8926211,0.9743127
0.8926211,0.9904947
0.8926211,0.98296887
0.8926211,0.94908565
0.8926211,0.89440125
0.08903499,0.8561249
0.08903499,0.7645599
0.08903499,0.65769917
0.08903499,0.54603475
0.08903499,0.43123722
0.08903499,0.3128254
0.08903499,0.2166111
0.08903499,0.09394825
0.109571554,0.096367136
0.109571554,0.04743605
0.109571554,0.008283949
0.109571554,-0.014341155
0.109571554,-0.016629908
0.109571554,0.004194825
0.109571554,0.057451747
0.109571554,0.11380868
2.7294207,1.3106369
2.7294207,1.4672425
2.7294207,1.5892286
2.7294207,1.762827
2.7294207,1.9098806
2.7294207,2.1412685
2.7294207,2.4087188
2.7294207,2.718017
2.7294207,2.7433913
6.77694,3.825097
6.77694,4.2238584
6.77694,4.6233373
6.77694,5.0593505
6.77694,5.5090246
6.77694,5.975677
6.77694,6.450944
6.77694,6.8073277
8.835964,7.404828
8.835964,7.687319
8.835964,8.000209
8.835964,8.263632
8.835964,8.465681
8.835964,8.622106
8.835964,8.74037
8.835964,8.832882
8.998837,9.431054
8.998837,9.439396
8.998837,9.397958
8.998837,9.351555
8.998837,9.283903
8.998837,9.219012
8.998837,9.117102
8.998837,9.001395
8.998837,8.994031
7.298671,8.245387
7.298671,8.07089
7.298671,7.9303226
7.298671,7.7834883
7.298671,7.65387
7.298671,7.5338216
7.298671,7.397697
7.298671,7.2889013
5.308128,6.1108155
5.308128,5.929775
5.308128,5.8419724
5.308128,5.693585
5.308128,5.5678897
5.308128,5.4590592
5.308128,5.3720474
5.308128,5.310673
5.308128,5.3050485
4.9628406,5.0123
4.9628406,5.016442
4.9628406,5.033926
4.9628406,5.0380206
4.9628406,5.0300636
4.9628406,5.0123467
4.9628406,4.985462
4.9628406,4.9639516
4.6511464,5.105763
4.6511464,4.9965835
4.6511464,4.887486
4.6511464,4.799423
4.6511464,4.7284074
4.6511464,4.6769934
4.6511464,4.6534033
4.6511464,4.6505775
4.99168,3.4757526
4.99168,3.5860708
4.99168,3.7900918
4.99168,3.9958322
4.99168,4.2327733
4.99168,4.4156923
4.99168,4.6933336
4.99168,4.9799013
7.267361,5.4328
7.267361,5.713359
7.267361,5.9923115
7.267361,6.2747083
7.267361,6.5530534
7.267361,6.824506
7.267361,7.087761
7.267361,7.2827196
7.267361,7.269671
7.914712,7.2167425
7.914712,7.370368
7.914712,7.5061555
7.914712,7.6082726
7.914712,7.6919575
7.914712,7.7699695
7.914712,7.853357
7.914712,7.921077
8.300171,7.611482
8.300171,7.7009773
8.300171,7.8179865
8.300171,7.924814
8.300171,8.027924
8.300171,8.127181
8.300171,8.20275
8.300171,8.296754
9.106563,8.306132
9.106563,8.398409
9.106563,8.503765
9.106563,8.616923
9.106563,8.737599
9.106563,8.865998
9.106563,9.010421
9.106563,9.116433
9.106563,9.107614
10.12372,9.077625
10.12372,9.175137
10.12372,9.334063
10.12372,9.48297
10.12372,9.633093
10.12372,9.790391
10.12372,9.954961
10.12372,10.120949
11.065663,10.318462
11.065663,10.467836
11.065663,10.609992
11.065663,10.746487
11.065663,10.871394
11.065663,10.969035
11.065663,11.02264
11.065663,11.064288
11.065663,11.067753
10.524111,10.995322
10.524111,10.967183
10.524111,10.920941
10.524111,10.854602
10.524111,10.775404
10.524111,10.687418
10.524111,10.592802
10.524111,10.51802
10.048195,10.420973
10.048195,10.324285
10.048195,10.238
10.048195,10.185187
10.048195,10.126321
10.048195,10.082259
10.048195,10.05522
10.048195,10.048413
11.001878,9.790595
11.001878,9.87027
11.001878,10.00502
11.001878,10.1636915
11.001878,10.355115
11.001878,10.5652485
11.001878,10.818763
11.001878,11.019214
11.001878,11.012989
13.6920595,11.465493
13.6920595,11.767785
13.6920595,12.076685
13.6920595,12.389573
13.6920595,12.710375
13.6920595,13.042348
13.6920595,13.416061
13.6920595,13.716618
16.228008,14.31668
16.228008,14.69662
16.228008,15.066867
16.228008,15.4126425
16.228008,15.727352
16.228008,15.917121
16.228008,16.110516
16.228008,16.22284
14.658423,15.99034
14.658423,15.921345
14.658423,15.807659
14.658423,15.636029
14.658423,15.417006
14.658423,15.159661
14.658423,14.877058
14.658423,14.6408
14.658423,14.655177
12.773087,14.097937
12.773087,13.810574
12.773087,13.554603
12.773087,13.326158
12.773087,13.176757
12.773087,13.010204
12.773087,12.87588
12.773087,12.777632
11.817365,12.284312
11.817365,12.246597
11.817365,12.235054
11.817365,12.206317
11.817365,12.163969
11.817365,12.087404
11.817365,11.945853
11.817365,11.804709
9.305325,11.495634
9.305325,11.216449
9.305325,10.9066
9.305325,10.576805
9.305325,10.234683
9.305325,9.892986
9.305325,9.546569
9.305325,9.284087
9.305325,9.301348
7.871755,8.9501915
7.871755,8.683565
7.871755,8.456886
7.871755,8.263966
7.871755,8.14308
7.871755,8.016626
7.871755,7.9266686
7.871755,7.8725567
8.185102,7.739056
8.185102,7.7624373
8.185102,7.815315
8.185102,7.8854766
8.185102,7.9702153
8.185102,8.056099
8.185102,8.1357355
8.185102,8.190286
8.161734,8.331089
8.161734,8.366435
8.161734,8.375451
8.161734,8.369714
8.161734,8.341981
8.161734,8.297424
8.161734,8.234092
8.161734,8.163712
8.161734,8.158588
7.881479,8.28919
7.881479,8.209831
7.881479,8.12211
7.881479,8.050897
7.881479,7.9920955
7.881479,7.9451065
7.881479,7.9056606
7.881479,7.8828397
7.06249,7.8962693
7.06249,7.8472214
7.06249,7.7715797
7.06249,7.672551
7.06249,7.545946
7.06249,7.395223
7.06249,7.2078657
7.06249,7.050392
5.6234775,6.7008433
5.6234775,6.5076766
5.6234775,6.328284
5.6234775,6.1521907
5.6234775,5.9889793
5.6234775,5.8422284
5.6234775,5.7401557
5.6234775,5.629167
5.6234775,5.618117
5.174038,5.490925
5.174038,5.423124
5.174038,5.3671165
5.174038,5.3174906
5.174038,5.270778
5.174038,5.230012
5.174038,5.19571
5.174038,5.17213
5.0397644,5.010759
5.0397644,4.9958925
5.0397644,4.9930754
5.0397644,4.991262
5.0397644,4.9925356
5.0397644,4.9997516
5.0397644,5.015045
5.0397644,5.0390186
5.8090353,5.0363092
5.8090353,5.0893307
5.8090353,5.170861
5.8090353,5.2797475
5.8090353,5.4150214
5.8090353,5.56056
5.8090353,5.7107096
5.8090353,5.81878
5.912819,5.8937154
5.912819,5.942435
5.912819,5.993112
5.912819,6.017064
5.912819,6.0185976
5.912819,5.9990773
5.912819,5.9607763
5.912819,5.914407
5.912819,5.910738
5.425938,5.5796847
5.425938,5.5248523
5.425938,5.4948864
5.425938,5.469732
5.425938,5.454382
5.425938,5.446296
5.425938,5.4366693
5.425938,5.426119
4.4855824,4.974688
4.4855824,4.9435806
4.4855824,4.926169
4.4855824,4.885125
4.4855824,4.823624
4.4855824,4.735564
4.4855824,4.598862
4.4855824,4.4755397
2.5638351,4.0270157
2.5638351,3.8128588
2.5638351,3.6531663
2.5638351,3.431567
2.5638351,3.2069914
2.5638351,2.988357
2.5638351,2.7701387
2.5638351,2.5710454
1.2322761,2.1213374
1.2322761,1.9654639
1.2322761,1.8385372
1.2322761,1.717348
1.2322761,1.599006
1.2322761,1.4777205
1.2322761,1.3367541
1.2322761,1.2224883
1.2322761,1.2259161
-0.16581486,0.9069247
-0.16581486,0.7430688
-0.16581486,0.5924421
-0.16581486,0.43031192
-0.16581486,0.26730472
-0.16581486,0.10755621
-0.16581486,-0.05717787
-0.16581486,-0.17550528
-0.42184237,-0.15329939
-0.42184237,-0.26007003
-0.42184237,-0.359318
-0.42184237,-0.43082055
-0.42184237,-0.4753853
-0.42184237,-0.48772198
-0.42184237,-0.47151095
-0.42184237,-0.42314553
-0.42184237,-0.41988647
1.5463909,-0.10038029
1.5463909,0.04067144
1.5463909,0.21036169
1.5463909,0.41732743
1.5463909,0.6629893
1.5463909,0.9467657
1.5463909,1.2911687
1.5463909,1.5736682
5.5132833,2.1841547
5.5132833,2.511127
5.5132833,2.9630458
5.5132833,3.441983
5.5132833,3.9383717
5.5132833,4.4403176
5.5132833,4.963653
5.5132833,5.4868608
9.277685,6.180181
9.277685,6.6648903
9.277685,7.138618
9.277685,7.6049066
9.277685,8.054384
9.277685,8.496322
9.277685,8.957735
9.277685,9.262249
9.277685,9.29359
11.179651,9.51667
11.179651,9.861012
11.179651,10.2044935
11.179651,10.498754
11.179651,10.750657
11.179651,10.957135
11.179651,11.107414
11.179651,11.187928
10.122851,10.436304
10.122851,10.397243
10.122851,10.381537
10.122851,10.308966
10.122851,10.233112
10.122851,10.175329
10.122851,10.138786
10.122851,10.123297
8.687828,9.630114
8.687828,9.574654
8.687828,9.511001
8.687828,9.398536
8.687828,9.260564
8.687828,9.082957
8.687828,8.92585
8.687828,8.694195
8.687828,8.67789
5.123753,7.9928656
5.123753,7.6218314
5.123753,7.2145147
5.123753,6.7904863
5.123753,6.346334
5.123753,5.9090586
5.123753,5.447908
5.123753,5.092962
3.6322803,4.2558455
3.6322803,3.9496832
3.6322803,3.7272234
3.6322803,3.5925736
3.6322803,3.4826045
3.6322803,3.453423
3.6322803,3.506359
3.6322803,3.6295035
6.8480983,4.7033668
6.8480983,4.9668064
6.8480983,5.216165
6.8480983,5.5309505
6.8480983,5.8631177
6.8480983,6.208546
6.8480983,6.5857916
6.8480983,6.873139
6.8480983,6.8633194
10.112676,7.7955446
10.112676,8.166105
10.112676,8.516427
10.112676,8.864962
10.112676,9.205149
10.112676,9.538412
10.112676,9.871821
10.112676,10.132959
11.799855,10.964479
11.799855,11.222806
11.799855,11.411951
11.799855,11.567039
11.799855,11.679405
11.799855,11.752498
11.799855,11.784458
11.799855,11.799088
11.799855,11.800767
11.282984,12.1052475
11.282984,12.033262
11.282984,11.919903
11.282984,11.803036
11.282984,11.673795
11.282984,11.540179
11.282984,11.390897
9.425602,10.767848
9.425602,10.615894
9.425602,10.456905
9.425602,10.317097
9.425602,10.111622
9.425602,9.892151
9.425602,9.664491
9.425602,9.435592
9.425602,9.415128
7.756693,9.2528925
7.756693,9.042669
7.756693,8.8210745
7.756693,8.596059
7.756693,8.359825
7.756693,8.13282
7.756693,7.9093766
7.756693,7.743446
7.194761,7.825726
7.194761,7.709901
7.194761,7.589679
7.194761,7.4833264
7.194761,7.387829
7.194761,7.3054543
7.194761,7.237775
7.194761,7.1907063
7.194761,7.194132
7.8712626,7.589497
7.8712626,7.5914927
7.8712626,7.5846047
7.8712626,7.606028
