FIA F4 @ Motorsport Arena Oschersleben - Grand Prix
InputTorque60Hz,InputTorque500Hz
7.4944525,7.495232
8.284651,7.4624953
8.284651,7.5732136
8.284651,7.7264333
8.284651,7.8823752
8.284651,7.987672
8.284651,8.100965
8.284651,8.200745
8.284651,8.284649
7.8936844,8.153438
7.8936844,8.142475
7.8936844,8.145082
7.8936844,8.134582
7.8936844,8.092982
7.8936844,8.024667
7.8936844,7.944861
7.8936844,7.894478
7.8936844,7.89118
8.443258,7.6708922
8.443258,7.6811113
8.443258,7.7796116
8.443258,7.9127574
8.443258,8.034996
8.443258,8.140122
8.443258,8.255257
8.443258,8.443277
8.8303385,8.802818
8.8303385,9.10719
8.8303385,9.331324
8.8303385,9.448122
8.8303385,9.429981
8.8303385,9.279366
8.8303385,9.018428
8.8303385,8.807709
7.0673723,8.2868185
7.0673723,8.000893
7.0673723,7.798177
7.0673723,7.6306787
7.0673723,7.4842653
7.0673723,7.330872
7.0673723,7.166453
7.0673723,7.05487
7.0673723,7.0629945
7.5530906,7.3044844
7.5530906,7.290425
7.5530906,7.2442
7.5530906,7.21888
7.5530906,7.2503757
7.5530906,7.333154
7.5530906,7.4561315
7.5530906,7.563389
8.110712,7.8561425
8.110712,7.951764
8.110712,8.022116
8.110712,8.050742
8.110712,8.060467
8.110712,8.066036
8.110712,8.082183
8.110712,8.11152
7.97194,8.556321
7.97194,8.622409
7.97194,8.581972
7.97194,8.454079
7.97194,8.304574
7.97194,8.166703
7.97194,8.048334
7.97194,7.972441
7.97194,7.969505
8.484269,8.483972
8.484269,8.530186
8.484269,8.474482
8.484269,8.380605
8.484269,8.341491
8.484269,8.352183
8.484269,8.40601
8.484269,8.484604
9.057894,8.419827
9.057894,8.494322
9.057894,8.629674
9.057894,8.759462
9.057894,8.856687
9.057894,8.931018
9.057894,8.998005
9.057894,9.057528
10.035463,9.261598
10.035463,9.345631
10.035463,9.452918
10.035463,9.566753
10.035463,9.770471
10.035463,9.937445
10.035463,10.031344
10.035463,10.035268
11.05999,10.034619
11.05999,10.211481
11.05999,10.5029335
11.05999,10.812423
11.05999,11.042328
11.05999,11.1222515
11.05999,11.127935
11.05999,11.060356
11.05999,11.057993
11.030187,10.514713
11.030187,10.556358
11.030187,10.766582
11.030187,11.011673
11.030187,11.176898
11.030187,11.214413
11.030187,11.164415
11.030187,11.032294
9.383421,9.941637
9.383421,9.692445
9.383421,9.656604
9.383421,9.693713
9.383421,9.686184
9.383421,9.611742
9.383421,9.483964
9.383421,9.384694
9.383421,9.379067
7.9238615,8.573276
7.9238615,8.335192
7.9238615,8.220204
7.9238615,8.148267
7.9238615,8.071062
7.9238615,8.004749
7.9238615,7.9516907
7.9238615,7.920315
7.8525705,7.9527946
7.8525705,7.8829875
7.8525705,7.7860613
7.8525705,7.7056823
7.8525705,7.684136
7.8525705,7.7320147
7.8525705,7.808254
7.8525705,7.8585744
7.8525705,7.8546658
8.369913,8.246834
8.369913,8.241238
8.369913,8.157305
8.369913,8.086182
8.369913,8.099599
8.369913,8.189069
8.369913,8.300648
9.548664,9.233752
9.548664,9.317504
9.548664,9.22198
9.548664,9.047012
9.548664,8.987197
9.548664,9.08021
9.548664,9.292714
9.548664,9.547685
9.548664,9.556477
11.637778,10.721647
11.637778,10.952538
11.637778,11.021214
11.637778,10.987099
11.637778,11.027306
11.637778,11.159012
11.637778,11.379858
11.637778,11.63615
13.405698,12.234573
13.405698,12.539665
13.405698,12.787949
13.405698,12.944448
13.405698,13.116625
13.405698,13.235318
13.405698,13.328923
13.405698,13.404953
13.405698,13.408365
13.617004,13.295138
13.617004,13.382996
13.617004,13.484153
13.617004,13.552821
13.617004,13.56665
13.617004,13.5697365
13.617004,13.582473
13.617004,13.617336
13.260249,12.709857
13.260249,12.670777
13.260249,12.829984
13.260249,12.985583
13.260249,13.097807
13.260249,13.151263
13.260249,13.198245
13.260249,13.260711
12.824847,12.801445
12.824847,12.847496
12.824847,12.998267
12.824847,13.11147
12.824847,13.150656
12.824847,13.075612
12.824847,12.947915
12.824847,12.8241005
12.824847,12.820856
12.298215,12.117075
12.298215,12.040536
12.298215,12.1574545
12.298215,12.349941
12.298215,12.490958
12.298215,12.5736885
12.298215,12.502293
12.298215,12.295759
10.323991,11.675029
10.323991,11.43916
10.323991,11.329448
10.323991,11.23932
10.323991,11.118337
10.323991,10.863761
10.323991,10.574353
10.323991,10.3263035
10.323991,10.314152
10.188018,9.974279
10.188018,9.928822
10.188018,9.961374
10.188018,10.023694
10.188018,10.080039
10.188018,10.115683
10.188018,10.144528
10.188018,10.187817
10.232829,10.165438
10.232829,10.262994
10.232829,10.393054
10.232829,10.503442
10.232829,10.529924
10.232829,10.450741
10.232829,10.324623
10.232829,10.222783
9.661224,10.37076
9.661224,10.2677765
9.661224,10.067494
9.661224,9.847348
9.661224,9.693258
9.661224,9.641141
9.661224,9.644456
9.661224,9.662874
9.661224,9.6617565
9.045452,9.538324
9.045452,9.474495
9.045452,9.440761
9.045452,9.427001
9.045452,9.41048
9.045452,9.3292465
9.045452,9.171315
9.045452,9.04444
9.306995,8.90112
9.306995,8.810682
9.306995,8.816332
9.306995,8.914373
9.306995,9.083372
9.306995,9.210295
9.306995,9.284919
9.306995,9.310166
10.907231,9.651917
10.907231,9.820522
10.907231,10.04575
10.907231,10.284798
10.907231,10.52155
10.907231,10.706314
10.907231,10.838774
10.907231,10.907509
10.907231,10.909868
10.689534,10.929899
10.689534,10.955107
10.689534,10.968634
10.689534,10.967572
10.689534,10.9158535
10.689534,10.832648
10.689534,10.746786
10.689534,10.689654
9.91889,10.632715
9.91889,10.555106
9.91889,10.426164
9.91889,10.310248
9.91889,10.142195
9.91889,10.012983
9.91889,9.939912
9.91889,9.918015
9.426923,9.8942175
9.426923,9.8750725
9.426923,9.840411
9.426923,9.804899
9.426923,9.750096
9.426923,9.670584
9.426923,9.558693
9.426923,9.427354
9.08322,9.4006815
9.08322,9.366306
9.08322,9.352059
9.08322,9.346589
9.08322,9.335266
9.08322,9.278816
9.08322,9.186208
9.08322,9.082981
9.08322,9.080182
8.452556,9.168474
8.452556,9.107347
8.452556,8.981737
8.452556,8.82395
8.452556,8.709956
8.452556,8.596774
8.452556,8.512848
8.452556,8.452024
8.001833,8.958396
8.001833,8.902452
8.001833,8.701144
8.001833,8.476512
8.001833,8.344734
8.001833,8.195061
8.001833,8.076371
8.001833,8.001071
8.001833,7.9991546
8.704175,8.697673
8.704175,8.900458
8.704175,8.981025
8.704175,8.995603
8.704175,9.002774
8.704175,8.958372
8.704175,8.851744
8.704175,8.70307
8.384872,9.471937
8.384872,9.407132
8.384872,9.122182
8.384872,8.788149
8.384872,8.608756
8.384872,8.482433
8.384872,8.42432
8.384872,8.382477
8.735299,8.742595
8.735299,8.70319
8.735299,8.548582
8.735299,8.377395
8.735299,8.278414
8.735299,8.351249
8.735299,8.495557
8.735299,8.738701
8.735299,8.7406225
10.633978,9.811798
10.633978,9.942933
10.633978,9.8384075
10.633978,9.732652
10.633978,9.781542
10.633978,10.0358925
10.633978,10.280035
10.633978,10.623931
11.885734,10.805397
11.885734,10.834633
11.885734,10.821507
11.885734,10.818528
11.885734,10.897528
11.885734,11.135337
11.885734,11.549568
11.885734,11.918966
17.060413,12.633423
17.060413,13.274184
17.060413,13.930622
17.060413,14.606284
17.060413,15.26126
17.060413,15.935215
17.060413,16.627535
17.060413,17.111021
18.222988,17.392649
18.222988,17.624851
18.222988,17.764732
18.222988,17.955513
18.222988,18.186874
18.222988,18.346231
18.222988,18.36168
18.222988,18.221476
15.519808,16.97224
15.519808,16.661196
15.519808,16.604279
15.519808,16.622097
15.519808,16.528177
15.519808,16.278463
15.519808,15.9150505
15.519808,15.52403
15.519808,15.504894
11.172107,14.220991
11.172107,13.716691
11.172107,13.424523
11.172107,13.078143
11.172107,12.670014
11.172107,12.211299
11.172107,11.672902
11.172107,11.166267
9.51924,10.160466
9.51924,9.818284
9.51924,9.694062
9.51924,9.682121
9.51924,9.660162
9.51924,9.595363
9.51924,9.536934
9.51924,9.518906
9.51924,9.518668
14.016741,10.24235
14.016741,10.680564
14.016741,11.171906
14.016741,11.588313
14.016741,12.24253
14.016741,12.882269
14.016741,13.495225
14.016741,14.013579
16.524334,15.061406
16.524334,15.526237
16.524334,15.852406
16.524334,16.025362
16.524334,16.178703
16.524334,16.276897
16.524334,16.382135
16.524334,16.525084
16.516014,16.848179
16.516014,17.04534
16.516014,17.106916
16.516014,17.015676
16.516014,16.816109
16.516014,16.6368
16.516014,16.486027
16.516014,16.515972
16.516014,16.516277
17.946045,16.820597
17.946045,17.385895
17.946045,17.97767
17.946045,18.4388
17.946045,18.608316
17.946045,18.547213
17.946045,18.27865
17.946045,17.942253
16.270073,17.001623
16.270073,16.774801
16.270073,16.692364
16.270073,16.63851
16.270073,16.544376
16.270073,16.429092
16.270073,16.348976
16.270073,16.269876
16.582958,15.826477
16.582958,15.74309
16.582958,15.723987
16.582958,15.7285385
16.582958,15.756089
16.582958,15.946923
16.582958,16.30878
16.582958,16.614874
16.582958,16.59562
17.261253,17.166805
17.261253,17.357847
17.261253,17.380627
17.261253,17.296522
17.261253,17.184929
17.261253,17.105267
17.261253,17.163315
17.261253,17.27054
26.016535,18.221527
26.016535,19.22944
26.016535,20.473274
26.016535,21.772676
26.016535,23.08406
26.016535,24.254276
26.016535,25.445322
26.016535,26.106022
25.984854,27.362347
25.984854,27.825636
25.984854,27.908224
25.984854,27.698984
25.984854,27.300316
25.984854,26.832195
25.984854,26.30472
25.984854,25.943974
25.984854,25.971336
19.735447,24.744984
19.735447,24.130205
19.735447,23.516047
19.735447,22.857609
19.735447,22.0822
19.735447,21.279778
19.735447,20.35592
19.735447,19.662981
14.311676,18.142687
14.311676,17.339752
14.311676,16.731544
14.311676,16.217205
14.311676,15.700923
14.311676,15.166704
14.311676,14.638591
14.311676,14.274437
14.311676,14.309252
14.055628,14.419477
14.055628,14.18595
14.055628,13.854019
14.055628,13.589702
14.055628,13.500108
14.055628,13.622569
14.055628,13.865301
14.055628,14.060274
15.884836,15.450816
15.884836,15.710043
15.884836,15.677028
15.884836,15.551284
15.884836,15.489224
15.884836,15.553809
15.884836,15.732063
15.884836,15.901257
19.481426,17.26676
19.481426,17.769918
19.481426,17.990843
19.481426,18.162937
19.481426,18.343967
19.481426,18.60526
19.481426,19.008518
19.481426,19.481346
24.283949,20.76997
24.283949,21.415573
24.283949,21.898872
24.283949,22.223774
24.283949,22.68361
24.283949,23.209618
24.283949,23.774132
24.283949,24.282936
24.991737,24.394825
24.991737,24.486076
24.991737,24.587753
24.991737,24.69869
24.991737,24.776691
24.991737,24.86933
24.991737,24.941477
24.991737,24.99106
24.991737,24.993505
24.737003,24.083815
24.737003,23.973438
24.737003,24.066492
24.737003,24.202265
24.737003,24.263134
24.737003,24.348864
24.737003,24.501429
24.737003,24.735922
24.737003,24.74543
33.121635,23.934568
33.121635,24.510893
33.121635,25.708069
33.121635,27.203316
33.121635,28.77185
33.121635,29.897917
33.121635,31.464144
33.121635,33.11695
45.365223,34.752224
45.365223,36.667557
45.365223,38.799854
45.365223,40.88525
45.365223,42.70362
45.365223,44.0185
45.365223,44.733467
45.365223,45.359386
43.8405,44.549965
43.8405,45.148655
43.8405,46.146442
43.8405,47.107986
43.8405,47.595554
43.8405,47.005547
43.8405,45.304832
43.8405,43.851955
18.570292,38.2739
18.570292,35.24065
18.570292,32.331474
18.570292,29.257805
18.570292,26.203348
18.570292,23.063858
18.570292,20.08362
18.570292,18.367464
18.570292,18.498661
13.295001,15.839727
13.295001,15.434462
13.295001,15.327494
13.295001,15.135182
13.295001,14.661756
13.295001,14.072542
13.295001,13.561316
13.295001,13.288622
13.725406,16.368664
13.725406,16.198797
13.725406,15.178075
13.725406,13.982885
13.725406,13.116909
13.725406,12.789236
13.725406,13.044054
13.725406,13.74441
17.581491,19.600513
17.581491,22.259335
17.581491,24.050714
17.581491,24.90311
17.581491,24.56628
17.581491,22.906042
17.581491,19.939413
17.581491,17.345087
17.581491,17.466772
16.689573,17.56778
16.689573,17.256891
16.689573,17.039593
16.689573,16.968315
16.689573,17.007343
16.689573,17.008976
16.689573,16.84993
16.689573,16.67139
11.509268,17.017843
11.509268,16.46882
11.509268,15.579329
11.509268,14.539333
11.509268,13.556442
11.509268,12.703805
11.509268,11.942555
11.509268,11.457787
9.017862,11.501508
9.017862,11.197328
9.017862,10.911274
9.017862,10.440241
9.017862,9.976937
9.017862,9.504754
9.017862,9.154985
9.017862,9.018333
9.017862,9.013183
32.83106,11.8970585
32.83106,13.513341
32.83106,15.892972
32.83106,18.793531
32.83106,22.210629
32.83106,25.923273
32.83106,29.594002
32.83106,32.79778
58.360687,35.018486
58.360687,35.90205
58.360687,37.186935
58.360687,39.143658
58.360687,42.4951
58.360687,47.10982
58.360687,52.8716
58.360687,58.412086
41.553905,60.716278
41.553905,61.147053
41.553905,59.272232
41.553905,56.40847
41.553905,51.264057
41.553905,46.173313
41.553905,42.726784
41.553905,41.560524
41.553905,41.504517
38.336483,37.26184
38.336483,38.4319
38.336483,40.455257
38.336483,41.744892
38.336483,42.057915
38.336483,41.24039
38.336483,39.772617
38.336483,38.309776
31.44328,33.720818
31.44328,32.497242
31.44328,32.150074
31.44328,32.131874
31.44328,31.978853
31.44328,31.655708
31.44328,31.407125
31.44328,31.443275
30.094082,30.69584
30.094082,30.52957
30.094082,29.97609
30.094082,29.030823
30.094082,27.99747
30.094082,27.704721
30.094082,28.340637
30.094082,30.097944
30.094082,30.142876
33.454964,34.98281
33.454964,37.555325
33.454964,38.76937
33.454964,38.820362
33.454964,38.069298
33.454964,37.11613
33.454964,35.396423
33.454964,33.462894
31.547916,32.704647
31.547916,31.770061
31.547916,31.074795
31.547916,30.760002
31.547916,30.872002
31.547916,31.202492
31.547916,31.412594
31.547916,31.548746
30.025457,33.008522
30.025457,32.928112
30.025457,32.355106
30.025457,31.614967
30.025457,31.02734
30.025457,30.569798
30.025457,30.302372
30.025457,30.024197
30.025457,30.016706
28.611897,30.492828
28.611897,30.197502
28.611897,29.694065
28.611897,29.17624
28.611897,28.797623
28.611897,28.631346
28.611897,28.589865
28.611897,28.611803
32.751907,29.724173
32.751907,30.029007
32.751907,30.312965
32.751907,30.767548
32.751907,31.45958
32.751907,32.16154
32.751907,32.614346
32.751907,32.75482
32.751907,32.75978
29.841059,33.037148
29.841059,32.724167
29.841059,32.235756
29.841059,31.724222
29.841059,31.21537
29.841059,30.789213
29.841059,30.250692
29.841059,29.79906
24.624565,28.51057
24.624565,27.74059
24.624565,26.731018
24.624565,25.890087
24.624565,25.27793
24.624565,24.939642
24.624565,24.74564
24.624565,24.624054
22.465542,24.460945
22.465542,24.188255
22.465542,23.693485
22.465542,23.096151
22.465542,22.603127
22.465542,22.34017
22.465542,22.313292
22.465542,22.463766
25.38423,23.850733
25.38423,24.106157
25.38423,24.067299
25.38423,24.002636
25.38423,24.110075
25.38423,24.438034
25.38423,24.910505
25.38423,25.38093
27.403662,26.935898
27.403662,27.386301
27.403662,27.552183
27.403662,27.575373
27.403662,27.5739
27.403662,27.528404
27.403662,27.462664
27.403662,27.404144
27.403662,27.401733
27.944183,28.05257
27.944183,28.06009
27.944183,27.89688
27.944183,27.746178
27.944183,27.746113
27.944183,27.841272
27.944183,27.939972
27.944183,27.944391
29.197855,28.27415
29.197855,28.40656
29.197855,28.484556
29.197855,28.558445
29.197855,28.634417
29.197855,28.773272
29.197855,28.973934
29.197855,29.201189
29.197855,29.205751
32.376114,29.659763
32.376114,29.972479
32.376114,30.26783
32.376114,30.564863
32.376114,30.932825
32.376114,31.244823
32.376114,31.774893
32.376114,32.386013
39.926098,33.028175
39.926098,34.09333
39.926098,35.368095
39.926098,36.663486
39.926098,37.85232
