Ford F150 @ Nashville Superspeedway
InputTorque60Hz,InputTorque500Hz
0.21403982,0.41072848
0.21403982,0.57514817
0.21403982,0.6937316
0.21403982,0.53051555
0.21403982,0.4255556
0.21403982,0.30638874
0.21403982,0.20519911
-0.8751388,-0.21929236
-0.8751388,-0.35906255
-0.8751388,-0.39270535
-0.8751388,-0.5132149
-0.8751388,-0.8136766
-0.8751388,-0.9535263
-0.8751388,-0.91931385
-0.8751388,-0.87664527
-0.3995759,-0.62525576
-0.3995759,-0.91212606
-0.3995759,-1.5494725
-0.3995759,-2.2128901
-0.3995759,-2.5165014
-0.3995759,-2.078238
-0.3995759,-1.192344
-0.3995759,-0.33728993
-0.008327927,0.25656328
-0.008327927,-0.06167248
-0.008327927,-0.41172278
-0.008327927,-0.8571403
-0.008327927,-0.9798613
-0.008327927,-0.7692338
-0.008327927,-0.3774594
-0.008327927,-0.016392678
-0.008327927,-0.008031234
-2.2398663,-0.3786294
-2.2398663,-0.8888207
-2.2398663,-1.4494954
-2.2398663,-1.759009
-2.2398663,-1.5951248
-2.2398663,-1.7489249
-2.2398663,-2.02044
-2.2398663,-2.256296
-2.2398663,-2.2537816
0.34798238,-1.6330082
0.34798238,-0.60374314
0.34798238,0.26946518
0.34798238,0.841891
0.34798238,1.0724206
0.34798238,0.8961805
0.34798238,0.5767664
0.9249197,0.30114388
0.9249197,0.2762313
0.9249197,0.2004841
0.9249197,0.22792958
0.9249197,0.54102373
0.9249197,0.9997759
0.9249197,1.1053748
0.9249197,0.91443145
0.9249197,0.9227213
-0.59745926,-0.38955075
-0.59745926,-1.4845662
-0.59745926,-2.0422888
-0.59745926,-1.9302356
-0.59745926,-1.2052228
-0.59745926,-0.62640935
-0.59745926,-0.46273643
-0.59745926,-0.6057954
-0.2022457,-1.3428056
-0.2022457,-1.6851467
-0.2022457,-1.5926741
-0.2022457,-1.3420554
-0.2022457,-1.3353237
-0.2022457,-1.1694999
-0.2022457,-0.7019676
-0.2022457,-0.16594216
-0.2022457,-0.17107478
-0.6774887,0.07595237
-0.6774887,0.104398094
-0.6774887,-0.099090554
-0.6774887,-0.46801597
-0.6774887,-0.8947465
-0.6774887,-0.9527925
-0.6774887,-0.8244505
-0.6774887,-0.66178393
-3.3274934,-0.9944473
-3.3274934,-1.1343143
-3.3274934,-1.5112438
-3.3274934,-1.9122542
-3.3274934,-2.0849435
-3.3274934,-2.5849957
-3.3274934,-3.0607953
-3.3274934,-3.311205
-3.3274934,-3.344588
-1.122172,-3.186006
-1.122172,-2.660227
-1.122172,-2.3325956
-1.122172,-2.1685145
-1.122172,-2.0033875
-1.122172,-1.3987176
-1.122172,-1.0868326
-1.7670746,-1.1876651
-1.7670746,-1.3402857
-1.7670746,-1.4939412
-1.7670746,-1.6073794
-1.7670746,-1.6611974
-1.7670746,-1.6930892
-1.7670746,-1.7303156
-1.7670746,-1.7653761
-1.7670746,-1.768213
-1.6060363,-1.9921421
-1.6060363,-2.1870158
-1.6060363,-2.321545
-1.6060363,-2.301105
-1.6060363,-2.0482707
-1.6060363,-1.7752063
-1.6060363,-1.6207777
-1.6060363,-1.6032437
-1.762425,-1.9410683
-1.762425,-1.9885993
-1.762425,-1.9842033
-1.762425,-1.8945951
-1.762425,-1.7137007
-1.762425,-1.5301988
-1.762425,-1.5121206
-1.762425,-1.7506015
-1.762425,-1.7728797
-2.4143999,-1.8155571
-2.4143999,-2.1140676
-2.4143999,-2.3748562
-2.4143999,-2.5414095
-2.4143999,-2.5981584
-2.4143999,-2.4586835
-2.4143999,-2.3891246
-2.4143999,-2.4156678
-2.844632,-2.7642763
-2.844632,-2.9449413
-2.844632,-2.905301
-2.844632,-2.6948128
-2.844632,-2.8523898
-2.844632,-2.876562
-2.844632,-2.827519
-2.844632,-2.8441045
-2.9803002,-2.8151026
-2.9803002,-2.9143877
-2.9803002,-3.0111187
-2.9803002,-2.9640086
-2.9803002,-2.6908953
-2.9803002,-2.5968728
-2.9803002,-2.7546484
-2.9803002,-2.9988444
-2.9803002,-2.9924533
-3.8037016,-2.672339
-3.8037016,-2.7732236
-3.8037016,-3.2109234
-3.8037016,-3.8050058
-3.8037016,-4.264021
-3.8037016,-4.441207
-3.8037016,-4.1839423
-3.8037016,-3.773423
-4.520823,-3.0656624
-4.520823,-3.127108
-4.520823,-3.4876304
-4.520823,-3.9751685
-4.520823,-4.356084
-4.520823,-4.638812
-4.520823,-4.678739
-4.520823,-4.527088
-4.520823,-4.5145383
-4.5447145,-3.7734134
-4.5447145,-3.7740705
-4.5447145,-3.9802878
-4.5447145,-4.190974
-4.5447145,-4.229244
-4.5447145,-4.3023314
-4.5447145,-4.4327993
-4.504574,-4.364228
-4.504574,-4.618894
-4.504574,-4.787832
-4.504574,-4.912391
-4.504574,-4.9616566
-4.504574,-4.8235736
-4.504574,-4.6209297
-4.504574,-4.5089097
-4.504574,-4.4989038
-3.368047,-4.3781714
-3.368047,-4.3914957
-3.368047,-4.5400996
-3.368047,-4.6148667
-3.368047,-4.3735733
-3.368047,-3.8162622
-3.368047,-3.4482424
-3.368047,-3.3585935
-3.368047,-3.360618
-3.966918,-3.4359198
-3.966918,-3.8683095
-3.966918,-4.2927732
-3.966918,-4.5189843
-3.966918,-4.3893056
-3.966918,-4.2789164
-3.966918,-4.1170673
-2.7414577,-3.934197
-2.7414577,-3.8338823
-2.7414577,-3.6626942
-2.7414577,-3.4697604
-2.7414577,-3.3029358
-2.7414577,-2.9630837
-2.7414577,-2.759304
-2.7414577,-2.7433798
-2.7414577,-2.7386389
-2.2141616,-2.9226637
-2.2141616,-2.8429353
-2.2141616,-2.6857834
-2.2141616,-2.5420809
-2.2141616,-2.4850643
-2.2141616,-2.36915
-2.2141616,-2.2656624
-2.2141616,-2.2088547
-3.2061665,-2.7644029
-3.2061665,-2.8171206
-3.2061665,-2.5466967
-3.2061665,-2.2162077
-3.2061665,-2.1938624
-3.2061665,-2.6911159
-3.2061665,-3.0177965
-3.2061665,-3.197456
-3.2061665,-3.2163537
-6.6037006,-3.781582
-6.6037006,-3.3147485
-6.6037006,-2.7268734
-6.6037006,-2.6689022
-6.6037006,-3.8420844
-6.6037006,-5.6165686
-6.6037006,-6.5615773
-6.6037006,-6.61946
-3.1997228,-5.380691
-3.1997228,-3.9371617
-3.1997228,-2.6265228
-3.1997228,-1.689966
-3.1997228,-1.273686
-3.1997228,-1.2655097
-3.1997228,-1.9061867
-3.1997228,-3.1440048
0.14638412,-3.9548893
0.14638412,-4.1187234
0.14638412,-3.500947
0.14638412,-2.1416068
0.14638412,-0.2765481
0.14638412,1.0867404
0.14638412,0.99039674
0.14638412,0.08370527
0.14638412,0.13784653
-1.3093691,-3.4014902
-1.3093691,-4.702016
-1.3093691,-4.9878874
-1.3093691,-4.4639645
-1.3093691,-3.391254
-1.3093691,-2.1305296
-1.3093691,-1.4315856
-1.3093691,-1.2897583
-2.288285,-3.1880429
-2.288285,-4.466812
-2.288285,-5.7953362
-2.288285,-6.4578314
-2.288285,-5.9812465
-2.288285,-4.810962
-2.288285,-3.414134
-2.288285,-2.3172345
-5.6849174,-1.8281363
-5.6849174,-3.0817077
-5.6849174,-4.720093
-5.6849174,-6.192982
-5.6849174,-7.0233445
-5.6849174,-7.4240294
-5.6849174,-6.75329
-5.6849174,-5.609239
-8.476221,-5.3991466
-8.476221,-5.741234
-8.476221,-6.3813868
-8.476221,-7.590501
-8.476221,-8.529138
-8.476221,-8.892025
-8.476221,-8.800702
-8.476221,-8.4903555
-8.476221,-8.463163
-8.4458275,-6.445899
-8.4458275,-4.825652
-8.4458275,-3.8746734
-8.4458275,-3.7633448
-8.4458275,-4.4819827
-8.4458275,-6.2332673
-8.4458275,-7.757815
-8.4458275,-8.512478
-6.7119164,-7.8256216
-6.7119164,-6.9218345
-6.7119164,-5.4834337
-6.7119164,-4.1837544
-6.7119164,-4.1758504
-6.7119164,-5.1117344
-6.7119164,-6.238104
-6.7119164,-6.6914816
-6.7119164,-6.736627
-7.3700314,-6.475433
-7.3700314,-5.676179
-7.3700314,-4.7512174
-7.3700314,-4.244847
-7.3700314,-4.73416
-7.3700314,-5.6391473
-7.3700314,-6.397367
-7.3700314,-7.334885
-5.7276664,-7.2142286
-5.7276664,-6.4746943
-5.7276664,-5.5585613
-5.7276664,-4.835227
-5.7276664,-4.6381326
-5.7276664,-5.064405
-5.7276664,-5.506881
-5.7276664,-5.749625
-5.8416247,-5.3548026
-5.8416247,-5.119352
-5.8416247,-4.6756506
-5.8416247,-4.134432
-5.8416247,-3.7332468
-5.8416247,-3.9532068
-5.8416247,-4.7151785
-5.8416247,-5.7935286
-5.8416247,-5.892041
-7.092249,-7.310517
-7.092249,-7.098504
-7.092249,-6.1825137
-7.092249,-5.0268826
-7.092249,-4.2677054
-7.092249,-4.5873847
-7.092249,-5.8395567
-7.092249,-7.1938605
-5.4985876,-9.149284
-5.4985876,-9.871385
-5.4985876,-10.086093
-5.4985876,-9.761476
-5.4985876,-7.799977
-5.4985876,-5.501044
-5.4985876,-4.32839
-5.4985876,-5.5860586
-4.887249,-7.3652225
-4.887249,-8.697887
-4.887249,-8.897818
-4.887249,-8.100302
-4.887249,-6.7781463
-4.887249,-5.6554866
-4.887249,-5.028788
-4.887249,-4.8683124
-7.1196766,-5.712996
-7.1196766,-6.856517
-7.1196766,-8.662204
-7.1196766,-10.4399805
-7.1196766,-11.273357
-7.1196766,-10.104691
-7.1196766,-8.378813
-7.1196766,-6.998707
-7.275197,-5.933366
-7.275197,-6.384782
-7.275197,-7.700533
-7.275197,-9.013624
-7.275197,-9.37875
-7.275197,-9.410455
-7.275197,-8.497
-7.275197,-7.350277
-7.279967,-5.001198
-7.279967,-5.391198
-7.279967,-6.3393183
-7.279967,-7.532043
-7.279967,-8.791096
-7.279967,-9.165245
-7.279967,-8.410486
-7.279967,-7.199025
-7.279967,-7.265372
-7.4566245,-6.1705813
-7.4566245,-6.1047616
-7.4566245,-6.763443
-7.4566245,-7.9370475
-7.4566245,-8.97294
-7.4566245,-9.2302685
-7.4566245,-8.531362
-7.4566245,-7.4797497
-8.252766,-5.387293
-8.252766,-4.61638
-8.252766,-5.9021764
-8.252766,-8.034104
-8.252766,-9.225852
-8.252766,-9.67134
-8.252766,-9.097827
-8.252766,-8.187545
-8.252766,-8.205234
-8.6633005,-6.0952992
-8.6633005,-5.411246
-8.6633005,-5.0723047
-8.6633005,-5.1643505
-8.6633005,-5.8911257
-8.6633005,-7.3626676
-8.6633005,-8.365864
-8.6633005,-8.696121
-13.88245,-8.080106
-13.88245,-7.6681833
-13.88245,-7.7826824
-13.88245,-8.600596
-13.88245,-10.154654
-13.88245,-11.758897
-13.88245,-12.806097
-13.88245,-13.835296
-10.988463,-12.296371
-10.988463,-10.193357
-10.988463,-8.709696
-10.988463,-7.874473
-10.988463,-7.519384
-10.988463,-8.464735
-10.988463,-9.897156
-10.988463,-11.084925
-11.043065,-9.381816
-11.043065,-7.19809
-11.043065,-5.373366
-11.043065,-4.6728487
-11.043065,-5.605548
-11.043065,-7.202863
-11.043065,-9.521421
-11.043065,-10.98521
-11.043065,-11.116589
-12.663676,-11.281824
-12.663676,-9.933695
-12.663676,-8.259049
-12.663676,-7.1880794
-12.663676,-7.543601
-12.663676,-8.824485
-12.663676,-10.94219
-12.663676,-12.808699
-11.810325,-12.571591
-11.810325,-10.708106
-11.810325,-9.463457
-11.810325,-8.573965
-11.810325,-8.722999
-11.810325,-9.671581
-11.810325,-10.895502
-11.810325,-11.766293
-10.400146,-10.558063
-10.400146,-9.120579
-10.400146,-7.6196456
-10.400146,-6.479047
-10.400146,-6.231345
-10.400146,-7.5142508
-10.400146,-9.226992
-10.400146,-10.504979
-10.400146,-10.420333
-11.005986,-10.7424965
-11.005986,-9.372485
-11.005986,-7.61653
-11.005986,-6.3401275
-11.005986,-6.4204674
-11.005986,-7.917975
-11.005986,-9.732524
-11.005986,-11.115933
-8.640785,-11.01113
-8.640785,-9.503137
-8.640785,-7.9542766
-8.640785,-6.848829
-8.640785,-6.3965945
-8.640785,-7.056916
-8.640785,-7.759381
-8.640785,-8.613182
-9.351283,-8.416186
-9.351283,-7.775161
-9.351283,-6.766272
-9.351283,-5.8740754
-9.351283,-5.7651105
-9.351283,-6.877777
-9.351283,-8.306348
-9.351283,-9.446053
-10.995305,-10.460911
-10.995305,-9.410824
-10.995305,-7.5901885
-10.995305,-6.3439674
-10.995305,-6.3247223
-10.995305,-7.406824
-10.995305,-9.173339
-10.995305,-10.919004
-10.995305,-11.063715
-12.425287,-10.554122
-12.425287,-8.131999
-12.425287,-6.011764
-12.425287,-4.802214
-12.425287,-4.723743
-12.425287,-6.2744155
-12.425287,-9.506886
-12.425287,-12.681891
-9.081194,-18.992327
-9.081194,-21.560072
-9.081194,-22.289719
-9.081194,-19.619549
-9.081194,-15.704077
-9.081194,-12.395818
-9.081194,-10.15799
-9.081194,-9.134639
-9.081194,-9.023209
-10.535135,-8.1552925
-10.535135,-9.313348
-10.535135,-9.664075
-10.535135,-9.204464
-10.535135,-8.638401
-10.535135,-9.0387
-10.535135,-9.853159
-10.535135,-10.495467
-10.125712,-10.9550295
-10.125712,-9.518725
-10.125712,-7.5741744
-10.125712,-6.0308175
-10.125712,-5.6195335
-10.125712,-6.4167166
-10.125712,-8.29464
-10.125712,-10.259058
-9.956295,-12.207593
-9.956295,-12.090933
-9.956295,-10.570452
-9.956295,-8.3493
-9.956295,-6.4058523
-9.956295,-6.6671395
-9.956295,-8.295984
-9.956295,-9.871641
-12.524062,-11.935081
-12.524062,-11.669711
-12.524062,-9.922595
-12.524062,-8.163382
-12.524062,-8.198696
-12.524062,-10.061416
-12.524062,-11.768698
-12.524062,-12.588697
-12.524062,-12.53718
-12.976169,-12.359749
-12.976169,-10.459328
-12.976169,-7.9738536
-12.976169,-6.3891377
-12.976169,-7.012643
-12.976169,-9.112199
-12.976169,-10.923111
-12.976169,-12.899046
-12.083816,-12.863459
-12.083816,-9.8979225
-12.083816,-7.112035
-12.083816,-5.775259
-12.083816,-6.7333727
-12.083816,-8.615689
-12.083816,-10.738273
-12.083816,-12.197271
-14.252969,-12.288805
-14.252969,-10.805782
-14.252969,-9.910926
-14.252969,-10.221359
-14.252969,-11.600632
-14.252969,-13.468566
-14.252969,-14.6166
-14.252969,-14.263959
-14.252969,-14.244526
-11.003153,-11.347875
-11.003153,-9.171886
-11.003153,-8.277573
-11.003153,-8.671085
-11.003153,-9.824372
-11.003153,-11.026522
-11.003153,-11.347287
-11.003153,-10.985142
-14.285738,-8.86612
-14.285738,-8.164985
-14.285738,-8.177007
-14.285738,-8.804739
-14.285738,-9.435308
-14.285738,-10.714233
-14.285738,-12.456913
-14.285738,-14.224999
-14.285738,-14.369179
-9.662179,-14.574647
-9.662179,-13.474523
-9.662179,-12.363234
-9.662179,-11.5504
-9.662179,-11.05551
-9.662179,-10.805194
-9.662179,-10.26573
-9.662179,-9.690882
-9.196305,-8.174581
-9.196305,-7.762972
-9.196305,-8.334114
-9.196305,-9.537811
-9.196305,-10.840483
-9.196305,-10.761482
-9.196305,-9.967557
-9.196305,-9.125309
-7.554064,-9.317698
-7.554064,-8.860316
-7.554064,-8.320497
-7.554064,-8.012101
-7.554064,-8.098668
-7.554064,-7.9826593
-7.554064,-7.7439165
-7.554064,-7.562821
-9.080211,-8.001363
-9.080211,-8.121886
-9.080211,-8.451359
-9.080211,-8.797905
-9.080211,-8.919462
-9.080211,-8.849209
-9.080211,-8.924583
-9.080211,-9.0927725
-9.080211,-9.082111
-13.560748,-10.046224
-13.560748,-9.801241
-13.560748,-9.497174
-13.560748,-9.162714
-13.560748,-9.373889
-13.560748,-10.554399
