Formula Vee @ Summit Point Raceway - Jefferson Circuit
InputTorque60Hz,InputTorque500Hz
10.868403,11.052283
10.868403,11.158579
10.868403,11.162836
10.868403,11.110999
10.868403,11.039751
10.868403,10.989989
10.868403,10.927482
10.868403,10.87039
10.987809,11.032712
10.987809,11.062997
10.987809,11.0458975
10.987809,11.007828
10.987809,10.975417
10.987809,10.962323
10.987809,10.971014
10.987809,10.989061
10.987809,10.988596
11.24371,11.187684
11.24371,11.280873
11.24371,11.329065
11.24371,11.337456
11.24371,11.315866
11.24371,11.283256
11.24371,11.256405
11.24371,11.242505
11.9376,11.319074
11.9376,11.400907
11.9376,11.497299
11.9376,11.604425
11.9376,11.686783
11.9376,11.788633
11.9376,11.873316
11.9376,11.935349
11.9376,11.94052
11.972466,11.86556
11.972466,11.831921
11.972466,11.818195
11.972466,11.828367
11.972466,11.865892
11.972466,11.917404
11.972466,11.956023
11.972466,11.97167
10.600244,11.789058
10.600244,11.629228
10.600244,11.444464
10.600244,11.239963
10.600244,11.0319395
10.600244,10.83599
10.600244,10.682421
10.600244,10.592429
11.280326,10.463433
11.280326,10.488169
11.280326,10.591483
11.280326,10.741244
11.280326,10.915136
11.280326,11.036572
11.280326,11.175741
11.280326,11.276841
11.280326,11.285258
10.956615,11.260047
10.956615,11.218679
10.956615,11.163837
10.956615,11.100441
10.956615,11.040879
10.956615,10.994803
10.956615,10.966459
10.956615,10.956832
10.852568,10.915164
10.852568,10.913789
10.852568,10.926907
10.852568,10.945981
10.852568,10.959213
10.852568,10.948962
10.852568,10.902167
10.852568,10.848617
9.573344,10.7028885
9.573344,10.553697
9.573344,10.380487
9.573344,10.246
9.573344,10.067952
9.573344,9.895909
9.573344,9.731114
9.573344,9.578389
9.573344,9.567549
8.912889,9.399437
8.912889,9.260309
8.912889,9.136083
8.912889,9.036676
8.912889,8.965122
8.912889,8.925868
8.912889,8.911846
8.912889,8.912658
9.445795,9.15489
9.445795,9.271978
9.445795,9.343913
9.445795,9.382843
9.445795,9.398541
9.445795,9.407083
9.445795,9.42609
9.445795,9.447742
10.951229,9.678396
10.951229,9.844425
10.951229,10.022796
10.951229,10.213213
10.951229,10.413382
10.951229,10.570873
10.951229,10.781321
10.951229,10.943359
12.209343,11.358081
12.209343,11.545403
12.209343,11.666783
12.209343,11.753084
12.209343,11.841328
12.209343,11.954907
12.209343,12.098566
12.209343,12.220817
12.209343,12.214144
12.390718,12.410651
12.390718,12.535054
12.390718,12.626613
12.390718,12.677639
12.390718,12.678998
12.390718,12.628649
12.390718,12.504464
12.390718,12.380164
10.372045,12.022035
10.372045,11.744029
10.372045,11.481563
10.372045,11.290343
10.372045,11.051167
10.372045,10.814655
10.372045,10.584481
10.372045,10.377727
10.372045,10.362866
9.776635,9.956598
9.776635,9.751955
9.776635,9.62876
9.776635,9.5748
9.776635,9.584508
9.776635,9.633077
9.776635,9.689897
9.776635,9.773834
10.683287,9.920577
10.683287,10.02095
10.683287,10.121061
10.683287,10.222872
10.683287,10.330223
10.683287,10.445412
10.683287,10.580908
10.683287,10.692646
11.630965,10.913578
11.630965,11.088747
11.630965,11.262779
11.630965,11.375551
11.630965,11.501825
11.630965,11.589616
11.630965,11.631027
11.630965,11.6308775
11.055114,11.462303
11.055114,11.349837
11.055114,11.256697
11.055114,11.183256
11.055114,11.131941
11.055114,11.099828
11.055114,11.072651
11.055114,11.055734
11.055114,11.054274
10.272693,10.783949
10.272693,10.630413
10.272693,10.506853
10.272693,10.406109
10.272693,10.33117
10.272693,10.283975
10.272693,10.268837
10.272693,10.272694
10.884865,10.20511
10.884865,10.21912
10.884865,10.255956
10.884865,10.339315
10.884865,10.452477
10.884865,10.58443
10.884865,10.729531
10.884865,10.873928
10.884865,10.891778
11.279141,10.950315
11.279141,11.013991
11.279141,11.081489
11.279141,11.152847
11.279141,11.225004
11.279141,11.280232
11.279141,11.292979
11.279141,11.279203
10.593941,11.089832
10.593941,10.942671
10.593941,10.804917
10.593941,10.688838
10.593941,10.603961
10.593941,10.562238
10.593941,10.568112
10.593941,10.595801
11.363261,10.626299
11.363261,10.704996
11.363261,10.8132925
11.363261,10.904961
11.363261,11.031805
11.363261,11.156186
11.363261,11.270822
11.363261,11.359964
11.220662,11.40873
11.220662,11.383654
11.220662,11.32289
11.220662,11.252183
11.220662,11.190842
11.220662,11.160365
11.220662,11.181657
11.220662,11.223909
11.220662,11.222327
11.78736,11.260852
11.78736,11.356317
11.78736,11.477836
11.78736,11.600706
11.78736,11.70026
11.78736,11.758536
11.78736,11.784271
11.78736,11.788002
12.079626,11.65989
12.079626,11.633965
12.079626,11.667627
12.079626,11.747941
12.079626,11.856224
12.079626,11.934502
12.079626,12.021112
12.079626,12.077671
11.2500515,12.019192
11.2500515,11.944765
11.2500515,11.845544
11.2500515,11.720867
11.2500515,11.58273
11.2500515,11.443404
11.2500515,11.320873
11.2500515,11.242955
11.477113,11.021981
11.477113,10.970891
11.477113,10.982489
11.477113,11.052806
11.477113,11.158921
11.477113,11.272236
11.477113,11.382828
11.477113,11.474336
11.477113,11.481367
12.110034,11.53717
12.110034,11.583895
12.110034,11.643997
12.110034,11.729333
12.110034,11.822912
12.110034,11.906912
12.110034,12.015962
12.110034,12.107299
11.643791,12.108538
11.643791,12.085062
11.643791,12.03258
11.643791,11.955112
11.643791,11.855844
11.643791,11.759557
11.643791,11.682467
11.643791,11.63938
11.643791,11.643379
11.398645,11.607006
11.398645,11.612829
11.398645,11.625013
11.398645,11.627418
11.398645,11.603691
11.398645,11.549826
11.398645,11.467832
11.398645,11.392344
11.405488,11.270255
11.405488,11.200006
11.405488,11.161658
11.405488,11.159734
11.405488,11.195452
11.405488,11.239382
11.405488,11.315137
11.405488,11.402773
11.405488,11.408905
11.860642,11.621003
11.860642,11.748067
11.860642,11.843421
11.860642,11.905212
11.860642,11.935988
11.860642,11.93001
11.860642,11.894332
11.860642,11.857153
12.6372795,11.804413
12.6372795,11.820476
12.6372795,11.894664
12.6372795,12.022919
12.6372795,12.18761
12.6372795,12.365782
12.6372795,12.5325165
12.6372795,12.64711
12.03517,12.769061
12.03517,12.80787
12.03517,12.79592
12.03517,12.730335
12.03517,12.608001
12.03517,12.47737
12.03517,12.270791
12.03517,12.044756
11.150152,11.593747
11.150152,11.33821
11.150152,11.151899
11.150152,11.044417
11.150152,11.011687
11.150152,11.042532
11.150152,11.103009
11.150152,11.155713
11.150152,11.150525
10.809237,11.17347
10.809237,11.16073
10.809237,11.123256
10.809237,11.064791
10.809237,10.9969015
10.809237,10.926066
10.809237,10.855784
10.809237,10.804997
10.230689,10.784539
10.230689,10.741078
10.230689,10.675695
10.230689,10.592584
10.230689,10.497629
10.230689,10.423165
10.230689,10.325104
10.230689,10.234568
10.230689,10.2262
10.185703,10.230929
10.185703,10.218441
10.185703,10.202012
10.185703,10.185459
10.185703,10.1707535
10.185703,10.16552
10.185703,10.173705
10.185703,10.186669
10.713265,10.359281
10.713265,10.452812
10.713265,10.508371
10.713265,10.564795
10.713265,10.6066675
10.713265,10.641617
10.713265,10.675791
10.713265,10.711863
11.317725,10.821419
11.317725,10.8857155
11.317725,10.950625
11.317725,11.01923
11.317725,11.092637
11.317725,11.172482
11.317725,11.25582
11.317725,11.322272
11.247752,11.450934
11.247752,11.51354
11.247752,11.531848
11.247752,11.508787
11.247752,11.4549465
11.247752,11.382476
11.247752,11.3025255
11.247752,11.242442
11.247752,11.247328
10.883115,11.127567
10.883115,11.068672
10.883115,11.026813
10.883115,11.002926
10.883115,10.976058
10.883115,10.947032
10.883115,10.915812
10.883115,10.884242
11.067744,10.908074
11.067744,10.915949
11.067744,10.920575
11.067744,10.92719
11.067744,10.94104
11.067744,10.967234
11.067744,11.020723
11.067744,11.072289
11.067744,11.069818
12.331602,11.340086
12.331602,11.521618
12.331602,11.696663
12.331602,11.856916
12.331602,12.004866
12.331602,12.134194
12.331602,12.252888
12.331602,12.338306
12.094437,12.514108
12.094437,12.590141
12.094437,12.612863
12.094437,12.594674
12.094437,12.526706
12.094437,12.416721
12.094437,12.269225
12.094437,12.097337
10.3919,11.864988
10.3919,11.675753
10.3919,11.479164
10.3919,11.272946
10.3919,11.058802
10.3919,10.830463
10.3919,10.579149
10.3919,10.375235
9.428527,10.132748
9.428527,9.952558
9.428527,9.792112
9.428527,9.658928
9.428527,9.557667
9.428527,9.488712
9.428527,9.4457035
9.428527,9.426485
9.428527,9.428422
9.956882,9.597694
9.956882,9.672755
9.956882,9.722674
9.956882,9.750652
9.956882,9.78622
9.956882,9.829536
9.956882,9.886591
9.956882,9.954792
10.451924,10.198075
10.451924,10.365805
10.451924,10.507057
10.451924,10.610878
10.451924,10.65887
10.451924,10.637653
10.451924,10.545502
10.451924,10.455193
10.451924,10.44733
9.743848,10.359058
9.743848,10.248833
9.743848,10.132975
9.743848,10.023346
9.743848,9.932494
9.743848,9.859687
9.743848,9.790232
9.743848,9.739574
9.542242,9.674036
9.542242,9.615176
9.542242,9.557321
9.542242,9.505665
9.542242,9.474502
9.542242,9.462574
9.542242,9.485762
9.542242,9.54132
10.926363,9.746514
10.926363,9.929855
10.926363,10.123671
10.926363,10.321437
10.926363,10.510351
10.926363,10.680765
10.926363,10.829632
10.926363,10.935242
10.926363,10.932475
12.143072,11.146448
12.143072,11.330315
12.143072,11.516662
12.143072,11.693941
12.143072,11.849859
12.143072,11.978671
12.143072,12.088289
12.143072,12.149851
12.612416,12.068882
12.612416,12.094149
12.612416,12.17657
12.612416,12.258122
12.612416,12.382427
12.612416,12.494722
12.612416,12.574297
12.612416,12.610937
11.844598,12.344012
11.844598,12.17481
11.844598,12.035832
11.844598,11.93217
11.844598,11.867619
11.844598,11.846771
11.844598,11.843223
11.844598,11.844599
11.844598,11.844599
10.963658,11.641348
10.963658,11.545913
10.963658,11.479786
10.963658,11.424836
10.963658,11.359359
10.963658,11.257
10.963658,11.0945015
10.963658,10.951557
9.324494,10.591536
9.324494,10.347378
9.324494,10.131738
9.324494,9.934863
9.324494,9.761559
9.324494,9.638473
9.324494,9.479457
9.324494,9.32986
8.599824,9.189257
8.599824,9.096602
8.599824,9.012791
8.599824,8.92784
8.599824,8.8430195
8.599824,8.739939
8.599824,8.650664
8.599824,8.594921
10.633502,8.772771
10.633502,8.976992
10.633502,9.183193
10.633502,9.485832
10.633502,9.82278
10.633502,10.140706
10.633502,10.41602
10.633502,10.629381
10.633502,10.642754
11.464596,10.988985
11.464596,11.142468
11.464596,11.248542
11.464596,11.331366
11.464596,11.401952
11.464596,11.440844
11.464596,11.468112
11.464596,11.464645
10.934949,11.378608
10.934949,11.309376
10.934949,11.243157
10.934949,11.1817665
10.934949,11.127851
10.934949,11.068539
10.934949,10.993386
10.934949,10.929554
9.775692,10.771655
9.775692,10.677341
9.775692,10.53972
9.775692,10.387578
9.775692,10.220154
9.775692,10.053597
9.775692,9.899818
9.775692,9.7799015
9.775692,9.771266
11.86344,9.755611
11.86344,9.849716
11.86344,10.040742
11.86344,10.33273
11.86344,10.701679
11.86344,11.013301
11.86344,11.4573145
11.86344,11.854263
12.664452,12.308332
12.664452,12.502832
12.664452,12.601122
12.664452,12.631708
12.664452,12.624615
12.664452,12.62683
12.664452,12.644784
12.664452,12.666173
12.664452,12.665554
12.528504,12.594886
12.528504,12.592346
12.528504,12.617993
12.528504,12.653268
12.528504,12.675892
12.528504,12.660309
12.528504,12.594267
11.472775,12.218298
11.472775,12.017663
11.472775,11.840391
11.472775,11.698969
11.472775,11.592498
11.472775,11.542482
11.472775,11.500732
11.472775,11.473661
11.472775,11.471434
9.884869,11.334096
9.884869,11.220522
9.884869,11.0758915
9.884869,10.896581
9.884869,10.67096
9.884869,10.409878
9.884869,10.10433
9.884869,9.862984
9.178871,9.487825
9.178871,9.271237
9.178871,9.127076
9.178871,9.0574255
9.178871,9.0513935
9.178871,9.085113
9.178871,9.138925
9.178871,9.183066
9.178871,9.179261
9.877423,9.354508
9.877423,9.434171
9.877423,9.496803
9.877423,9.539713
9.877423,9.604917
9.877423,9.684354
9.877423,9.777471
9.877423,9.873476
10.9247465,10.140997
10.9247465,10.278061
10.9247465,10.389832
10.9247465,10.488813
10.9247465,10.591145
10.9247465,10.700466
10.9247465,10.828931
10.9247465,10.933566
10.9247465,10.9300995
11.1275835,11.169061
11.1275835,11.327286
11.1275835,11.445141
11.1275835,11.506041
11.1275835,11.489361
11.1275835,11.397257
11.1275835,11.24872
11.1275835,11.115826
11.586847,10.926742
11.586847,10.887952
11.586847,10.95505
11.586847,11.060133
11.586847,11.246055
11.586847,11.416779
11.586847,11.537725
11.586847,11.585249
11.264173,11.531389
