Gen 4 Ford Taurus @ Homestead Miami Speedway - Oval
InputTorque60Hz,InputTorque500Hz
-3.281696,-3.2787056
-4.628505,-3.4270575
-4.628505,-4.2072363
-4.628505,-4.788058
-4.628505,-5.0388746
-4.628505,-4.9726005
-4.628505,-4.9623504
-4.628505,-4.810726
-4.628505,-4.6128798
-6.0491967,-3.9124384
-6.0491967,-4.092048
-6.0491967,-4.3627872
-6.0491967,-4.3747883
-6.0491967,-3.8412545
-6.0491967,-3.796936
-6.0491967,-4.562064
-6.0491967,-6.0362415
-6.0491967,-6.1023884
-6.857659,-6.8369336
-6.857659,-6.8606153
-6.857659,-6.9222574
-6.857659,-7.004679
-6.857659,-7.0332875
-6.857659,-6.931119
-6.857659,-6.827138
-6.857659,-6.857148
-5.4901614,-6.0371118
-5.4901614,-6.120536
-5.4901614,-6.559898
-5.4901614,-6.985232
-5.4901614,-6.9951878
-5.4901614,-6.473511
-5.4901614,-5.870404
-5.4901614,-5.5041676
-5.4901614,-5.4680305
-4.9095817,-4.7444835
-4.9095817,-4.876265
-4.9095817,-5.259303
-4.9095817,-5.549084
-4.9095817,-5.440013
-4.9095817,-5.2352962
-4.9095817,-5.031711
-4.9095817,-4.897626
-4.283662,-3.831092
-4.283662,-3.217985
-4.283662,-3.0024352
-4.283662,-3.05731
-4.283662,-3.3561456
-4.283662,-3.7441168
-4.283662,-4.087025
-4.283662,-4.2779202
-4.4654355,-4.054656
-4.4654355,-3.8064566
-4.4654355,-3.8015425
-4.4654355,-3.955219
-4.4654355,-4.110541
-4.4654355,-4.1944075
-4.4654355,-4.286989
-4.4654355,-4.46182
-4.4654355,-4.472602
-3.4885259,-4.8078423
-3.4885259,-4.489744
-3.4885259,-4.1633453
-3.4885259,-3.998826
-3.4885259,-4.075901
-3.4885259,-4.0385537
-3.4885259,-3.7713788
-3.4885259,-3.4598022
-1.5812976,-3.449448
-1.5812976,-3.251877
-1.5812976,-2.8619447
-1.5812976,-2.43178
-1.5812976,-2.2003098
-1.5812976,-2.0355759
-1.5812976,-1.8515474
-1.5812976,-1.5866332
-2.1083899,-1.6950841
-2.1083899,-1.9289863
-2.1083899,-2.1241674
-2.1083899,-2.1822896
-2.1083899,-2.0502174
-2.1083899,-2.054116
-2.1083899,-2.0908277
-2.1083899,-2.107951
-5.424927,-2.8278453
-5.424927,-3.2031472
-5.424927,-3.535348
-5.424927,-3.8480055
-5.424927,-4.167538
-5.424927,-4.8022814
-5.424927,-5.2649746
-5.424927,-5.445542
-5.424927,-5.427052
-3.8884377,-5.3069344
-3.8884377,-4.9651484
-3.8884377,-4.6240754
-3.8884377,-4.330461
-3.8884377,-4.0850306
-3.8884377,-3.889166
-3.8884377,-3.8400986
-3.8884377,-3.8910916
-2.8272266,-3.2612169
-2.8272266,-2.2858126
-2.8272266,-1.8267478
-2.8272266,-1.9058408
-2.8272266,-2.2366529
-2.8272266,-2.4915245
-2.8272266,-2.663836
-2.8272266,-2.8220243
-2.8272266,-2.8339534
-4.6511035,-3.042499
-4.6511035,-3.203792
-4.6511035,-3.0938344
-4.6511035,-2.7967527
-4.6511035,-2.5179706
-4.6511035,-2.8198688
-4.6511035,-3.722436
-4.6511035,-4.72778
-5.2205043,-4.9947705
-5.2205043,-4.5090017
-5.2205043,-4.1604652
-5.2205043,-4.0540786
-5.2205043,-4.1384664
-5.2205043,-4.5018616
-5.2205043,-4.9328074
-5.2205043,-5.251081
-6.161119,-5.2288203
-6.161119,-5.9994774
-6.161119,-6.1372538
