Honda Civic Type R TCR @ Okayama International Circuit - Full Course
InputTorque60Hz,InputTorque500Hz
-21.388609,-21.465946
-21.388609,-21.174479
-21.388609,-20.9975
-21.388609,-20.974257
-21.388609,-21.08406
-21.388609,-21.258825
-21.388609,-21.402018
-20.66567,-21.74241
-20.66567,-21.80155
-20.66567,-21.774351
-20.66567,-21.677977
-20.66567,-21.596432
-20.66567,-21.352957
-20.66567,-21.0081
-20.66567,-20.67334
-20.66567,-20.651356
-5.8502455,-19.34795
-5.8502455,-17.034399
-5.8502455,-14.063754
-5.8502455,-10.868409
-5.8502455,-8.162647
-5.8502455,-6.3968234
-5.8502455,-5.7534556
-5.8502455,-5.850409
-17.846209,-7.459186
-17.846209,-8.850184
-17.846209,-10.012536
-17.846209,-11.06673
-17.846209,-12.1776905
-17.846209,-13.773222
-17.846209,-16.025202
-17.846209,-18.027098
-23.857132,-22.255287
-23.857132,-24.941723
-23.857132,-26.488832
-23.857132,-27.650084
-23.857132,-27.632788
-23.857132,-26.938284
-23.857132,-25.648033
-23.857132,-23.913088
-21.857286,-21.628128
-21.857286,-20.842653
-21.857286,-20.513988
-21.857286,-20.514957
-21.857286,-20.736467
-21.857286,-21.096571
-21.857286,-21.429197
-21.857286,-21.847971
-21.857286,-21.875864
-22.264671,-21.884588
-22.264671,-22.074162
-22.264671,-22.257893
-22.264671,-22.380411
-22.264671,-22.402739
-22.264671,-22.360197
-22.264671,-22.302532
-22.264671,-22.260906
-21.974495,-21.858297
-21.974495,-21.83228
-21.974495,-21.881903
-21.974495,-21.99098
-21.974495,-22.070126
-21.974495,-22.103056
-21.974495,-22.072052
-21.974495,-21.976933
-21.974495,-21.970654
-21.834827,-22.153671
-21.834827,-22.89102
-21.834827,-23.595037
-21.834827,-24.015083
-21.834827,-23.929241
-21.834827,-23.55445
-21.834827,-22.784054
-21.834827,-21.858042
-21.787018,-20.45301
-21.787018,-19.950102
-21.787018,-19.83745
-21.787018,-20.018894
-21.787018,-20.382658
-21.787018,-20.742346
-21.787018,-21.307774
-21.787018,-21.832611
-24.417469,-22.171175
-24.417469,-22.397764
-24.417469,-22.729012
-24.417469,-23.066107
-24.417469,-23.417103
-24.417469,-23.754078
-24.417469,-24.093082
-24.417469,-24.411568
-24.417469,-24.42999
-24.916395,-24.685455
-24.916395,-24.96011
-24.916395,-25.212183
-24.916395,-25.356737
-24.916395,-25.456192
-24.916395,-25.401627
-24.916395,-25.208075
-24.916395,-24.924854
-23.752878,-24.550472
-23.752878,-24.342579
-23.752878,-24.189447
-23.752878,-24.078709
-23.752878,-24.002258
-23.752878,-23.967213
-23.752878,-23.86563
-23.752878,-23.757572
-22.155592,-23.082367
-22.155592,-22.795792
-22.155592,-22.645042
-22.155592,-22.567219
-22.155592,-22.490143
-22.155592,-22.383007
-22.155592,-22.249832
-22.155592,-22.147032
-22.155592,-22.15458
-23.096384,-22.233053
-23.096384,-22.217026
-23.096384,-22.216877
-23.096384,-22.248047
-23.096384,-22.36605
-23.096384,-22.554493
-23.096384,-22.812454
-23.096384,-23.087225
-24.83865,-23.747059
-24.83865,-24.008627
-24.83865,-24.165638
-24.83865,-24.278376
-24.83865,-24.395432
-24.83865,-24.539995
-24.83865,-24.666964
-24.83865,-24.835913
-24.83865,-24.845934
-25.677158,-25.097395
-25.677158,-25.243034
-25.677158,-25.357693
-25.677158,-25.449236
-25.677158,-25.523598
-25.677158,-25.59405
-25.677158,-25.6483
-24.982014,-25.696579
-24.982014,-25.653416
-24.982014,-25.567312
-24.982014,-25.485071
-24.982014,-25.35642
-24.982014,-25.223173
-24.982014,-25.097622
-24.982014,-24.985407
-24.982014,-24.976887
-23.565115,-24.8151
-23.565115,-24.70971
-23.565115,-24.590761
-23.565115,-24.44507
-23.565115,-24.263248
