Lamborghini Huracan GT3 EVO @ Circuito de Jerez - Ángel Nieto - Grand Prix (RAIN)
InputTorque60Hz,InputTorque500Hz
1.1079342,1.1140789
0.9698847,1.2321565
0.9698847,1.2390966
0.9698847,1.185947
0.9698847,1.1218605
0.9698847,1.0446916
0.9698847,0.9935666
0.9698847,0.969921
0.9698847,0.9699395
2.3341782,0.9232507
2.3341782,0.85551214
2.3341782,0.73660845
2.3341782,0.84441113
2.3341782,1.5579512
2.3341782,2.071606
2.3341782,2.3167496
2.3341782,2.3379884
1.8423234,2.1778789
1.8423234,2.0394125
1.8423234,1.8821908
1.8423234,1.7868171
1.8423234,1.7618487
1.8423234,1.7751583
1.8423234,1.8073993
1.8423234,1.840949
1.8423234,1.8438872
1.7548807,1.7855469
1.7548807,1.7580146
1.7548807,1.746594
1.7548807,1.7499862
1.7548807,1.7645185
1.7548807,1.775962
1.7548807,1.7741871
1.7548807,1.7555916
1.7548807,1.754069
1.368578,1.6940279
1.368578,1.6157947
1.368578,1.5252867
1.368578,1.4417377
1.368578,1.3803606
1.368578,1.355639
1.368578,1.3575505
1.0628718,1.336955
1.0628718,1.2410778
1.0628718,1.1419986
1.0628718,1.0627271
1.0628718,1.0225312
1.0628718,1.0014279
1.0628718,1.006988
1.0628718,1.0603709
1.0628718,1.0650007
1.7611465,1.2317553
1.7611465,1.3552622
1.7611465,1.475013
1.7611465,1.5806333
1.7611465,1.6633286
1.7611465,1.7204024
1.7611465,1.7516885
1.7611465,1.7623283
1.7558337,1.7517321
1.7558337,1.7034931
1.7558337,1.6716073
1.7558337,1.646225
1.7558337,1.6556715
1.7558337,1.6857476
1.7558337,1.7222058
1.7558337,1.7542968
1.7558337,1.7572323
2.323144,1.7377028
2.323144,1.7520258
2.323144,1.8099247
2.323144,1.8999131
2.323144,2.0170481
2.323144,2.1436434
2.323144,2.255852
2.323144,2.3193843
2.9136112,2.4470549
2.9136112,2.5180404
2.9136112,2.6082382
2.9136112,2.7076392
2.9136112,2.7907052
2.9136112,2.8594668
2.9136112,2.8999536
2.9136112,2.915129
2.7972472,2.8378985
2.7972472,2.7906866
2.7972472,2.7755215
2.7972472,2.788254
2.7972472,2.8123827
2.7972472,2.8342743
2.7972472,2.8327916
2.7972472,2.7990115
2.1041617,2.5787232
2.1041617,2.416004
2.1041617,2.274034
2.1041617,2.168942
2.1041617,2.1142201
2.1041617,2.096516
2.1041617,2.0977228
2.1041617,2.1045537
2.1041617,2.1042418
2.2653491,2.1103575
2.2653491,2.0956788
2.2653491,2.0912526
2.2653491,2.1001475
2.2653491,2.1370897
2.2653491,2.180587
2.2653491,2.2249467
2.2653491,2.2648315
2.8992114,2.2754092
2.8992114,2.2921805
2.8992114,2.3704906
2.8992114,2.496533
2.8992114,2.6422331
2.8992114,2.7670062
2.8992114,2.8563542
2.8992114,2.9038825
2.8992114,2.902173
5.8654585,2.9870152
5.8654585,3.0618243
5.8654585,3.11223
5.8654585,3.1287699
5.8654585,3.1519513
5.8654585,4.529534
5.8654585,5.5691404
5.8654585,5.896021
4.14735,5.545629
4.14735,5.137837
4.14735,4.791864
4.14735,4.5905156
4.14735,4.438153
4.14735,4.3434653
4.14735,4.2568197
4.14735,4.150101
3.0832107,3.7081487
3.0832107,3.601034
3.0832107,3.5214043
3.0832107,3.4397724
3.0832107,3.356208
3.0832107,3.2598028
3.0832107,3.1583774
3.0832107,3.077053
3.0832107,3.0819418
3.1859686,2.9740462
3.1859686,3.0232818
3.1859686,3.08266
3.1859686,3.0835001
3.1859686,3.068363
3.1859686,3.0732288
3.1859686,3.1111617
3.1859686,3.182666
3.7147179,3.4108098
3.7147179,3.5027738
3.7147179,3.5506961
3.7147179,3.5791445
3.7147179,3.6091912
3.7147179,3.6416223
3.7147179,3.6828997
3.7147179,3.7179291
3.3042967,3.9284503
3.3042967,3.3584778
3.3042967,2.8400948
3.3042967,2.5831413
3.3042967,2.6374323
3.3042967,2.8467238
3.3042967,3.1082504
3.3042967,3.3196383
4.457374,3.6315591
4.457374,3.842727
4.457374,3.9884844
4.457374,4.0873475
4.457374,4.180424
4.457374,4.2832537
4.457374,4.38793
4.457374,4.4539714
4.457374,4.461566
4.597758,4.7331758
4.597758,4.8587127
4.597758,4.880529
4.597758,4.8306794
4.597758,4.7598567
4.597758,4.694935
4.597758,4.6352215
4.597758,4.5944047
4.172647,4.4460454
4.172647,4.442384
4.172647,4.4326134
4.172647,4.3950415
4.172647,4.347012
4.172647,4.2729316
4.172647,4.2093015
4.172647,4.173946
4.172647,4.170878
4.2722077,4.197334
4.2722077,4.2896366
4.2722077,4.35014
4.2722077,4.3725986
4.2722077,4.3650374
4.2722077,4.3379197
4.2722077,4.300251
4.2722077,4.2696486
5.0980816,4.2327137
5.0980816,4.225744
5.0980816,4.2824464
5.0980816,4.4322667
5.0980816,4.6120744
5.0980816,4.792874
5.0980816,4.96184
5.0980816,5.0925565
5.952304,5.2072945
5.952304,5.3054495
5.952304,5.404723
5.952304,5.5121517
5.952304,5.6262
5.952304,5.74947
5.952304,5.872127
5.952304,5.9471097
