Ligier JS P320 @ Circuit de Spa-Francorchamps - Bike
InputTorque60Hz,InputTorque500Hz
-1.1287386,-1.2369454
-1.1287386,-1.3185296
-1.1287386,-1.3397386
-1.1287386,-1.3291441
-1.1287386,-1.286763
-1.1287386,-1.2160797
-1.1287386,-1.1308514
-0.94481355,-1.1680752
-0.94481355,-1.1091005
-0.94481355,-0.95409715
-0.94481355,-0.7580428
-0.94481355,-0.6042298
-0.94481355,-0.6220897
-0.94481355,-0.7531463
-0.94481355,-0.9398946
-0.94481355,-0.9525172
-1.1296757,-1.1534239
-1.1296757,-1.1438901
-1.1296757,-1.0467739
-1.1296757,-0.9203104
-1.1296757,-0.83731663
-1.1296757,-0.8709173
-1.1296757,-1.0044369
-1.1296757,-1.1427728
-2.395762,-1.624893
-2.395762,-1.9100254
-2.395762,-2.1752865
-2.395762,-2.4104006
-2.395762,-2.5842202
-2.395762,-2.6418176
-2.395762,-2.5391288
-2.395762,-2.3837025
-2.551817,-1.8244728
-2.551817,-1.7027092
-2.551817,-1.8087262
-2.551817,-1.9826
-2.551817,-2.2450202
-2.551817,-2.4568512
-2.551817,-2.5655215
-2.551817,-2.5518792
-2.7873418,-2.733048
-2.7873418,-2.682808
-2.7873418,-2.5484226
-2.7873418,-2.4088426
-2.7873418,-2.3389835
-2.7873418,-2.3939946
-2.7873418,-2.591597
-2.7873418,-2.8060322
-2.7873418,-2.7982433
-3.1554656,-3.0071301
-3.1554656,-3.1883407
-3.1554656,-3.3191805
-3.1554656,-3.3810203
-3.1554656,-3.3821566
-3.1554656,-3.3494241
-3.1554656,-3.2540832
-3.1554656,-3.147727
-3.134873,-2.8266473
-3.134873,-2.782296
-3.134873,-2.8322544
-3.134873,-2.9043884
-3.134873,-2.9986348
-3.134873,-3.0736647
-3.134873,-3.1192205
-3.134873,-3.1344721
-4.094771,-3.4931693
-4.094771,-3.4652085
-4.094771,-3.4307537
-4.094771,-3.4844005
-4.094771,-3.6759787
-4.094771,-3.9088702
-4.094771,-4.056394
-4.094771,-4.092775
-4.094771,-4.097907
-3.2380147,-3.821013
-3.2380147,-3.597817
-3.2380147,-3.4295113
-3.2380147,-3.3120031
-3.2380147,-3.2356086
-3.2380147,-3.199236
-3.2380147,-3.2101448
-3.2380147,-3.2402022
-4.3507957,-3.3437488
-4.3507957,-3.4182935
-4.3507957,-3.494888
-4.3507957,-3.633981
-4.3507957,-3.8246093
-4.3507957,-4.036934
-4.3507957,-4.2248573
-4.3507957,-4.346568
-4.3507957,-4.3564377
-5.291991,-4.7425222
-5.291991,-4.7539644
-5.291991,-4.681142
-5.291991,-4.6146617
-5.291991,-4.6348267
-5.291991,-4.801584
-5.291991,-4.9921794
-5.291991,-5.2837796
-6.5642343,-6.0101705
-6.5642343,-6.204562
-6.5642343,-6.237458
-6.5642343,-6.1956496
-6.5642343,-6.1675262
-6.5642343,-6.22104
