Lucas Oil Off-Road Racing Series Pro-2 Lite @ Wild West Motorsports Park - Off Road Circuit
InputTorque60Hz,InputTorque500Hz
-2.3404691,-2.3436027
-2.419262,-2.44583
-2.419262,-2.4516327
-2.419262,-2.448901
-2.419262,-2.4487689
-2.419262,-2.4520707
-2.419262,-2.4439895
-2.419262,-2.4295452
-2.419262,-2.419745
-2.7026527,-2.3510387
-2.7026527,-2.3262882
-2.7026527,-2.3263967
-2.7026527,-2.3545704
-2.7026527,-2.414738
-2.7026527,-2.500026
-2.7026527,-2.6160948
-2.7026527,-2.7105176
-3.335311,-2.77518
-3.335311,-2.8054192
-3.335311,-2.83379
-3.335311,-2.8871548
-3.335311,-2.9618387
-3.335311,-3.0616124
-3.335311,-3.1907287
-3.335311,-3.3298807
-3.8618844,-3.4378595
-3.8618844,-3.5115354
-3.8618844,-3.5785902
-3.8618844,-3.6423635
-3.8618844,-3.7088926
-3.8618844,-3.773157
-3.8618844,-3.8281376
-3.8618844,-3.8646095
-3.8618844,-3.8625371
-3.1387668,-3.8055437
-3.1387668,-3.784349
-3.1387668,-3.7573838
-3.1387668,-3.7005107
-3.1387668,-3.6103826
-3.1387668,-3.48878
-3.1387668,-3.3272839
-3.1387668,-3.1467266
-1.3794235,-2.7456613
-1.3794235,-2.434664
-1.3794235,-2.1486318
-1.3794235,-1.8929608
-1.3794235,-1.6947408
-1.3794235,-1.5452455
-1.3794235,-1.4362044
-1.3794235,-1.3742378
-1.7966422,-1.325065
-1.7966422,-1.3364152
-1.7966422,-1.3711177
-1.7966422,-1.4490008
-1.7966422,-1.5370698
-1.7966422,-1.6377407
-1.7966422,-1.730973
-1.7966422,-1.7937714
-1.7966422,-1.7997189
-0.79166347,-1.7910997
-0.79166347,-1.7387977
-0.79166347,-1.6482406
-0.79166347,-1.5240742
-0.79166347,-1.3717009
-0.79166347,-1.2005692
-0.79166347,-0.9767907
-0.79166347,-0.77751863
0.97175056,-0.4175194
0.97175056,-0.20899996
0.97175056,0.046169434
0.97175056,0.2844514
0.97175056,0.48849705
0.97175056,0.66991276
0.97175056,0.8290705
0.97175056,0.96683323
0.97175056,0.9780233
1.6959068,1.1093801
1.6959068,1.198343
1.6959068,1.2836725
1.6959068,1.3653069
1.6959068,1.4480686
1.6959068,1.5329341
1.6959068,1.6272893
2.2225046,1.7455016
2.2225046,1.7974981
2.2225046,1.8595386
2.2225046,1.928207
2.2225046,2.0032985
2.2225046,2.0824976
2.2225046,2.1631768
2.2225046,2.227701
2.2225046,2.2234042
2.3380656,2.2285364
2.3380656,2.24242
2.3380656,2.2604976
2.3380656,2.280646
2.3380656,2.3007326
2.3380656,2.3186147
2.3380656,2.3290787
2.3380656,2.337654
1.8046916,2.2369828
1.8046916,2.1631331
1.8046916,2.0912464
1.8046916,2.0215979
1.8046916,1.9562546
1.8046916,1.8953815
1.8046916,1.8405583
1.8046916,1.8016765
1.2598553,1.6522807
1.2598553,1.5646856
1.2598553,1.4926378
1.2598553,1.4341676
1.2598553,1.3851424
1.2598553,1.3515083
1.2598553,1.3066493
1.2598553,1.261834
1.2598553,1.2576525
0.79135203,1.1952305
0.79135203,1.1437625
0.79135203,1.0886455
0.79135203,1.0273783
0.79135203,0.9625438
0.79135203,0.90131706
0.79135203,0.8350979
0.79135203,0.78713375
0.5794214,0.76605934
0.5794214,0.7427607
0.5794214,0.72236794
0.5794214,0.69270223
0.5794214,0.6605818
0.5794214,0.6291919
0.5794214,0.6008672
0.5794214,0.5804667
0.5794214,0.578382
0.93567634,0.6134555
0.93567634,0.6454555
0.93567634,0.68352985
0.93567634,0.72709286
0.93567634,0.77755755
0.93567634,0.83240646
0.93567634,0.8931029
0.93567634,0.93946385
1.2225729,1.0441973
1.2225729,1.1044842
1.2225729,1.1493948
1.2225729,1.1801671
1.2225729,1.2002541
1.2225729,1.2134115
1.2225729,1.2205225
1.2225729,1.222796
1.2385883,1.2454212
1.2385883,1.2512631
1.2385883,1.2514082
1.2385883,1.24872
1.2385883,1.2463042
1.2385883,1.244501
1.2385883,1.241554
1.2385883,1.238361
1.2385883,1.2384112
1.3327475,1.2614751
1.3327475,1.2751198
1.3327475,1.2888541
1.3327475,1.3024065
1.3327475,1.3157861
1.3327475,1.3262541
1.3327475,1.3317894
1.3327475,1.3328882
1.3241824,1.3535196
1.3241824,1.3587047
1.3241824,1.3584608
1.3241824,1.354556
1.3241824,1.3486462
1.3241824,1.3407131
1.3241824,1.331238
1.3241824,1.3245388
1.667698,1.3493114
1.667698,1.3693346
1.667698,1.3987919
1.667698,1.4444181
1.667698,1.4938506
1.667698,1.5553032
1.667698,1.6209482
1.667698,1.6718385
1.667698,1.6683505
2.0758054,1.7644864
2.0758054,1.8305951
2.0758054,1.8924131
2.0758054,1.9498082
2.0758054,1.9864805
2.0758054,2.0270534
2.0758054,2.0568056
2.0758054,2.0748518
1.883796,2.060496
1.883796,2.0427885
1.883796,2.0205958
1.883796,1.9943002
1.883796,1.9653993
1.883796,1.9361123
1.883796,1.9050535
1.883796,1.8820504
1.6775056,1.8150309
1.6775056,1.7741857
1.6775056,1.7409061
1.6775056,1.7141572
1.6775056,1.6986576
1.6775056,1.6835614
1.6775056,1.6764653
1.6775056,1.677473
2.005899,1.7095811
2.005899,1.7418025
2.005899,1.7751156
2.005899,1.8124005
2.005899,1.8523983
2.005899,1.898437
2.005899,1.9597218
2.005899,2.010073
2.005899,2.006576
2.5941865,2.0775402
2.5941865,2.1247494
2.5941865,2.1929572
2.5941865,2.266783
2.5941865,2.3442144
2.5941865,2.423238
2.5941865,2.5062938
2.5941865,2.5890462
3.0121903,2.704857
3.0121903,2.7890882
3.0121903,2.8639684
3.0121903,2.92792
3.0121903,2.9756606
3.0121903,3.004038
3.0121903,3.013808
3.0121903,3.012236
2.939958,2.990038
2.939958,2.975728
2.939958,2.9576514
2.939958,2.9438083
2.939958,2.9366322
2.939958,2.9343455
2.939958,2.9358864
2.939958,2.9397836
2.939958,2.9401352
2.9819381,2.8978703
2.9819381,2.8786628
2.9819381,2.873874
2.9819381,2.8829713
2.9819381,2.9040246
2.9819381,2.9300146
2.9819381,2.9602964
2.9819381,2.9837115
2.9788997,2.9945781
2.9788997,3.0038846
2.9788997,3.0119078
2.9788997,3.0165424
2.9788997,3.0153625
2.9788997,3.0077782
2.9788997,2.992976
2.9788997,2.9778934
2.9788997,2.9786975
2.7618344,2.943052
2.7618344,2.9167113
2.7618344,2.8906608
2.7618344,2.8643026
2.7618344,2.8370242
2.7618344,2.809842
2.7618344,2.7815845
2.7618344,2.762962
2.472582,2.694166
2.472582,2.652871
2.472582,2.6162724
2.472582,2.5836036
2.472582,2.5537565
2.472582,2.5245583
2.472582,2.4939568
2.472582,2.4708002
2.1811075,2.4288204
2.1811075,2.396328
2.1811075,2.3623924
2.1811075,2.3260934
2.1811075,2.2891285
2.1811075,2.2515886
2.1811075,2.211341
2.1811075,2.1788619
2.1811075,2.1791165
1.8877391,2.106898
1.8877391,2.056
1.8877391,2.0065775
1.8877391,1.9615477
1.8877391,1.9214064
1.8877391,1.8964992
1.8877391,1.8868321
1.8877391,1.8876454
1.8587325,1.913721
1.8587325,1.9318446
1.8587325,1.9408302
1.8587325,1.9403639
1.8587325,1.9310188
1.8587325,1.9115188
1.8587325,1.8822641
1.8587325,1.8597628
1.68259,1.816422
1.68259,1.7863798
1.68259,1.7610903
1.68259,1.7401843
1.68259,1.7242173
1.68259,1.7099218
1.68259,1.6943206
1.68259,1.6816272
1.5396562,1.6755884
1.5396562,1.6682377
1.5396562,1.6583265
1.5396562,1.6448262
1.5396562,1.6260918
1.5396562,1.6072152
1.5396562,1.5767117
1.5396562,1.5417323
1.5396562,1.5380074
1.4547708,1.534789
1.4547708,1.5263741
1.4547708,1.5152618
1.4547708,1.5014925
1.4547708,1.4859943
1.4547708,1.4716341
1.4547708,1.4606112
1.4547708,1.4543121
1.5420055,1.4791824
1.5420055,1.493872
1.5420055,1.5042114
1.5420055,1.5090908
1.5420055,1.5119723
1.5420055,1.5120504
1.5420055,1.5189685
1.5420055,1.5409973
1.5420055,1.5429679
2.2392719,1.6586379
2.2392719,1.7593803
2.2392719,1.8593984
2.2392719,1.9531027
2.2392719,2.0419014
2.2392719,2.1188788
2.2392719,2.1909971
2.2392719,2.243519
2.6656656,2.3257518
2.6656656,2.3690012
2.6656656,2.4228318
2.6656656,2.4752634
2.6656656,2.523777
2.6656656,2.5709286
2.6656656,2.6195636
2.6656656,2.66446
2.6656656,2.667677
3.1835742,2.7477605
3.1835742,2.7987394
3.1835742,2.850168
3.1835742,2.904328
3.1835742,2.9512143
3.1835742,3.0139427
3.1835742,3.093698
3.56617,3.270374
3.56617,3.3364754
3.56617,3.394142
3.56617,3.4415522
3.56617,3.4856749
3.56617,3.5222857
3.56617,3.5506053
3.56617,3.5676808
3.56617,3.566413
3.720336,3.5755982
3.720336,3.5784132
3.720336,3.5823977
3.720336,3.5883222
3.720336,3.6041596
3.720336,3.6308186
3.720336,3.6698127
3.720336,3.7179897
4.2070017,3.7734551
4.2070017,3.8255377
4.2070017,3.887089
4.2070017,3.9563808
4.2070017,4.0247445
4.2070017,4.094515
4.2070017,4.163408
4.2070017,4.211372
4.3015532,4.2435565
4.3015532,4.2673526
4.3015532,4.2814994
4.3015532,4.294135
4.3015532,4.3018956
4.3015532,4.3050847
4.3015532,4.304598
4.3015532,4.3016744
4.3015532,4.3014283
4.078969,4.2746162
4.078969,4.255587
4.078969,4.2350173
4.078969,4.2113895
4.078969,4.1837273
4.078969,4.151857
4.078969,4.1117353
4.078969,4.0761895
4.078969,4.0770187
3.2756052,3.9880357
3.2756052,3.9175668
3.2756052,3.8385873
3.2756052,3.7509506
3.2756052,3.6518471
3.2756052,3.5353422
3.2756052,3.3903325
3.2756052,3.2668786
2.1289003,3.058925
2.1289003,2.8954446
2.1289003,2.73935
2.1289003,2.5902238
2.1289003,2.453741
2.1289003,2.3270645
2.1289003,2.236309
2.1289003,2.133024
1.8835822,2.0373514
1.8835822,1.9877731
1.8835822,1.9515011
1.8835822,1.9259512
1.8835822,1.9085897
1.8835822,1.8955393
1.8835822,1.8873464
1.8835822,1.8831874
2.0218656,1.9184095
2.0218656,1.9420034
2.0218656,1.9633101
2.0218656,1.9818808
2.0218656,1.9970366
2.0218656,2.0059803
2.0218656,2.015011
2.0218656,2.0215209
2.0218656,2.0221918
2.1744444,2.057655
