Mazda MX-5 Cup @ Virginia International Raceway - North
InputTorque60Hz,InputTorque500Hz
3.8070166,3.8129568
3.8070166,3.8285756
3.8070166,3.8414626
3.8070166,3.844429
3.8070166,3.8336759
3.8070166,3.8182993
3.8070166,3.8073962
3.7244341,3.8129277
3.7244341,3.817619
3.7244341,3.824344
3.7244341,3.8304045
3.7244341,3.8310847
3.7244341,3.811077
3.7244341,3.7647526
3.7244341,3.7204113
3.8033948,3.65265
3.8033948,3.6139784
3.8033948,3.596651
3.8033948,3.5993593
3.8033948,3.626419
3.8033948,3.6704233
3.8033948,3.7330294
3.8033948,3.8027744
3.8033948,3.8060741
4.2714133,3.9669282
4.2714133,4.058276
4.2714133,4.1219826
4.2714133,4.161557
4.2714133,4.17832
4.2714133,4.2017455
4.2714133,4.231349
4.2714133,4.2700405
4.2714133,4.2731547
4.545444,4.337565
4.545444,4.3833084
4.545444,4.434063
4.545444,4.4866557
4.545444,4.5295815
4.545444,4.5551095
4.545444,4.5589056
4.545444,4.545585
4.7316227,4.508255
4.7316227,4.5106206
4.7316227,4.5353236
4.7316227,4.5746894
4.7316227,4.613963
4.7316227,4.65622
4.7316227,4.7015867
4.7316227,4.7349014
4.6502123,4.777951
4.6502123,4.7651653
4.6502123,4.741572
4.6502123,4.6992188
4.6502123,4.6686115
4.6502123,4.6524825
4.6502123,4.647722
4.6502123,4.6501536
5.019151,4.7315354
5.019151,4.7803807
5.019151,4.83098
5.019151,4.8800807
5.019151,4.9258323
5.019151,4.964109
5.019151,4.998002
5.019151,5.018304
5.019151,5.020453
5.427342,5.129508
5.427342,5.170768
5.427342,5.2016826
5.427342,5.2379646
5.427342,5.2883844
5.427342,5.345352
5.427342,5.3973656
5.427342,5.4306245
5.7878237,5.3435006
5.7878237,5.3422074
5.7878237,5.377189
5.7878237,5.4440746
5.7878237,5.529232
5.7878237,5.6168847
5.7878237,5.7049093
5.7878237,5.785043
5.9844427,5.8796234
5.9844427,5.9332633
5.9844427,5.9719167
5.9844427,5.9902987
5.9844427,6.003265
5.9844427,6.004637
5.9844427,5.997348
5.9844427,5.984714
5.9844427,5.983995
5.8671284,5.8304768
5.8671284,5.806382
5.8671284,5.817754
5.8671284,5.8435955
5.8671284,5.863454
5.8671284,5.8694434
5.8671284,5.8697057
5.8671284,5.8671837
6.003885,5.658924
6.003885,5.6506014
6.003885,5.698117
6.003885,5.7681475
6.003885,5.832638
6.003885,5.891537
6.003885,5.95811
6.003885,6.008439
6.239168,6.083232
6.239168,6.1529937
6.239168,6.207248
6.239168,6.277995
6.239168,6.339343
6.239168,6.3603716
6.239168,6.3247952
6.239168,6.239818
6.239168,6.236225
5.682857,6.0736547
5.682857,5.94871
5.682857,5.840922
5.682857,5.7554946
5.682857,5.7076554
5.682857,5.6695313
5.682857,5.6613116
5.682857,5.6828575
6.157065,5.8484907
6.157065,5.9312673
6.157065,5.9943414
6.157065,6.0466557
6.157065,6.0921345
6.157065,6.126637
6.157065,6.148646
6.157065,6.158158
6.0582952,6.3138666
6.0582952,6.3081136
6.0582952,6.271913
6.0582952,6.201545
6.0582952,6.1442018
6.0582952,6.1044908
6.0582952,6.077124
6.0582952,6.058587
6.075785,6.157709
6.075785,6.1426225
6.075785,6.096755
6.075785,6.0465393
6.075785,6.0238285
6.075785,6.0189996
6.075785,6.038603
6.075785,6.0743213
6.075785,6.0771775
6.664456,6.306921
6.664456,6.3529654
6.664456,6.3726435
6.664456,6.399071
