Mercedes-AMG W13 E Performance @ Circuit de Spa-Francorchamps - Grand Prix
InputTorque60Hz,InputTorque500Hz
-2.3069117,-2.2043407
-2.3069117,-1.9050741
-2.3069117,-1.5945672
-2.3069117,-1.4399118
-2.3069117,-1.5263523
-2.3069117,-1.8426175
-2.3069117,-2.2948365
-1.5994098,-2.4069695
-1.5994098,-2.209367
-1.5994098,-1.9850922
-1.5994098,-1.7826993
-1.5994098,-1.6285994
-1.5994098,-1.5534503
-1.5994098,-1.5286446
-1.5994098,-1.597125
-1.5994098,-1.600874
-1.6893964,-1.9335413
-1.6893964,-2.052126
-1.6893964,-2.0927334
-1.6893964,-2.087142
-1.6893964,-2.0559556
-1.6893964,-1.9791535
-1.6893964,-1.8229235
-1.6893964,-1.6763082
-1.5947614,-1.395429
-1.5947614,-1.2433455
-1.5947614,-1.1125419
-1.5947614,-1.0900586
-1.5947614,-1.198871
-1.5947614,-1.3380467
-1.5947614,-1.4709599
-1.5947614,-1.5920993
-1.2926146,-1.8805883
-1.2926146,-1.9986774
-1.2926146,-1.9940836
-1.2926146,-1.8735753
-1.2926146,-1.7137561
-1.2926146,-1.5061513
-1.2926146,-1.3535174
-1.2926146,-1.2946787
-1.2926146,-1.2895253
-1.713501,-1.3322712
-1.713501,-1.3932841
-1.713501,-1.3995192
-1.713501,-1.3989172
-1.713501,-1.4780663
-1.713501,-1.6317275
-1.713501,-1.716078
-1.713501,-1.7132015
-1.5188793,-1.5985851
-1.5188793,-1.3461144
-1.5188793,-1.1070857
-1.5188793,-0.9653135
-1.5188793,-0.98888624
-1.5188793,-1.1176171
-1.5188793,-1.3364662
-1.5188793,-1.534354
-2.1066086,-2.0187416
-2.1066086,-2.4568698
-2.1066086,-2.8153539
-2.1066086,-2.9833946
-2.1066086,-2.993868
-2.1066086,-2.7821434
-2.1066086,-2.4410315
-2.1066086,-2.1165226
-2.1066086,-2.093672
-2.4012718,-1.9240155
-2.4012718,-1.9725825
-2.4012718,-2.055529
-2.4012718,-2.1282008
-2.4012718,-2.1610518
-2.4012718,-2.2090664
-2.4012718,-2.276484
-2.4012718,-2.4077246
-2.5357206,-2.5483575
-2.5357206,-2.5699239
-2.5357206,-2.5072668
-2.5357206,-2.3944757
-2.5357206,-2.2910848
-2.5357206,-2.2868943
-2.5357206,-2.4029844
-2.5357206,-2.5496266
-3.0454128,-2.725856
-3.0454128,-2.8604145
-3.0454128,-2.9626079
-3.0454128,-3.1051884
-3.0454128,-3.2520597
-3.0454128,-3.3164828
-3.0454128,-3.2513604
-3.0454128,-3.052497
-3.0454128,-3.036775
-2.5654478,-2.534975
-2.5654478,-2.4299896
-2.5654478,-2.5209289
-2.5654478,-2.7003932
-2.5654478,-2.8592181
-2.5654478,-2.8848085
-2.5654478,-2.7963026
-2.5654478,-2.5692427
-2.072202,-2.2133386
-2.072202,-2.0899775
-2.072202,-2.0783503
-2.072202,-2.1375644
-2.072202,-2.2095912
-2.072202,-2.2334292
-2.072202,-2.16145
-2.072202,-2.0637887
-2.4177015,-1.9347688
-2.4177015,-1.8419454
-2.4177015,-1.815032
-2.4177015,-1.9275327
-2.4177015,-2.1046607
-2.4177015,-2.2657857
-2.4177015,-2.375476
-2.4177015,-2.4161603
-2.4177015,-2.4184706
-1.6865246,-2.2503495
-1.6865246,-2.222306
-1.6865246,-2.188769
-1.6865246,-2.1085815
-1.6865246,-1.9544798
-1.6865246,-1.8230145
-1.6865246,-1.6975515
-1.6865246,-1.686826
-1.0375075,-1.663328
-1.0375075,-1.6565423
-1.0375075,-1.5376137
-1.0375075,-1.3318806
-1.0375075,-1.1167072
-1.0375075,-1.0223227
-1.0375075,-1.0110928
-1.0375075,-1.0394721
-1.2990034,-1.0765691
-1.2990034,-1.083068
-1.2990034,-1.0917213
-1.2990034,-1.1084245
-1.2990034,-1.1179274
