NASCAR Ford Mustang @ Atlanta Motor Speedway - Oval
InputTorque60Hz,InputTorque500Hz
1.0676425,1.0857531
1.0676425,1.0203449
1.0676425,0.95545447
1.0676425,0.8966536
1.0676425,0.8610422
1.0676425,0.92422795
1.0676425,1.0087476
1.0676425,1.0725299
1.2564434,1.0215788
1.2564434,1.0522821
1.2564434,1.0743109
1.2564434,1.0964326
1.2564434,1.1160451
1.2564434,1.1958611
1.2564434,1.266919
1.2564434,1.2566507
1.2564434,1.2563655
0.1922408,1.154923
0.1922408,0.9546022
0.1922408,0.6400061
0.1922408,0.35403284
0.1922408,0.25546643
0.1922408,0.28472954
0.1922408,0.26098317
0.1922408,0.19537875
0.014381299,-0.0433628
0.014381299,-0.10727961
0.014381299,-0.07839606
0.014381299,-0.0031761667
0.014381299,0.06026951
0.014381299,0.06999489
0.014381299,0.04538633
0.014381299,0.012245606
-0.6525926,-0.033536922
-0.6525926,-0.03106936
-0.6525926,-0.067859605
-0.6525926,-0.18953827
-0.6525926,-0.43244228
-0.6525926,-0.63419265
-0.6525926,-0.70272917
-0.6525926,-0.6540838
-0.6525926,-0.65129673
-0.76838946,-0.63855684
-0.76838946,-0.64038527
-0.76838946,-0.6831906
-0.76838946,-0.7503182
-0.76838946,-0.8086664
-0.76838946,-0.8351848
-0.76838946,-0.8126204
-0.76838946,-0.76498044
-0.96712416,-0.6064411
-0.96712416,-0.5199635
-0.96712416,-0.5114563
-0.96712416,-0.57503456
-0.96712416,-0.6246924
-0.96712416,-0.69458646
-0.96712416,-0.80534136
-0.96712416,-0.9594917
-0.96712416,-0.9745516
-1.2905895,-1.0556719
-1.2905895,-1.1356673
-1.2905895,-1.2607508
-1.2905895,-1.3847892
-1.2905895,-1.4363904
-1.2905895,-1.4350896
-1.2905895,-1.3675865
-1.2905895,-1.2952665
-1.906642,-1.1395863
-1.906642,-1.1083311
-1.906642,-1.0923499
-1.906642,-1.0746036
-1.906642,-1.0640397
-1.906642,-1.3462662
-1.906642,-1.6876317
-1.906642,-1.9279861
-1.4068696,-1.8678228
-1.4068696,-1.7310667
-1.4068696,-1.5956482
-1.4068696,-1.5044502
-1.4068696,-1.499965
-1.4068696,-1.4914007
-1.4068696,-1.4643959
-1.4068696,-1.4097668
-1.2554272,-1.329904
-1.2554272,-1.337013
-1.2554272,-1.3257842
-1.2554272,-1.3264807
-1.2554272,-1.3843174
-1.2554272,-1.4017388
-1.2554272,-1.3404733
