Porsche 911 Cup (992.2) @ Miami International Autodrome - Grand Prix
InputTorque60Hz,InputTorque500Hz
-1.6326517,-1.4192189
-1.6326517,-1.4288783
-1.6326517,-1.4403303
-1.6326517,-1.4584446
-1.6326517,-1.4897107
-1.6326517,-1.534859
-1.6326517,-1.5739865
-1.6326517,-1.6293484
-1.8797398,-1.6825061
-1.8797398,-1.7177086
-1.8797398,-1.7499366
-1.8797398,-1.7789203
-1.8797398,-1.8061901
-1.8797398,-1.8313771
-1.8797398,-1.8585676
-1.8797398,-1.8813673
-2.0039165,-1.9138478
-2.0039165,-1.9255619
-2.0039165,-1.9403852
-2.0039165,-1.9613614
-2.0039165,-1.9885451
-2.0039165,-2.0082884
-2.0039165,-2.0103142
-2.0039165,-2.0042179
-2.0039165,-2.003629
-1.8001074,-1.9544227
-1.8001074,-1.9340261
-1.8001074,-1.9208993
-1.8001074,-1.9075032
-1.8001074,-1.8865696
-1.8001074,-1.858295
-1.8001074,-1.8250698
-1.8001074,-1.7982765
-1.8001074,-1.79962
-1.6600543,-1.736764
-1.6600543,-1.7096194
-1.6600543,-1.6955751
-1.6600543,-1.6866983
-1.6600543,-1.6739378
-1.6600543,-1.6619949
-1.6600543,-1.6578344
-1.6600543,-1.6599497
-1.6454715,-1.6497912
-1.6454715,-1.6481609
-1.6454715,-1.6499387
-1.6454715,-1.6531023
-1.6454715,-1.6553822
-1.6454715,-1.6521678
-1.6454715,-1.6480938
-1.6454715,-1.6452751
-1.6410079,-1.6539543
-1.6410079,-1.664563
-1.6410079,-1.6669767
-1.6410079,-1.6606755
-1.6410079,-1.6469449
-1.6410079,-1.6416297
-1.6410079,-1.6404352
-1.6410079,-1.6410211
-1.6410079,-1.6410184
-1.5300742,-1.6199483
-1.5300742,-1.6017448
-1.5300742,-1.576347
-1.5300742,-1.5476955
-1.5300742,-1.5217081
-1.5300742,-1.5094049
-1.5300742,-1.5159907
-1.5300742,-1.5310463
-1.6033882,-1.5970715
-1.6033882,-1.6316248
-1.6033882,-1.6503736
-1.6033882,-1.6547449
-1.6033882,-1.6477395
-1.6033882,-1.6342466
-1.6033882,-1.6119003
-1.6033882,-1.6022402
-1.636697,-1.5898538
-1.636697,-1.5762693
-1.636697,-1.5633378
-1.636697,-1.5558724
-1.636697,-1.5567455
-1.636697,-1.571083
-1.636697,-1.5989547
-1.636697,-1.6351943
-1.6776632,-1.7071825
-1.6776632,-1.7268656
-1.6776632,-1.7237836
-1.6776632,-1.7049475
-1.6776632,-1.6818326
-1.6776632,-1.6640569
-1.6776632,-1.665346
-1.6776632,-1.678438
-1.6510237,-1.7467161
-1.6510237,-1.7691854
-1.6510237,-1.7678249
-1.6510237,-1.7479403
-1.6510237,-1.7167373
-1.6510237,-1.6924752
-1.6510237,-1.6658175
-1.6510237,-1.6518781
-1.6510237,-1.6502038
-1.7965275,-1.7028327
-1.7965275,-1.7335685
-1.7965275,-1.7548143
-1.7965275,-1.7701141
-1.7965275,-1.7838607
-1.7965275,-1.7970893
-1.7965275,-1.8004417
-1.7965275,-1.7963363
-1.7965275,-1.796482
-1.8572263,-1.8088971
-1.8572263,-1.8015608
-1.8572263,-1.7872592
-1.8572263,-1.777103
-1.8572263,-1.7734851
-1.8572263,-1.7879035
-1.8572263,-1.8180001
-1.8572263,-1.8555379
-1.998532,-1.907396
-1.998532,-1.9155791
-1.998532,-1.9134219
-1.998532,-1.912652
-1.998532,-1.924963
-1.998532,-1.948227
-1.998532,-1.9767592
-1.998532,-2.0001261
-2.149627,-2.0636656
-2.149627,-2.075156
-2.149627,-2.072465
-2.149627,-2.0679166
-2.149627,-2.0703735
-2.149627,-2.08664
-2.149627,-2.1143181
-2.149627,-2.148264
-2.139681,-2.1777575
-2.139681,-2.1893554
-2.139681,-2.1878695
-2.139681,-2.1746967
-2.139681,-2.1530511
-2.139681,-2.1367683
-2.139681,-2.1338515
-2.139681,-2.1400404
-2.139681,-2.1397367
-2.190069,-2.1879213
-2.190069,-2.2091236
-2.190069,-2.2185154
-2.190069,-2.2190316
-2.190069,-2.2137961
-2.190069,-2.2062402
-2.190069,-2.1981254
-2.190069,-2.1903784
-2.3897574,-2.206882
-2.3897574,-2.2285948
-2.3897574,-2.2572536
-2.3897574,-2.287358
-2.3897574,-2.3122022
-2.3897574,-2.333108
-2.3897574,-2.3621638
-2.3897574,-2.3918421
-2.3897574,-2.390202
-2.6756237,-2.5176463
-2.6756237,-2.584633
-2.6756237,-2.6276789
-2.6756237,-2.6515892
-2.6756237,-2.6622279
-2.6756237,-2.6671214
-2.6756237,-2.671583
-3.0085046,-2.687576
-3.0085046,-2.7069864
-3.0085046,-2.7369468
-3.0085046,-2.7813616
-3.0085046,-2.8449008
-3.0085046,-2.9130855
-3.0085046,-2.9733975
-3.0085046,-3.0112884
-3.0085046,-3.009191
-2.9814029,-3.0534465
-2.9814029,-3.0515378
-2.9814029,-3.035333
-2.9814029,-2.9997957
-2.9814029,-2.9690003
-2.9814029,-2.95228
-2.9814029,-2.9562247
-2.9814029,-2.980428
-3.2572117,-3.0182385
-3.2572117,-3.0422802
-3.2572117,-3.0518856
-3.2572117,-3.0582163
-3.2572117,-3.0795407
-3.2572117,-3.1294098
-3.2572117,-3.2001271
-3.2572117,-3.26208
-3.2572117,-3.2606788
-3.361537,-3.3671281
-3.361537,-3.3948622
-3.361537,-3.3951888
-3.361537,-3.3815844
-3.361537,-3.3684506
-3.361537,-3.3603287
-3.361537,-3.358947
-3.361537,-3.361689
-3.740549,-3.3805873
-3.740549,-3.4258254
-3.740549,-3.4918811
-3.740549,-3.564278
-3.740549,-3.6291602
-3.740549,-3.6793807
-3.740549,-3.718191
-3.740549,-3.7391121
-3.740549,-3.7421033
-3.7369606,-3.773034
-3.7369606,-3.7889328
-3.7369606,-3.7938838
-3.7369606,-3.7883024
-3.7369606,-3.7734058
-3.7369606,-3.7587469
-3.7369606,-3.74519
-3.7089784,-3.6695209
-3.7089784,-3.6491416
-3.7089784,-3.6495478
-3.7089784,-3.6628444
-3.7089784,-3.680035
-3.7089784,-3.6948142
-3.7089784,-3.7047014
-3.7089784,-3.7093759
-3.7089784,-3.7093074
-3.7562573,-3.7190802
-3.7562573,-3.7143013
-3.7562573,-3.7020962
-3.7562573,-3.688849
-3.7562573,-3.6822457
-3.7562573,-3.6871324
-3.7562573,-3.7183876
-3.7562573,-3.7592072
-4.144863,-3.869994
-4.144863,-3.9491081
-4.144863,-4.0096784
-4.144863,-4.0527205
-4.144863,-4.0863905
-4.144863,-4.117676
-4.144863,-4.137745
-4.144863,-4.1444325
-4.144863,-4.145408
-3.9834719,-4.090036
-3.9834719,-4.0557585
-3.9834719,-4.0334024
