Radical SR10 @ Sebring International Raceway - International
InputTorque60Hz,InputTorque500Hz
5.491905,7.102883
5.491905,7.0879393
5.491905,7.1259356
5.491905,7.07817
5.491905,6.8408394
5.491905,6.536425
5.491905,6.0284123
5.491905,5.504724
6.8395486,4.7472777
6.8395486,4.524506
6.8395486,4.5448384
6.8395486,4.7807884
6.8395486,5.1928964
6.8395486,5.72247
6.8395486,6.3556533
6.8395486,6.8774543
6.8395486,6.8475327
10.023937,7.931467
10.023937,8.4466715
10.023937,8.813591
10.023937,9.031523
10.023937,9.303086
10.023937,9.564124
10.023937,9.806958
10.023937,10.012448
9.265313,9.8412285
9.265313,9.778282
9.265313,9.692835
9.265313,9.576098
9.265313,9.447059
9.265313,9.341721
9.265313,9.281677
9.265313,9.263485
9.227648,8.5948515
9.227648,8.645776
9.227648,8.914312
9.227648,9.15749
9.227648,9.385314
9.227648,9.460446
9.227648,9.396322
9.227648,9.235586
9.227648,9.221759
9.375304,8.996927
9.375304,8.850422
9.375304,8.735259
9.375304,8.679119
9.375304,8.712637
9.375304,8.861181
9.375304,9.128954
9.375304,9.395117
11.152386,9.857665
11.152386,10.197829
11.152386,10.421787
11.152386,10.677153
11.152386,10.879123
11.152386,11.026145
11.152386,11.108722
11.152386,11.151083
10.743797,10.653022
10.743797,10.598867
10.743797,10.651507
10.743797,10.73602
10.743797,10.792833
10.743797,10.813762
10.743797,10.787792
10.743797,10.740633
10.743797,10.743223
8.675015,10.403016
8.675015,10.180984
8.675015,9.942448
8.675015,9.680228
8.675015,9.402776
8.675015,9.12868
8.675015,8.857752
8.675015,8.6596985
7.0914044,8.373296
7.0914044,8.247498
7.0914044,8.144409
7.0914044,8.02544
7.0914044,7.8708334
7.0914044,7.66252
7.0914044,7.35299
7.0914044,7.070499
4.677381,6.59738
4.677381,6.071589
4.677381,5.6804533
4.677381,5.2113185
4.677381,4.9185333
4.677381,4.7795234
4.677381,4.7269993
4.677381,4.678374
0.025573758,4.6966524
0.025573758,4.3018312
0.025573758,3.638662
0.025573758,2.7781057
0.025573758,1.8423315
0.025573758,0.9989693
0.025573758,0.36390033
0.025573758,-0.0032617552
0.025573758,0.018647596
5.372719,0.55218214
5.372719,0.7255464
5.372719,1.065664
5.372719,1.7114766
5.372719,2.7348237
5.372719,3.8289943
5.372719,4.7938266
5.372719,5.4504385
6.13934,6.724385
6.13934,6.97387
6.13934,6.8810015
6.13934,6.609863
6.13934,6.3324165
6.13934,6.141014
6.13934,6.093606
6.13934,6.141515
6.13934,6.1398115
11.156448,6.7204
11.156448,7.232357
11.156448,7.869819
11.156448,8.564597
11.156448,9.307291
11.156448,10.013662
11.156448,10.687089
11.156448,11.192806
12.287322,11.618736
12.287322,11.923089
12.287322,12.134669
12.287322,12.256199
12.287322,12.291022
12.287322,12.280929
12.287322,12.2775
12.287322,12.288032
12.806905,12.0289
12.806905,12.171134
12.806905,12.434358
12.806905,12.704914
12.806905,12.882727
12.806905,12.929821
12.806905,12.879514
12.806905,12.801294
12.806905,12.806092
12.7458105,12.142647
12.7458105,12.028001
12.7458105,12.100272
12.7458105,12.275447
12.7458105,12.47661
12.7458105,12.63769
12.7458105,12.726617
12.7458105,12.744442
11.497878,12.677333
11.497878,12.500657
11.497878,12.266526
11.497878,12.020895
11.497878,11.817365
11.497878,11.680742
11.497878,11.56603
11.497878,11.490861
9.873749,11.339233
9.873749,11.13322
9.873749,10.846705
9.873749,10.531699
9.873749,10.324094
9.873749,10.120251
9.873749,9.974267
9.873749,9.876181
9.873749,9.869347
9.814414,9.935722
9.814414,9.810756
9.814414,9.618783
9.814414,9.4391775
9.814414,9.354111
9.814414,9.414933
9.814414,9.610582
9.814414,9.828645
11.708589,10.839916
11.708589,11.057659
11.708589,10.96178
11.708589,10.787688
11.708589,10.651685
11.708589,10.760011
11.708589,11.125476
11.708589,11.687106
11.708589,11.735405
14.64336,12.64792
14.64336,13.204423
14.64336,13.622497
14.64336,13.9053545
14.64336,14.108281
14.64336,14.300927
14.64336,14.499734
14.64336,14.654935
15.057511,15.058311
15.057511,15.146956
15.057511,15.116333
15.057511,15.060155
15.057511,14.99748
15.057511,14.981976
15.057511,15.007833
15.057511,15.05622
14.306474,14.495442
14.306474,14.408307
14.306474,14.387421
14.306474,14.366272
14.306474,14.314542
14.306474,14.277217
14.306474,14.2814455
14.306474,14.305989
13.948262,14.006371
13.948262,13.968074
13.948262,13.94169
13.948262,13.905232
13.948262,13.865598
13.948262,13.872204
13.948262,13.909701
13.948262,13.951149
13.38861,13.71396
13.38861,13.602985
13.38861,13.490674
13.38861,13.383663
13.38861,13.307106
13.38861,13.294812
13.38861,13.335595
13.38861,13.392444
13.38861,13.390985
12.766781,13.558553
12.766781,13.53265
12.766781,13.362743
12.766781,13.1137495
12.766781,12.872884
12.766781,12.744664
12.766781,12.726399
12.766781,12.770308
12.910961,13.405595
12.910961,13.44141
12.910961,13.245188
12.910961,12.953224
12.910961,12.729476
12.910961,12.678563
12.910961,12.734091
12.910961,12.902886
12.910961,12.917827
13.444698,14.133946
13.444698,14.310276
13.444698,14.15201
13.444698,13.843335
13.444698,13.572627
13.444698,13.434464
13.444698,13.412005
13.444698,13.446421
14.645458,14.002486
14.645458,14.051497
14.645458,13.937035
14.645458,13.7930975
14.645458,13.768008
14.645458,13.94436
14.645458,14.191667
14.645458,14.621915
16.655935,15.443603
16.655935,15.782417
16.655935,15.939536
16.655935,15.991452
16.655935,16.033121
16.655935,16.163603
16.655935,16.414454
16.655935,16.673431
16.655935,16.659744
18.782698,17.102545
18.782698,17.417864
18.782698,17.694483
18.782698,17.924389
18.782698,18.139782
18.782698,18.309464
18.782698,18.54505
18.782698,18.77169
18.76486,18.690104
18.76486,18.786236
18.76486,18.959803
18.76486,19.087389
18.76486,19.047913
18.76486,18.914246
18.76486,18.805496
18.76486,18.760818
18.520176,18.476421
18.520176,18.547022
18.520176,18.672022
18.520176,18.772243
18.520176,18.78552
18.520176,18.71968
18.520176,18.64269
18.520176,18.525793
18.520176,18.517984
18.02099,18.467207
18.02099,18.418293
18.02099,18.364037
18.02099,18.309364
18.02099,18.248358
18.02099,18.18032
18.02099,18.093857
18.02099,18.015387
17.567842,17.300123
17.567842,17.160635
17.567842,17.195759
17.567842,17.300978
17.567842,17.41404
17.567842,17.477291
17.567842,17.537565
17.567842,17.567488
17.381054,17.473452
17.381054,17.463802
17.381054,17.475164
17.381054,17.489967
17.381054,17.492033
17.381054,17.472979
17.381054,17.425472
17.381054,17.377087
17.381054,17.378878
16.821619,17.610325
16.821619,17.538898
16.821619,17.381693
16.821619,17.199823
16.821619,17.05452
16.821619,16.948376
