Ray Formula 1600 @ Summit Point Raceway - Jefferson Circuit
InputTorque60Hz,InputTorque500Hz
-1.5820982,-0.66293347
-1.5820982,-0.7834261
-1.5820982,-0.8756926
-1.5820982,-0.9855637
-1.5820982,-1.1513351
-1.5820982,-1.3557335
-1.5820982,-1.4755731
-1.5820982,-1.5819398
-1.5820982,-1.5852665
-0.6167442,-2.1917355
-0.6167442,-1.7622826
-0.6167442,-1.308379
-0.6167442,-0.96835685
-0.6167442,-0.74849784
-0.6167442,-0.6533026
-0.6167442,-0.6232062
-0.6167442,-0.6169322
-0.84215575,-0.45650724
-0.84215575,-0.4666242
-0.84215575,-0.48496306
-0.84215575,-0.5115674
-0.84215575,-0.5683565
-0.84215575,-0.67063946
-0.84215575,-0.7541546
-0.84215575,-0.84373975
-0.84215575,-0.8448123
-1.0362474,-0.8060745
-1.0362474,-0.87072796
-1.0362474,-0.9368991
-1.0362474,-0.97532284
-1.0362474,-0.9853011
-1.0362474,-0.99114704
-1.0362474,-1.0078775
-1.0362474,-1.0364307
-0.8360466,-0.97410005
-0.8360466,-1.0365138
-0.8360466,-1.1010342
-0.8360466,-1.1387316
-0.8360466,-1.136056
-0.8360466,-1.0651565
-0.8360466,-0.93539417
-0.8360466,-0.8359446
-1.011218,-0.50301754
-1.011218,-0.4514983
-1.011218,-0.47220844
-1.011218,-0.5379874
-1.011218,-0.63714683
-1.011218,-0.7599528
-1.011218,-0.9108158
-1.011218,-1.022518
-0.9727364,-1.1244391
-0.9727364,-1.3235054
-0.9727364,-1.387238
-0.9727364,-1.3337874
-0.9727364,-1.2253495
-0.9727364,-1.1214045
-0.9727364,-1.0250398
-0.9727364,-0.96620184
-0.9727364,-0.97054005
-1.1179354,-1.3900672
-1.1179354,-1.2491859
-1.1179354,-1.1694931
-1.1179354,-1.1800917
-1.1179354,-1.2196997
-1.1179354,-1.2200321
-1.1179354,-1.1691326
-1.1179354,-1.1124213
-1.3627747,-1.318486
-1.3627747,-1.2059251
-1.3627747,-1.0693659
-1.3627747,-0.97559386
-1.3627747,-0.96174854
-1.3627747,-1.0494403
-1.3627747,-1.2359904
-1.3627747,-1.3794993
-1.3627747,-1.3682439
-1.606149,-2.312059
-1.606149,-2.2492146
-1.606149,-2.1318328
-1.606149,-2.0453286
