Sprint Car @ Knoxville Raceway - Dirt Oval
InputTorque60Hz,InputTorque500Hz
-12.868626,-12.451199
-12.868626,-12.525576
-12.868626,-12.566153
-12.868626,-12.612416
-12.868626,-12.675343
-12.868626,-12.7602625
-12.868626,-12.865927
-14.0776205,-13.037875
-14.0776205,-13.16817
-14.0776205,-13.305319
-14.0776205,-13.4618
-14.0776205,-13.610061
-14.0776205,-13.730188
-14.0776205,-13.904733
-14.0776205,-14.0750885
-14.0776205,-14.084484
-15.048063,-14.086248
-15.048063,-14.108868
-15.048063,-14.158167
-15.048063,-14.246408
-15.048063,-14.372802
-15.048063,-14.570332
-15.048063,-14.842882
-15.048063,-15.047391
-17.43139,-15.41937
-17.43139,-15.730922
-17.43139,-16.050003
-17.43139,-16.36803
-17.43139,-16.677153
-17.43139,-16.969791
-17.43139,-17.252045
-17.43139,-17.449213
-17.89715,-17.638607
-17.89715,-17.758963
-17.89715,-17.843672
-17.89715,-17.886463
-17.89715,-17.919956
-17.89715,-17.930418
-17.89715,-17.920948
-17.89715,-17.897427
-17.967955,-17.829582
-17.967955,-17.791185
-17.967955,-17.774294
-17.967955,-17.779356
-17.967955,-17.797783
-17.967955,-17.835997
-17.967955,-17.894855
-17.967955,-17.967123
-17.967955,-17.970581
-17.698542,-18.00735
-17.698542,-18.075052
-17.698542,-18.11063
-17.698542,-18.083096
-17.698542,-17.97596
-17.698542,-17.871515
-17.698542,-17.76845
-17.698542,-17.700817
-18.165834,-17.58684
-18.165834,-17.54244
-18.165834,-17.53618
-18.165834,-17.57002
-18.165834,-17.647093
-18.165834,-17.776358
-18.165834,-17.98788
-18.165834,-18.182873
-22.629396,-18.632883
-22.629396,-19.060709
-22.629396,-19.422966
-22.629396,-19.954311
-22.629396,-20.557167
-22.629396,-21.204563
-22.629396,-21.913034
-22.629396,-22.616032
-22.629396,-22.65689
-28.594416,-23.57786
-28.594416,-24.293703
-28.594416,-25.029118
-28.594416,-25.573069
-28.594416,-26.304554
-28.594416,-27.074013
-28.594416,-27.851892
-28.594416,-28.588064
-28.594416,-28.622469
-32.097874,-29.517036
-32.097874,-30.145615
-32.097874,-30.701248
-32.097874,-31.195656
-32.097874,-31.487804
-32.097874,-31.796206
-32.097874,-32.00247
-29.1858,-31.886932
-29.1858,-31.613356
-29.1858,-31.269281
-29.1858,-30.865572
-29.1858,-30.43197
-29.1858,-29.991512
-29.1858,-29.506542
-29.1858,-29.15102
-29.1858,-29.183573
-24.531174,-28.404305
-24.531174,-27.826313
-24.531174,-27.232738
-24.531174,-26.656334
-24.531174,-26.078968
-24.531174,-25.501707
-24.531174,-24.9107
-24.531174,-24.487316
-20.800907,-23.754326
-20.800907,-23.225058
-20.800907,-22.829885
-20.800907,-22.36189
-20.800907,-21.924297
-20.800907,-21.514704
-20.800907,-21.134949
-20.800907,-20.803598
-18.39939,-20.337193
-18.39939,-20.016863
-18.39939,-19.714878
-18.39939,-19.43034
-18.39939,-19.145996
-18.39939,-18.941614
-18.39939,-18.662922
-18.39939,-18.40412
-18.39939,-18.388575
-17.812202,-18.17843
-17.812202,-18.03753
-17.812202,-17.915728
-17.812202,-17.824286
-17.812202,-17.765556
-17.812202,-17.74431
-17.812202,-17.773378
-17.812202,-17.815918
-17.812202,-17.813906
-22.185423,-18.176277
-22.185423,-18.526613
-22.185423,-18.947567
-22.185423,-19.449413
-22.185423,-20.037453
-22.185423,-20.720259
-22.185423,-21.604218
-22.185423,-22.252157
-30.745644,-23.668812
-30.745644,-24.791487
-30.745644,-25.903284
-30.745644,-26.994116
-30.745644,-28.052286
-30.745644,-29.082714
-30.745644,-30.102406
-30.745644,-30.81123
-35.713963,-31.963003
-35.713963,-32.74446
-35.713963,-33.463917
-35.713963,-33.913452
-35.713963,-34.454037
-35.713963,-34.943676
-35.713963,-35.358932
-35.713963,-35.704914
-37.544094,-36.213623
-37.544094,-36.518272
-37.544094,-36.776337
-37.544094,-36.98682
-37.544094,-37.1627
-37.544094,-37.32032
-37.544094,-37.4568
-37.544094,-37.540756
-37.544094,-37.549103
-37.557304,-37.586643
-37.557304,-37.608727
-37.557304,-37.62476
-37.557304,-37.634228
-37.557304,-37.63484
-37.557304,-37.622368
-37.557304,-37.589336
-37.557304,-37.55434
-36.51821,-37.43141
-36.51821,-37.30764
-36.51821,-37.171535
-36.51821,-37.02277
-36.51821,-36.876225
-36.51821,-36.732635
-36.51821,-36.59849
-36.51821,-36.50918
-36.29341,-36.391098
-36.29341,-36.321384
-36.29341,-36.27209
-36.29341,-36.249043
-36.29341,-36.23824
-36.29341,-36.24637
-36.29341,-36.26731
-36.29341,-36.292908
-37.15981,-36.405003
-37.15981,-36.496857
-37.15981,-36.598648
-37.15981,-36.706028
-37.15981,-36.822697
-37.15981,-36.941505
-37.15981,-37.036892
-37.15981,-37.15872
-37.15981,-37.16436
-35.87535,-37.24311
-35.87535,-37.30527
-35.87535,-37.33275
-35.87535,-37.29303
-35.87535,-37.14779
-35.87535,-36.839718
-35.87535,-36.31515
-35.87535,-35.885178
-25.434906,-34.706585
-25.434906,-33.70225
-25.434906,-32.58933
-25.434906,-31.360487
-25.434906,-30.07232
-25.434906,-28.613823
-25.434906,-26.799816
-25.434906,-25.302948
-25.434906,-25.425009
-12.207319,-22.759317
-12.207319,-21.340717
-12.207319,-19.396746
-12.207319,-17.471466
-12.207319,-15.759502
-12.207319,-14.276236
-12.207319,-13.065011
-12.207319,-12.229395
-16.809061,-11.592158
-16.809061,-11.567532
-16.809061,-11.888547
-16.809061,-12.333645
-16.809061,-13.166557
-16.809061,-14.210996
-16.809061,-15.461503
-16.809061,-16.7767
-27.248747,-18.723984
-27.248747,-20.115479
-27.248747,-21.522354
-27.248747,-22.84628
-27.248747,-24.134314
-27.248747,-25.061062
-27.248747,-26.2171
-27.248747,-27.243444
-31.874706,-28.504562
-31.874706,-29.30418
-31.874706,-30.006598
