Stock Non-Winged Micro Sprint @ Limaland Motorsports Park - Clay Oval
InputTorque60Hz,InputTorque500Hz
-17.27229,-14.956777
-17.27229,-14.807579
-17.27229,-14.674648
-17.27229,-15.089384
-17.27229,-16.027794
-17.27229,-17.241974
-17.27229,-17.327257
-18.317665,-20.499691
-18.317665,-21.451658
-18.317665,-21.537016
-18.317665,-21.058346
-18.317665,-20.326998
-18.317665,-19.579493
-18.317665,-18.823097
-18.317665,-18.34106
-20.809528,-16.003103
-20.809528,-15.637238
-20.809528,-16.088581
-20.809528,-17.050047
-20.809528,-18.297258
-20.809528,-19.423605
-20.809528,-20.33312
-20.809528,-20.857527
-20.809528,-20.816145
-18.742918,-20.571486
-18.742918,-20.169428
-18.742918,-19.569023
-18.742918,-19.0769
-18.742918,-18.478693
-18.742918,-18.1812
-18.742918,-18.274803
-18.742918,-18.724087
-22.845627,-18.338434
-22.845627,-19.145338
-22.845627,-20.19304
-22.845627,-21.185417
-22.845627,-21.94629
-22.845627,-22.316387
-22.845627,-22.63402
-22.845627,-22.864658
-25.76912,-22.416395
-25.76912,-22.664974
-25.76912,-23.270386
-25.76912,-24.002094
-25.76912,-24.63997
-25.76912,-25.089333
-25.76912,-25.436537
-25.76912,-25.755405
-25.76912,-25.78493
-22.834295,-24.370028
-22.834295,-24.242985
-22.834295,-24.294458
-22.834295,-24.27667
-22.834295,-24.033478
-22.834295,-23.6452
-22.834295,-23.176222
-22.834295,-22.85671
-17.47801,-20.918278
-17.47801,-20.391502
-17.47801,-20.037241
-17.47801,-19.634554
-17.47801,-19.032202
-17.47801,-18.396505
-17.47801,-17.823292
-17.47801,-17.444056
-18.681477,-16.105549
-18.681477,-15.838095
-18.681477,-16.11833
-18.681477,-16.766872
-18.681477,-17.399767
-18.681477,-18.041298
-18.681477,-18.467596
-18.681477,-18.672152
-18.681477,-18.69295
-17.871754,-18.872942
-17.871754,-18.883104
-17.871754,-18.881542
-17.871754,-18.838928
-17.871754,-18.693659
-17.871754,-18.420296
-17.871754,-18.106405
-17.871754,-17.854042
-16.150476,-17.191793
-16.150476,-17.13501
-16.150476,-17.125849
-16.150476,-17.076908
-16.150476,-16.896503
-16.150476,-16.660257
-16.150476,-16.408325
-16.150476,-16.163977
-9.786129,-15.212898
-9.786129,-14.832904
-9.786129,-14.44229
-9.786129,-13.962877
-9.786129,-13.348999
-9.786129,-12.315663
-9.786129,-10.925133
-9.786129,-9.642435
-9.786129,-9.742096
-10.293637,-8.530923
-10.293637,-8.414111
-10.293637,-8.89883
-10.293637,-9.3052025
-10.293637,-9.698938
-10.293637,-10.165251
-10.293637,-10.269705
-10.293637,-10.289991
-9.758358,-10.814585
-9.758358,-10.744771
-9.758358,-10.495687
-9.758358,-10.215538
-9.758358,-9.956466
-9.758358,-9.870606
-9.758358,-9.745249
-10.152501,-8.9458685
-10.152501,-8.993649
-10.152501,-9.465091
-10.152501,-10.124556
-10.152501,-10.369389
-10.152501,-10.359824
-10.152501,-10.135002
-10.152501,-10.145602
-10.205028,-9.324148
-10.205028,-9.150606
-10.205028,-9.333507
-10.205028,-9.594533
-10.205028,-9.881633
-10.205028,-10.227146
-10.205028,-10.258714
-10.205028,-10.211262
-10.159081,-9.669669
-10.159081,-9.592036
-10.159081,-9.711194
-10.159081,-9.836757
-10.159081,-10.023965
-10.159081,-10.081786
-10.159081,-10.15156
-9.878394,-10.554213
-9.878394,-10.432746
-9.878394,-10.245868
-9.878394,-10.091165
-9.878394,-10.023633
-9.878394,-10.015225
