Street Stock @ USA International Speedway - Dirt
InputTorque60Hz,InputTorque500Hz
-23.980152,-24.490679
-23.980152,-24.935242
-23.980152,-24.858702
-23.980152,-24.45844
-23.980152,-24.077412
-23.980152,-23.872768
-23.980152,-23.879974
-23.980152,-23.976065
-23.980152,-23.98464
-23.20766,-23.848543
-23.20766,-23.917614
-23.20766,-23.718985
-23.20766,-23.326927
-23.20766,-22.891434
-23.20766,-22.749146
-23.20766,-22.928247
-23.20766,-23.228542
-24.668152,-23.751303
-24.668152,-23.5325
-24.668152,-23.355816
-24.668152,-23.385143
-24.668152,-23.611227
-24.668152,-23.996593
-24.668152,-24.403004
-24.668152,-24.657587
-27.42801,-25.463322
-27.42801,-25.656328
-27.42801,-25.702335
-27.42801,-25.728592
-27.42801,-25.867205
-27.42801,-26.370989
-27.42801,-26.987003
-27.42801,-27.465946
-27.42801,-27.434324
-27.690773,-27.644625
-27.690773,-27.656965
-27.690773,-27.506897
-27.690773,-27.190054
-27.690773,-26.942284
-27.690773,-26.874905
-27.690773,-27.098774
-27.690773,-27.674953
-24.843098,-27.84103
-24.843098,-27.851622
-24.843098,-27.737366
-24.843098,-27.415277
-24.843098,-26.80749
-24.843098,-25.973612
-24.843098,-25.241463
-24.843098,-24.80671
-24.393562,-24.567383
-24.393562,-24.871336
-24.393562,-25.231493
-24.393562,-25.437635
-24.393562,-25.330982
-24.393562,-24.994253
-24.393562,-24.626099
-24.393562,-24.372196
-24.393562,-24.390965
-26.439915,-24.587513
-26.439915,-24.90577
-26.439915,-25.480875
-26.439915,-26.15216
-26.439915,-26.680784
-26.439915,-26.752869
-26.439915,-26.66083
-26.439915,-26.448565
-26.217777,-26.51526
-26.217777,-26.272507
-26.217777,-26.014027
-26.217777,-25.813684
-26.217777,-25.719414
-26.217777,-25.862669
-26.217777,-26.075546
-26.217777,-26.230795
-25.038631,-26.18848
-25.038631,-25.93285
-25.038631,-25.769495
-25.038631,-25.709297
-25.038631,-25.679436
-25.038631,-25.580046
-25.038631,-25.349926
-25.038631,-25.051907
-25.038631,-25.024307
-23.87052,-25.008442
-23.87052,-25.000237
-23.87052,-25.006912
-23.87052,-24.9616
-23.87052,-24.789856
-23.87052,-24.554111
-23.87052,-24.183512
-23.87052,-23.842018
-21.957737,-23.540741
-21.957737,-23.541483
-21.957737,-23.579424
-21.957737,-23.548021
-21.957737,-23.282772
-21.957737,-22.741049
-21.957737,-22.208242
-21.957737,-21.968346
-23.054129,-21.85673
-23.054129,-21.660168
-23.054129,-21.367367
-23.054129,-21.26312
-23.054129,-21.690315
-23.054129,-22.220741
-23.054129,-22.732927
-23.054129,-23.081514
-20.147533,-23.106852
-20.147533,-22.537893
-20.147533,-21.646608
-20.147533,-20.830238
-20.147533,-20.58848
-20.147533,-20.593554
-20.147533,-20.537075
-20.147533,-20.162354
-20.147533,-20.132235
-20.592058,-19.52698
-20.592058,-19.497343
-20.592058,-19.73094
-20.592058,-20.153818
-20.592058,-20.66067
-20.592058,-20.890612
-20.592058,-20.86783
-20.592058,-20.601875
-18.448301,-20.650896
-18.448301,-20.903477
-18.448301,-21.173725
-18.448301,-21.095963
-18.448301,-20.292528
-18.448301,-19.414894
-18.448301,-18.751053
-18.448301,-18.423615
-19.439837,-18.335007
-19.439837,-18.399044
-19.439837,-18.36977
-19.439837,-18.366192
-19.439837,-18.575449
-19.439837,-18.816254
-19.439837,-19.151182
-19.439837,-19.422014
-19.439837,-19.456125
-16.27044,-20.093288
-16.27044,-19.6359
-16.27044,-18.906591
-16.27044,-18.028467
-16.27044,-17.127977
-16.27044,-16.733095
-16.27044,-16.451416
-16.27044,-16.25232
-17.55899,-15.973598
-17.55899,-15.814763
-17.55899,-15.975145
-17.55899,-16.288036
-17.55899,-16.85267
-17.55899,-17.387714
-17.55899,-17.682537
-17.55899,-17.563215
-17.55899,-17.555468
-14.681691,-17.459562
-14.681691,-17.035093
-14.681691,-16.634932
-14.681691,-16.296375
-14.681691,-16.002237
-14.681691,-15.563582
-14.681691,-15.047354
-14.681691,-14.649466
-14.62324,-14.5168495
-14.62324,-14.61753
-14.62324,-14.8556795
-14.62324,-15.129313
-14.62324,-15.121635
-14.62324,-15.010143
-14.62324,-14.829906
-14.62324,-14.6290655
-14.102398,-14.616262
-14.102398,-14.541301
-14.102398,-14.315785
-14.102398,-13.923614
-14.102398,-13.4529915
-14.102398,-13.377386
-14.102398,-13.587484
-14.102398,-14.086046
-13.653509,-14.401658
-13.653509,-14.421192
-13.653509,-14.238628
-13.653509,-14.023472
-13.653509,-13.996998
-13.653509,-13.835822
-13.653509,-13.705463
-13.653509,-13.648572
-13.653509,-13.652533
-13.381374,-13.09088
-13.381374,-12.483062
-13.381374,-12.254011
-13.381374,-12.349441
-13.381374,-12.74432
-13.381374,-13.056919
-13.381374,-13.27219
-13.381374,-13.3772335
-13.124683,-12.876774
-13.124683,-12.73018
-13.124683,-12.608217
-13.124683,-12.579057
-13.124683,-12.730096
-13.124683,-12.82413
-13.124683,-12.980037
-13.124683,-13.1364565
-12.634855,-12.844641
-12.634855,-13.0126295
-12.634855,-13.251902
-12.634855,-13.308542
-12.634855,-12.992491
-12.634855,-12.617049
-12.634855,-12.43291
-12.634855,-12.627545
-12.634855,-12.641635
-14.456639,-12.454158
-14.456639,-12.462493
-14.456639,-12.772861
-14.456639,-13.250396
-14.456639,-13.660477
-14.456639,-14.126884
-14.456639,-14.402144
-14.456639,-14.452802
-14.38602,-14.08916
-14.38602,-14.025327
-14.38602,-14.188511
