Super Formula Lights 324 @ Circuit de Spa-Francorchamps - Bike
InputTorque60Hz,InputTorque500Hz
-5.1452317,-5.356349
-5.1452317,-5.422638
-5.1452317,-5.4054956
-5.1452317,-5.349021
-5.1452317,-5.2557197
-5.1452317,-5.1761856
-5.1452317,-5.146352
-5.5991316,-5.113036
-5.5991316,-5.0971913
-5.5991316,-5.106649
-5.5991316,-5.13269
-5.5991316,-5.1617413
-5.5991316,-5.2373104
-5.5991316,-5.4195886
-5.5991316,-5.616256
-6.1936226,-5.883228
-6.1936226,-6.021353
-6.1936226,-6.094072
-6.1936226,-6.120479
-6.1936226,-6.123762
-6.1936226,-6.135538
-6.1936226,-6.1651487
-6.1936226,-6.1963634
-6.1936226,-6.1938567
-5.6605415,-6.138323
-5.6605415,-6.006112
-5.6605415,-5.8883886
-5.6605415,-5.7282767
-5.6605415,-5.607269
-5.6605415,-5.548953
-5.6605415,-5.5678744
-5.6605415,-5.659601
-6.0938735,-5.687776
-6.0938735,-5.773282
-6.0938735,-5.8302045
-6.0938735,-5.8431582
-6.0938735,-5.8187747
-6.0938735,-5.8592525
-6.0938735,-5.9391146
-6.0938735,-6.0896964
-6.9464765,-6.3097725
-6.9464765,-6.504679
-6.9464765,-6.6914153
-6.9464765,-6.844352
-6.9464765,-6.940976
-6.9464765,-6.9919558
-6.9464765,-6.981097
-6.9464765,-6.9437804
-7.0878644,-6.8210826
-7.0878644,-6.774244
-7.0878644,-6.758262
-7.0878644,-6.7660923
-7.0878644,-6.8005133
-7.0878644,-6.871937
-7.0878644,-6.970724
-7.0878644,-7.0838213
-7.0878644,-7.090129
-7.2715154,-7.072449
-7.2715154,-7.013687
-7.2715154,-6.958056
-7.2715154,-6.925692
-7.2715154,-6.9358196
-7.2715154,-7.015703
-7.2715154,-7.1591845
-7.2715154,-7.266725
-7.300807,-7.374878
-7.300807,-7.4272103
-7.300807,-7.447019
-7.300807,-7.4345098
-7.300807,-7.394662
-7.300807,-7.342528
-7.300807,-7.309928
-7.300807,-7.2995486
-7.300807,-7.300732
-7.436588,-7.2704263
-7.436588,-7.275057
-7.436588,-7.3170047
-7.436588,-7.395402
-7.436588,-7.4721255
-7.436588,-7.49632
-7.436588,-7.475919
-7.436588,-7.437906
-7.472573,-7.414273
-7.472573,-7.4355493
-7.472573,-7.4534435
-7.472573,-7.458178
-7.472573,-7.4465413
-7.472573,-7.4396877
-7.472573,-7.44519
-7.472573,-7.4720654
-7.472573,-7.473491
-8.130687,-7.578106
-8.130687,-7.737682
-8.130687,-7.9219084
-8.130687,-8.093252
-8.130687,-8.211989
-8.130687,-8.237126
-8.130687,-8.191561
-7.4980693,-8.052542
-7.4980693,-8.020014
-7.4980693,-7.9499474
-7.4980693,-7.838133
-7.4980693,-7.71667
-7.4980693,-7.613277
-7.4980693,-7.5478806
-7.4980693,-7.499636
-7.4980693,-7.4963903
-7.5717583,-7.402304
-7.5717583,-7.344757
-7.5717583,-7.306256
-7.5717583,-7.280753
-7.5717583,-7.2600365
-7.5717583,-7.28133
-7.5717583,-7.384823
-7.5717583,-7.567394
-7.9784336,-7.9119573
-7.9784336,-8.082967
-7.9784336,-8.131252
-7.9784336,-8.096331
-7.9784336,-8.03782
-7.9784336,-8.00889
-7.9784336,-7.9893093
-7.9784336,-7.9771643
-7.9784336,-7.9781723
-7.617825,-7.979155
-7.617825,-7.9322495
-7.617825,-7.861705
-7.617825,-7.781282
-7.617825,-7.69696
-7.617825,-7.615604
-7.617825,-7.5954814
-7.617825,-7.619468
-7.928388,-7.778453
-7.928388,-7.863489
-7.928388,-7.904692
-7.928388,-7.9076304
-7.928388,-7.890526
-7.928388,-7.8915305
-7.928388,-7.9084167
-7.928388,-7.927676
-8.050741,-8.007576
-8.050741,-8.07193
-8.050741,-8.129745
-8.050741,-8.171368
-8.050741,-8.183729
-8.050741,-8.167638
-8.050741,-8.108418
-8.050741,-8.045458
-8.050741,-8.050436
-8.406984,-7.9689455
-8.406984,-7.958579
-8.406984,-7.9961267
-8.406984,-8.082677
-8.406984,-8.187265
-8.406984,-8.29529
-8.406984,-8.376725
-8.406984,-8.406492
-8.422683,-8.387695
-8.422683,-8.349873
-8.422683,-8.319704
-8.422683,-8.318604
-8.422683,-8.352111
-8.422683,-8.392112
-8.422683,-8.418817
-8.422683,-8.422515
-8.021488,-8.402881
-8.021488,-8.330652
-8.021488,-8.240935
-8.021488,-8.166868
-8.021488,-8.137922
-8.021488,-8.094203
-8.021488,-8.049882
-8.021488,-8.018683
-8.021488,-8.0214815
-8.710682,-7.960867
-8.710682,-8.027049
-8.710682,-8.138521
-8.710682,-8.275418
-8.710682,-8.429064
-8.710682,-8.565273
-8.710682,-8.664774
-8.710682,-8.716028
-8.761872,-8.755562
-8.761872,-8.752303
-8.761872,-8.732872
-8.761872,-8.724343
-8.761872,-8.748308
-8.761872,-8.775337
-8.761872,-8.783918
-8.761872,-8.762262
-8.332493,-8.711694
-8.332493,-8.748189
-8.332493,-8.780931
-8.332493,-8.780781
-8.332493,-8.725434
-8.332493,-8.61
-8.332493,-8.492388
-8.332493,-8.334927
-8.332493,-8.326291
-9.1706705,-8.067517
-9.1706705,-8.002782
-9.1706705,-8.024565
-9.1706705,-8.137956
-9.1706705,-8.3473425
-9.1706705,-8.649952
-9.1706705,-8.96743
-9.1706705,-9.19269
-9.968161,-9.405001
-9.968161,-9.552186
-9.968161,-9.656281
-9.968161,-9.783784
-9.968161,-9.881846
-9.968161,-9.930158
-9.968161,-9.949604
-9.968161,-9.967552
-9.729141,-9.92722
-9.729141,-9.924376
-9.729141,-9.918756
-9.729141,-9.914718
-9.729141,-9.9188385
-9.729141,-9.888013
-9.729141,-9.8160715
-9.729141,-9.730847
-9.729141,-9.725624
-9.758285,-9.508982
-9.758285,-9.392096
-9.758285,-9.3654585
-9.758285,-9.424891
-9.758285,-9.536567
-9.758285,-9.638298
-9.758285,-9.718129
-9.758285,-9.763117
-8.97497,-9.766433
-8.97497,-9.729832
-8.97497,-9.675071
-8.97497,-9.583014
-8.97497,-9.428197
-8.97497,-9.255197
-8.97497,-9.083809
-8.97497,-8.964209
-8.272312,-8.808991
-8.272312,-8.641537
-8.272312,-8.496084
-8.272312,-8.395627
-8.272312,-8.352515
-8.272312,-8.305945
-8.272312,-8.278149
-8.272312,-8.27243
-8.272312,-8.272055
-8.914958,-8.387344
-8.914958,-8.416201
-8.914958,-8.466946
-8.914958,-8.542958
-8.914958,-8.634703
-8.914958,-8.727196
-8.914958,-8.834306
-8.914958,-8.912079
-8.563903,-9.0603285
-8.563903,-9.036052
-8.563903,-8.954408
